,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,polyline,266,300,323,344,"266,277,296,302,307,321,322,323,321,316,311,270,266","340,307,300,300,302,307,308,315,324,328,330,344,340"
1,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,0,108,78,181,"75,78,78,77,71,62,25,15,12,5,2,0,4,26,29,50,63,75","109,114,115,119,134,148,177,181,180,175,170,161,156,130,128,109,108,109"
2,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,118,169,174,236,"171,174,174,171,147,138,134,128,119,118,118,125,132,143,149,160,166,171","170,173,182,189,220,230,232,236,236,228,223,205,195,182,176,169,169,170"
3,tumor,tumor_nonMitotic,tumor_any,polyline,180,233,211,266,"199,191,185,183,180,183,190,196,204,207,211,210,207,199","266,264,257,253,247,242,233,236,240,242,247,264,266,266"
4,tumor,tumor_nonMitotic,tumor_any,polyline,297,109,328,165,"316,322,323,328,324,322,318,317,306,299,297,297,298,299,304,311,316","109,109,114,136,154,159,164,165,164,161,159,156,149,144,128,114,109"
5,tumor,tumor_nonMitotic,tumor_any,polyline,331,77,378,135,"334,350,357,365,370,378,378,376,375,354,349,339,335,333,331,331,332,334","92,77,77,84,89,99,105,110,113,131,135,130,124,119,108,102,98,92"
6,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,35,66,71,107,"39,35,40,41,45,52,58,63,71,71,70,68,57,51,42,39","103,93,76,73,69,66,66,69,76,78,83,86,103,107,105,103"
7,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,200,0,267,52,"200,267,267,200,200","0,0,52,52,0"
8,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,219,11,271,66,"219,271,271,219,219","11,11,66,66,11"
9,tumor,tumor_nonMitotic,tumor_any,rectangle,226,250,273,299,"226,273,273,226,226","250,250,299,299,250"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,303,197,360,230,"303,360,360,303,303","197,197,230,230,197"
11,tumor,tumor_nonMitotic,tumor_any,rectangle,242,211,292,248,"242,292,292,242,242","211,211,248,248,211"
12,tumor,tumor_nonMitotic,tumor_any,rectangle,271,176,316,211,"271,316,316,271,271","176,176,211,211,176"
13,tumor,tumor_nonMitotic,tumor_any,rectangle,58,273,83,300,"58,83,83,58,58","273,273,300,300,273"
