,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,rectangle,429,169,493,223,"429,493,493,429","169,169,223,223"
1,tumor,tumor_nonMitotic,tumor_any,rectangle,486,81,552,147,"486,552,552,486","81,81,147,147"
2,tumor,tumor_nonMitotic,tumor_any,rectangle,494,288,534,334,"494,534,534,494","288,288,334,334"
3,tumor,tumor_nonMitotic,tumor_any,rectangle,449,306,477,352,"449,477,477,449","306,306,352,352"
4,tumor,tumor_nonMitotic,tumor_any,rectangle,442,231,492,271,"442,492,492,442","231,231,271,271"
5,tumor,tumor_nonMitotic,tumor_any,rectangle,476,329,508,385,"476,508,508,476","329,329,385,385"
6,tumor,tumor_nonMitotic,tumor_any,rectangle,496,358,536,390,"496,536,536,496","358,358,390,390"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,328,202,382,238,"328,382,382,328","202,202,238,238"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,276,47,324,119,"276,324,324,276","47,47,119,119"
9,tumor,tumor_nonMitotic,tumor_any,rectangle,460,412,518,468,"460,518,518,460","412,412,468,468"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,396,399,428,453,"396,428,428,396","399,399,453,453"
11,tumor,tumor_nonMitotic,tumor_any,rectangle,403,432,449,486,"403,449,449,403","432,432,486,486"
12,tumor,tumor_nonMitotic,tumor_any,rectangle,330,104,358,142,"330,358,358,330","104,104,142,142"
13,tumor,tumor_nonMitotic,tumor_any,rectangle,0,535,38,573,"0,38,38,0","535,535,573,573"
14,lymphocyte,lymphocyte,sTIL,rectangle,378,141,398,169,"378,398,398,378","141,141,169,169"
15,lymphocyte,lymphocyte,sTIL,rectangle,394,180,412,200,"394,412,412,394","180,180,200,200"
16,lymphocyte,lymphocyte,sTIL,rectangle,389,198,411,216,"389,411,411,389","198,198,216,216"
17,apoptotic_body,AMBIGUOUS,AMBIGUOUS,rectangle,361,163,379,181,"361,379,379,361","163,163,181,181"
18,apoptotic_body,AMBIGUOUS,AMBIGUOUS,rectangle,348,157,362,169,"348,362,362,348","157,157,169,169"
19,apoptotic_body,AMBIGUOUS,AMBIGUOUS,rectangle,288,392,306,408,"288,306,306,288","392,392,408,408"
20,apoptotic_body,AMBIGUOUS,AMBIGUOUS,rectangle,293,413,307,425,"293,307,307,293","413,413,425,425"
21,apoptotic_body,AMBIGUOUS,AMBIGUOUS,rectangle,345,463,361,489,"345,361,361,345","463,463,489,489"
22,apoptotic_body,AMBIGUOUS,AMBIGUOUS,rectangle,335,476,351,502,"335,351,351,335","476,476,502,502"
23,apoptotic_body,AMBIGUOUS,AMBIGUOUS,rectangle,306,487,330,517,"306,330,330,306","487,487,517,517"
24,apoptotic_body,AMBIGUOUS,AMBIGUOUS,rectangle,403,533,427,551,"403,427,427,403","533,533,551,551"
25,apoptotic_body,AMBIGUOUS,AMBIGUOUS,rectangle,367,483,379,497,"367,379,379,367","483,483,497,497"
26,apoptotic_body,AMBIGUOUS,AMBIGUOUS,rectangle,440,387,454,403,"440,454,454,440","387,387,403,403"
27,apoptotic_body,AMBIGUOUS,AMBIGUOUS,rectangle,461,399,469,413,"461,469,469,461","399,399,413,413"
28,apoptotic_body,AMBIGUOUS,AMBIGUOUS,rectangle,389,515,405,533,"389,405,405,389","515,515,533,533"
29,apoptotic_body,AMBIGUOUS,AMBIGUOUS,rectangle,183,575,203,593,"183,203,203,183","575,575,593,593"
30,apoptotic_body,AMBIGUOUS,AMBIGUOUS,rectangle,177,587,197,611,"177,197,197,177","587,587,611,611"
31,apoptotic_body,AMBIGUOUS,AMBIGUOUS,rectangle,95,511,111,523,"95,111,111,95","511,511,523,523"
32,apoptotic_body,AMBIGUOUS,AMBIGUOUS,rectangle,549,521,561,547,"549,561,561,549","521,521,547,547"
33,apoptotic_body,AMBIGUOUS,AMBIGUOUS,rectangle,495,579,513,601,"495,513,513,495","579,579,601,601"
34,tumor,tumor_nonMitotic,tumor_any,rectangle,411,1,447,33,"411,447,447,411","1,1,33,33"
35,tumor,tumor_nonMitotic,tumor_any,rectangle,353,313,393,349,"353,393,393,353","313,313,349,349"
36,tumor,tumor_nonMitotic,tumor_any,rectangle,325,592,355,622,"325,355,355,325","592,592,622,622"
37,apoptotic_body,AMBIGUOUS,AMBIGUOUS,rectangle,302,589,326,607,"302,326,326,302","589,589,607,607"
38,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,157,557,179,583,"157,179,179,157","557,557,583,583"
39,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,205,491,225,513,"205,225,225,205","491,491,513,513"
40,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,19,506,51,530,"19,51,51,19","506,506,530,530"
41,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,324,147,342,169,"324,342,342,324","147,147,169,169"
42,tumor,tumor_nonMitotic,tumor_any,rectangle,278,344,310,376,"278,310,310,278,278","344,344,376,376,344"
