,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,vascular_endothelium,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,100,0,126,40,"100,126,126,100","0,0,40,40"
1,mitotic_figure,tumor_mitotic,tumor_any,rectangle,296,194,348,258,"296,348,348,296","194,194,258,258"
2,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,81,163,113,205,"81,113,113,81","163,163,205,205"
3,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,145,191,175,231,"145,175,175,145","191,191,231,231"
4,tumor,tumor_nonMitotic,tumor_any,rectangle,358,216,424,288,"358,424,424,358,358","216,216,288,288,216"
5,tumor,tumor_nonMitotic,tumor_any,polyline,217,136,285,203,"266,278,280,284,285,285,283,272,266,258,246,239,234,220,218,217,217,218,221,223,226,258,266","140,152,157,166,171,173,179,194,197,199,203,203,202,168,160,152,146,144,139,138,136,139,140"
6,tumor,tumor_nonMitotic,tumor_any,rectangle,0,208,74,262,"0,74,74,0,0","208,208,262,262,208"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,231,74,295,133,"231,295,295,231,231","74,74,133,133,74"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,101,78,153,132,"101,153,153,101,101","78,78,132,132,78"
9,tumor,tumor_nonMitotic,tumor_any,rectangle,277,85,328,129,"277,328,328,277,277","85,85,129,129,85"
10,tumor,tumor_nonMitotic,tumor_any,polyline,342,96,385,148,"385,385,384,381,371,369,347,342,344,350,352,359,365,370,375,380,382,385","117,141,146,148,146,145,127,117,109,102,101,96,96,98,102,107,111,117"
11,tumor,tumor_nonMitotic,tumor_any,polyline,317,132,357,183,"317,317,320,322,327,330,333,339,352,353,357,357,355,353,350,345,342,333,328,320,317","166,154,144,140,134,133,132,132,136,138,144,151,170,175,178,182,183,182,181,173,166"
12,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,148,62,196,105,"196,194,192,186,180,156,155,148,148,150,177,182,194,196","87,101,105,105,103,97,96,81,69,62,63,66,82,87"
13,tumor,tumor_nonMitotic,tumor_any,polyline,269,259,314,303,"301,273,271,269,271,272,273,278,293,299,305,307,310,314,314,312,310,306,301","303,303,300,292,279,274,272,267,259,259,261,262,268,279,289,292,297,301,303"
14,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,348,170,385,214,"380,385,385,381,379,368,360,359,350,348,348,349,357,361,376,380","173,181,192,205,208,214,214,213,200,192,186,183,176,173,170,173"
15,tumor,tumor_nonMitotic,tumor_any,rectangle,275,305,317,342,"275,317,317,275,275","305,305,342,342,305"
16,tumor,tumor_nonMitotic,tumor_any,rectangle,317,301,344,340,"317,344,344,317,317","301,301,340,340,301"
17,tumor,tumor_nonMitotic,tumor_any,polyline,360,19,393,46,"370,375,382,387,391,392,393,393,392,390,384,374,368,363,360,360,361,370","20,19,20,21,24,27,35,37,43,46,44,42,39,37,32,30,27,20"
