,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,282,209,304,231,"282,304,304,282","209,209,231,231"
1,tumor,tumor_nonMitotic,tumor_any,rectangle,84,32,167,101,"84,167,167,84,84","32,32,101,101,32"
2,tumor,tumor_nonMitotic,tumor_any,rectangle,316,106,387,175,"316,387,387,316,316","106,106,175,175,106"
3,tumor,tumor_nonMitotic,tumor_any,rectangle,121,124,185,171,"121,185,185,121,121","124,124,171,171,124"
4,tumor,tumor_nonMitotic,tumor_any,rectangle,0,175,57,226,"0,57,57,0,0","175,175,226,226,175"
5,tumor,tumor_nonMitotic,tumor_any,rectangle,187,196,241,250,"187,241,241,187,187","196,196,250,250,196"
6,tumor,tumor_nonMitotic,tumor_any,rectangle,133,201,197,237,"133,197,197,133,133","201,201,237,237,201"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,309,54,363,104,"309,363,363,309,309","54,54,104,104,54"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,244,32,295,81,"244,295,295,244,244","32,32,81,81,32"
9,tumor,tumor_nonMitotic,tumor_any,rectangle,197,148,256,185,"197,256,256,197,197","148,148,185,185,148"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,260,248,321,280,"260,321,321,260,260","248,248,280,280,248"
11,tumor,tumor_nonMitotic,tumor_any,rectangle,37,210,81,262,"37,81,81,37,37","210,210,262,262,210"
12,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,51,43,88,100,"51,88,88,51,51","43,43,100,100,43"
13,tumor,tumor_nonMitotic,tumor_any,rectangle,217,16,263,58,"217,263,263,217,217","16,16,58,58,16"
14,tumor,tumor_nonMitotic,tumor_any,rectangle,244,181,293,218,"244,293,293,244,244","181,181,218,218,181"
15,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,26,283,80,310,"26,80,80,26,26","283,283,310,310,283"
16,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,235,108,272,138,"235,272,272,235,235","108,108,138,138,108"
17,tumor,tumor_nonMitotic,tumor_any,rectangle,263,138,290,175,"263,290,290,263,263","138,138,175,175,138"
