,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,polyline,173,290,203,335,"182,173,184,196,200,203,203,201,200,193,188,182","335,311,290,290,291,297,314,323,327,333,335,335"
1,tumor,tumor_nonMitotic,tumor_any,polyline,26,242,52,289,"26,27,28,34,39,44,45,48,52,45,34,31,29,28,26","259,256,253,242,244,248,249,257,285,289,287,283,280,275,259"
2,tumor,tumor_nonMitotic,tumor_any,polyline,193,225,222,260,"193,194,203,215,220,222,220,219,210,201,195,193","251,242,225,226,230,233,259,260,260,258,256,251"
3,tumor,tumor_nonMitotic,tumor_any,polyline,36,287,65,319,"65,63,59,54,50,44,42,38,36,36,37,38,39,54,60,61,65","308,317,319,318,317,314,313,311,302,297,292,289,287,289,297,300,308"
4,tumor,tumor_nonMitotic,tumor_any,polyline,16,22,58,71,"16,28,34,43,47,49,56,58,58,55,33,25,21,16,16","55,22,22,26,30,33,46,48,53,58,69,71,69,64,55"
5,tumor,tumor_nonMitotic,tumor_any,polyline,155,0,211,58,"211,211,207,198,192,172,166,155,162,168,190,204,209,211","5,33,47,58,57,49,41,20,9,5,1,0,1,5"
6,lymphocyte,lymphocyte,sTIL,polyline,147,96,184,134,"182,184,184,178,174,163,152,150,147,149,150,156,166,177,182","100,118,120,130,134,133,127,123,118,112,107,102,96,98,100"
7,lymphocyte,lymphocyte,sTIL,polyline,72,82,107,116,"107,107,102,97,91,81,77,74,72,72,75,95,98,103,106,107","95,101,109,116,114,112,108,103,97,87,82,84,85,87,90,95"
8,lymphocyte,lymphocyte,sTIL,polyline,247,145,284,167,"247,247,248,250,273,277,280,281,284,284,282,277,271,265,247","155,147,146,145,146,147,149,150,155,160,162,167,166,163,155"
9,lymphocyte,lymphocyte,sTIL,polyline,56,129,85,161,"70,64,61,59,56,56,59,65,68,72,79,83,85,85,76,70","161,160,156,151,145,143,139,133,131,130,129,133,134,140,154,161"
10,lymphocyte,lymphocyte,sTIL,polyline,88,116,120,139,"88,95,98,112,118,119,120,115,109,104,97,91,90,88,88","128,118,117,116,116,118,122,133,138,139,139,138,136,130,128"
11,lymphocyte,lymphocyte,sTIL,polyline,123,122,156,143,"123,124,128,134,140,149,151,156,155,152,150,140,124,123,123","131,125,123,122,123,125,128,135,139,141,143,141,139,134,131"
12,lymphocyte,lymphocyte,sTIL,polyline,203,113,227,139,"216,211,203,203,204,206,216,221,227,227,225,216","139,138,127,122,118,113,114,116,127,134,139,139"
13,tumor,tumor_nonMitotic,tumor_any,polyline,66,21,107,75,"75,82,95,97,99,104,107,107,104,103,97,92,74,70,68,66,66,72,75","25,21,21,22,25,43,57,64,70,71,75,74,66,61,57,53,48,30,25"
14,tumor,tumor_nonMitotic,tumor_any,polyline,126,254,151,287,"146,145,140,135,128,126,128,135,141,142,150,151,147,146","286,287,286,283,275,270,262,254,254,256,264,270,283,286"
15,lymphocyte,lymphocyte,sTIL,rectangle,63,244,77,281,"63,77,77,63,63","244,244,281,281,244"
16,lymphocyte,lymphocyte,sTIL,rectangle,217,91,244,117,"217,244,244,217,217","91,92,117,116,91"
17,tumor,tumor_nonMitotic,tumor_any,rectangle,150,176,199,217,"150,199,199,150,150","176,176,217,217,176"
18,tumor,tumor_nonMitotic,tumor_any,rectangle,138,190,165,242,"138,165,165,138,138","190,190,242,242,190"
19,tumor,tumor_nonMitotic,tumor_any,rectangle,247,217,300,271,"248,300,298,247,248","217,217,271,271,217"
20,tumor,tumor_nonMitotic,tumor_any,rectangle,226,256,270,302,"226,270,270,226,226","256,256,302,302,256"
21,tumor,tumor_nonMitotic,tumor_any,rectangle,262,5,303,57,"262,303,303,262,262","5,5,57,57,5"
22,tumor,tumor_nonMitotic,tumor_any,rectangle,222,12,263,71,"223,263,262,222,223","12,12,71,71,12"
23,tumor,tumor_nonMitotic,tumor_any,rectangle,179,30,216,86,"179,216,216,179,179","30,30,86,86,30"
24,tumor,tumor_nonMitotic,tumor_any,rectangle,117,9,171,50,"117,171,171,117,117","9,9,50,50,9"
25,tumor,tumor_nonMitotic,tumor_any,rectangle,39,61,76,103,"39,76,76,39,39","61,61,103,103,61"
26,tumor,tumor_nonMitotic,tumor_any,rectangle,6,4,38,41,"6,38,38,6,6","4,4,41,41,4"
27,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,167,131,199,159,"167,199,199,167,167","131,131,159,159,131"
28,tumor,tumor_nonMitotic,tumor_any,rectangle,216,136,246,173,"216,246,246,216,216","136,136,173,173,136"
29,tumor,tumor_nonMitotic,tumor_any,rectangle,280,76,320,106,"281,320,319,280,281","76,76,106,106,76"
30,tumor,tumor_nonMitotic,tumor_any,rectangle,21,133,56,165,"22,56,55,21,22","133,133,165,165,133"
