,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,polyline,52,120,138,202,"54,52,57,59,80,87,90,101,113,118,119,134,138,138,135,132,104,98,82,75,68,67,54","165,155,148,146,128,123,122,120,120,123,124,156,168,170,176,179,195,197,202,202,200,197,165"
1,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,267,63,321,163,"267,321,321,267,267","63,63,163,163,63"
2,tumor,tumor_nonMitotic,tumor_any,polyline,88,267,140,340,"88,88,91,97,102,107,113,121,128,132,137,139,140,140,138,132,121,114,107,102,92,88","303,292,282,274,269,267,267,269,274,278,284,288,298,309,316,328,337,340,340,335,315,303"
3,tumor,tumor_nonMitotic,tumor_any,polyline,118,22,170,91,"134,148,159,169,170,170,169,163,155,154,150,144,137,134,119,118,118,123,124,126,132,134","26,22,26,31,32,41,65,77,87,88,91,89,87,86,77,72,62,44,40,37,29,26"
4,tumor,tumor_nonMitotic,tumor_any,polyline,139,92,184,160,"170,179,183,184,184,183,176,173,144,140,139,139,140,143,148,166,170","92,93,132,153,154,160,159,158,145,139,132,130,125,120,113,93,92"
5,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,184,0,220,70,"184,186,191,197,199,202,219,220,220,219,212,200,194,189,184,184","31,6,0,1,3,9,55,58,60,67,70,66,62,58,47,31"
6,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,266,199,305,261,"266,305,305,266,266","199,199,261,261,199"
7,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,128,211,183,248,"128,183,183,128,128","211,211,248,248,211"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,57,88,102,128,"57,102,102,57,57","88,88,128,128,88"
9,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,2,165,42,205,"35,21,16,10,2,2,11,18,24,28,33,39,42,42,41,35","205,205,204,199,181,173,165,165,166,169,174,181,189,196,199,205"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,158,267,197,306,"158,197,197,158,158","267,267,306,306,267"
11,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,163,244,205,274,"163,205,205,163,163","244,244,274,274,244"
12,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,207,184,242,221,"207,242,242,207,207","184,184,221,221,184"
13,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,277,268,293,308,"292,293,292,290,288,285,279,277,281,282,287,292","273,298,303,305,308,306,303,275,269,268,269,273"
14,tumor,tumor_nonMitotic,tumor_any,rectangle,197,332,222,360,"197,222,222,197,197","332,332,360,360,332"
15,tumor,tumor_nonMitotic,tumor_any,rectangle,0,281,48,339,"0,48,48,0","281,281,339,339"
