,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,plasma_cell,plasma_cell,sTIL,polyline,255,58,283,106,"277,283,283,282,277,268,265,263,258,257,255,257,262,265,270,277","60,66,78,84,96,106,104,102,88,84,77,72,63,61,58,60"
1,plasma_cell,plasma_cell,sTIL,polyline,60,98,88,141,"78,83,86,87,88,88,87,82,76,71,66,62,60,60,62,66,72,78","99,103,109,114,123,125,135,141,141,139,134,129,119,113,106,102,98,99"
2,plasma_cell,plasma_cell,sTIL,polyline,252,118,282,155,"253,252,254,270,277,279,282,280,278,273,267,253","150,130,127,118,123,128,135,141,151,155,155,150"
3,plasma_cell,plasma_cell,sTIL,polyline,304,197,329,222,"304,308,313,319,324,325,329,329,326,320,311,309,304","212,203,197,197,200,201,206,212,218,222,222,221,212"
4,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,34,35,56,117,"34,56,56,34,34","35,35,117,117,35"
5,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,231,1,258,71,"231,258,258,231,231","1,1,71,71,1"
6,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,42,141,57,213,"42,57,57,42,42","141,141,213,213,141"
7,plasma_cell,plasma_cell,sTIL,rectangle,35,316,84,363,"35,84,84,35,35","316,316,363,363,316"
8,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,141,181,161,241,"141,161,161,141,141","181,181,241,241,181"
9,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,32,222,52,282,"32,52,52,32,32","222,222,282,282,222"
10,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,0,88,30,140,"0,30,30,0,0","88,88,140,140,88"
11,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,0,192,25,247,"0,25,25,0,0","192,192,247,247,192"
12,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,169,55,201,104,"169,201,201,169,169","55,55,104,104,55"
13,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,79,165,102,217,"79,102,102,79,79","165,165,217,217,165"
14,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,52,230,82,279,"52,82,82,52,52","230,230,279,279,230"
15,plasma_cell,plasma_cell,sTIL,rectangle,272,239,309,279,"272,309,309,272,272","239,239,279,279,239"
16,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,161,108,198,145,"161,198,198,161,161","108,108,145,145,108"
17,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,283,143,317,177,"283,317,317,283,283","143,143,177,177,143"
18,plasma_cell,plasma_cell,sTIL,rectangle,303,280,332,315,"303,332,332,303,303","280,280,315,315,280"
19,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,114,185,134,225,"114,134,134,114,114","185,185,225,225,185"
20,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,215,78,234,115,"215,234,234,215,215","78,78,115,115,78"
21,plasma_cell,plasma_cell,sTIL,rectangle,315,171,345,196,"315,345,345,315,315","171,171,196,196,171"
22,plasma_cell,plasma_cell,sTIL,rectangle,203,57,226,87,"203,226,226,203,203","57,57,87,87,57"
23,plasma_cell,plasma_cell,sTIL,rectangle,238,230,265,257,"238,265,265,238,238","230,230,257,257,230"
24,plasma_cell,plasma_cell,sTIL,rectangle,166,144,191,171,"166,191,191,166,166","144,144,171,171,144"
25,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,47,287,65,314,"47,65,65,47,47","287,287,314,314,287"
26,plasma_cell,plasma_cell,sTIL,rectangle,78,277,93,299,"78,93,93,78,78","277,277,299,299,277"
