,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,lymphocyte,lymphocyte,sTIL,rectangle,30,325,55,345,"30,55,55,30,30","325,325,345,345,325"
1,lymphocyte,lymphocyte,sTIL,polyline,39,10,69,51,"68,69,69,68,59,53,48,42,39,39,42,48,54,60,64,66,68","23,39,41,45,49,51,50,47,31,25,19,10,10,11,15,19,23"
2,lymphocyte,lymphocyte,sTIL,polyline,225,69,260,97,"251,245,237,225,231,236,249,256,257,260,260,255,251","97,96,90,77,71,69,69,71,72,77,82,93,97"
3,lymphocyte,lymphocyte,sTIL,polyline,295,2,322,34,"295,295,296,299,306,316,319,321,322,317,306,302,295","25,10,8,5,2,2,3,8,28,34,34,33,25"
4,lymphocyte,lymphocyte,sTIL,polyline,69,2,92,35,"74,69,71,74,78,81,90,92,92,91,90,89,84,76,74","30,24,11,8,3,2,3,8,15,28,34,35,34,31,30"
5,lymphocyte,lymphocyte,sTIL,polyline,55,44,81,75,"81,66,64,60,56,55,55,70,80,81","62,75,73,71,62,59,50,44,54,62"
6,lymphocyte,lymphocyte,sTIL,polyline,19,47,43,76,"39,32,27,25,22,19,19,28,33,38,40,43,43,39","76,76,75,73,69,55,52,47,49,52,57,65,70,76"
7,lymphocyte,lymphocyte,sTIL,polyline,125,18,152,42,"132,152,146,138,128,126,125,128,132","18,24,36,42,40,35,28,21,18"
8,lymphocyte,lymphocyte,sTIL,polyline,128,97,159,126,"128,130,131,138,143,148,151,154,156,159,159,156,153,149,144,138,131,130,128,128","114,108,104,100,97,98,100,102,104,114,117,122,123,124,126,126,122,121,117,114"
9,lymphocyte,lymphocyte,sTIL,polyline,218,160,242,194,"218,223,226,235,237,240,242,241,240,236,235,228,223,221,219,218,218","170,163,160,163,164,168,173,178,181,191,194,190,186,185,180,173,170"
10,lymphocyte,lymphocyte,sTIL,polyline,204,193,231,220,"215,208,204,204,205,209,221,226,228,230,231,229,226,220,215","220,219,211,205,200,193,194,195,196,200,206,211,215,219,220"
11,lymphocyte,lymphocyte,sTIL,polyline,102,98,127,126,"127,123,115,111,105,102,102,107,113,120,125,126,127","118,126,126,124,121,109,104,98,98,101,107,112,118"
12,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,25,183,53,206,"47,34,27,25,28,29,34,42,48,49,51,53,53,51,50,47","206,205,200,197,191,190,186,183,183,184,188,191,194,200,202,206"
13,lymphocyte,lymphocyte,sTIL,polyline,214,129,236,155,"231,236,236,235,228,220,214,214,218,231","129,143,147,150,155,154,149,140,132,129"
14,lymphocyte,lymphocyte,sTIL,polyline,308,138,333,162,"322,314,313,308,308,311,312,313,319,324,329,333,333,330,327,322","162,160,159,152,148,142,139,138,138,139,142,148,152,157,160,162"
15,lymphocyte,lymphocyte,sTIL,polyline,175,193,194,217,"178,175,182,189,190,192,194,194,190,188,178","216,193,193,194,195,197,204,210,216,217,216"
16,lymphocyte,lymphocyte,sTIL,polyline,25,295,54,319,"48,35,29,27,25,25,29,33,38,43,49,50,54,54,51,50,48","319,319,318,313,309,308,302,299,297,295,295,297,302,305,313,315,319"
17,lymphocyte,lymphocyte,sTIL,polyline,79,266,105,292,"100,84,80,79,84,90,96,99,104,105,105,100","292,289,282,274,266,266,267,268,274,278,287,292"
18,lymphocyte,lymphocyte,sTIL,polyline,48,276,74,302,"65,58,54,49,48,48,49,55,63,65,73,74,73,65","302,302,299,289,286,281,276,276,277,278,286,289,295,302"
19,lymphocyte,lymphocyte,sTIL,polyline,198,290,224,317,"224,224,221,216,209,205,199,198,198,200,216,221,224","303,314,315,317,315,314,310,307,293,290,293,299,303"
20,lymphocyte,lymphocyte,sTIL,polyline,251,295,273,321,"273,272,270,264,260,254,251,251,255,257,267,273","310,320,321,321,320,318,313,305,297,295,298,310"
21,lymphocyte,lymphocyte,sTIL,rectangle,330,179,350,216,"330,350,350,330,330","179,179,216,216,179"
22,lymphocyte,lymphocyte,sTIL,rectangle,1,246,33,271,"1,33,33,1,1","246,246,271,271,246"
23,lymphocyte,lymphocyte,sTIL,rectangle,13,233,38,261,"13,38,38,13,13","233,233,261,261,233"
