,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,80,62,144,93,"82,80,84,88,92,105,113,119,141,142,143,144,143,134,118,106,93,86,82","85,77,67,63,62,62,63,64,71,72,74,78,80,89,92,93,92,88,85"
1,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,169,41,203,66,"173,185,198,201,203,199,196,178,175,170,169,170,173","45,41,45,47,54,62,66,66,64,57,53,47,45"
2,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,46,32,74,62,"50,62,69,74,74,72,67,60,54,49,46,48,49,50","41,32,32,35,43,47,53,58,62,61,57,47,43,41"
3,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,31,84,57,108,"57,48,35,33,31,31,33,34,45,51,57","89,108,108,107,103,100,95,92,84,84,89"
4,lymphocyte,lymphocyte,sTIL,polyline,146,226,177,253,"146,148,149,154,160,167,175,177,172,162,158,147,146","238,229,228,226,226,229,240,245,253,253,252,243,238"
5,lymphocyte,lymphocyte,sTIL,polyline,157,273,188,299,"188,186,181,172,168,159,157,160,168,174,178,180,185,186,188","285,293,299,297,296,291,285,279,275,273,274,275,279,280,285"
6,lymphocyte,lymphocyte,sTIL,polyline,112,209,139,235,"112,112,113,116,122,128,132,137,139,138,136,123,116,112","228,218,213,209,209,211,213,218,223,233,235,235,232,228"
7,lymphocyte,lymphocyte,sTIL,polyline,159,309,184,333,"159,162,168,174,179,180,183,184,180,178,164,162,159","325,316,309,309,311,312,319,325,331,333,333,331,325"
8,lymphocyte,lymphocyte,sTIL,polyline,235,293,253,319,"235,235,236,240,246,253,253,250,246,240,235","301,296,295,293,293,296,309,316,319,319,301"
9,lymphocyte,lymphocyte,sTIL,polyline,90,295,92,309,"91,90,91,92,92,91","309,302,295,297,304,309"
10,lymphocyte,lymphocyte,sTIL,polyline,26,294,54,328,"38,45,53,54,54,50,48,36,31,30,26,26,28,29,33,38","294,296,302,305,320,326,328,328,326,325,316,310,302,299,296,294"
11,plasma_cell,plasma_cell,sTIL,polyline,167,159,178,181,"167,177,178,178,175,167","181,159,165,171,176,181"
12,lymphocyte,lymphocyte,sTIL,polyline,149,154,175,180,"158,152,149,149,150,154,155,158,164,173,174,175,175,173,169,158","180,176,171,165,161,156,155,154,154,156,157,161,167,177,180,180"
13,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,127,120,209,145,"127,209,209,127,127","120,120,145,145,120"
14,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,200,233,267,280,"200,267,267,200,200","233,233,280,280,233"
15,tumor,tumor_nonMitotic,tumor_any,rectangle,308,121,355,171,"308,355,355,308,308","121,121,171,171,121"
16,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,134,109,199,124,"134,199,199,134,134","109,109,124,124,109"
17,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,308,21,348,66,"308,348,348,308,308","21,21,66,66,21"
18,tumor,tumor_nonMitotic,tumor_any,rectangle,268,94,305,141,"268,305,305,268,268","94,94,141,141,94"
19,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,157,21,214,38,"157,214,214,157,157","21,21,38,38,21"
20,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,162,0,204,25,"162,204,204,162,162","0,0,25,25,0"
21,lymphocyte,lymphocyte,sTIL,rectangle,0,226,35,260,"0,35,35,0,0","226,226,260,260,226"
22,lymphocyte,lymphocyte,sTIL,rectangle,62,280,95,315,"62,95,95,62,62","280,280,315,315,280"
23,lymphocyte,lymphocyte,sTIL,rectangle,193,286,227,319,"193,227,227,193,193","286,286,319,319,286"
24,lymphocyte,lymphocyte,sTIL,rectangle,34,171,69,203,"34,69,69,34,34","171,171,203,203,171"
25,lymphocyte,lymphocyte,sTIL,rectangle,286,221,325,245,"286,325,325,286,286","221,221,245,245,221"
26,lymphocyte,lymphocyte,sTIL,rectangle,276,254,310,284,"276,310,310,276,276","254,254,284,284,254"
27,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,286,30,320,57,"286,320,320,286,286","30,30,57,57,30"
28,lymphocyte,lymphocyte,sTIL,rectangle,159,186,196,208,"159,196,196,159,159","186,186,208,208,186"
29,plasma_cell,plasma_cell,sTIL,rectangle,72,154,107,176,"72,107,107,72,72","154,154,176,176,154"
30,lymphocyte,lymphocyte,sTIL,rectangle,307,237,332,266,"307,332,332,307,307","237,237,266,266,237"
31,lymphocyte,lymphocyte,sTIL,rectangle,258,295,286,325,"258,286,286,258,258","295,295,325,325,295"
32,plasma_cell,plasma_cell,sTIL,rectangle,28,155,55,177,"28,55,55,28,28","155,155,177,177,155"
