,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,ductal_epithelium,other_nucleus,other_nucleus,polyline,178,213,211,241,"211,207,204,201,191,184,178,178,179,181,184,190,202,206,209,211","230,237,240,241,240,235,227,221,219,216,215,213,213,216,221,230"
1,ductal_epithelium,other_nucleus,other_nucleus,polyline,128,120,157,149,"128,131,132,138,143,149,153,157,155,154,147,137,129,128,128","131,126,124,120,122,126,131,141,147,149,149,147,139,137,131"
2,ductal_epithelium,other_nucleus,other_nucleus,polyline,149,236,178,263,"153,149,150,152,154,158,164,170,171,176,178,176,169,153","260,252,247,245,241,236,236,237,239,245,250,256,263,260"
3,ductal_epithelium,other_nucleus,other_nucleus,polyline,135,203,164,227,"135,139,140,144,153,158,160,163,164,163,160,158,144,142,138,135","213,205,204,203,204,205,206,214,221,224,226,227,227,226,224,213"
4,ductal_epithelium,other_nucleus,other_nucleus,polyline,157,143,185,168,"185,181,178,170,166,162,158,157,157,158,164,170,173,184,185","152,163,165,168,167,162,157,154,149,147,143,143,144,151,152"
5,ductal_epithelium,other_nucleus,other_nucleus,polyline,178,58,199,89,"178,178,179,184,189,196,199,199,197,195,191,186,183,179,178","82,65,62,58,59,65,67,77,84,86,89,87,86,84,82"
6,ductal_epithelium,other_nucleus,other_nucleus,polyline,166,91,193,117,"193,193,190,183,176,168,166,170,183,189,190,193","105,111,117,116,113,105,100,91,91,93,95,105"
7,ductal_epithelium,other_nucleus,other_nucleus,polyline,137,85,159,113,"137,138,142,145,150,159,159,157,154,149,142,140,138,137","103,93,89,85,86,91,101,107,110,113,113,112,107,103"
8,ductal_epithelium,other_nucleus,other_nucleus,polyline,160,113,183,139,"166,163,160,160,168,174,178,181,183,181,179,166","139,137,129,122,113,113,115,120,133,137,139,139"
9,ductal_epithelium,other_nucleus,other_nucleus,polyline,135,153,159,177,"135,135,137,140,145,153,157,159,158,155,152,135","172,163,159,155,153,155,159,164,169,173,177,172"
10,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,91,92,135,149,"91,135,135,91,91","92,92,149,149,92"
11,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,85,3,132,48,"85,132,132,85,85","3,3,48,48,3"
12,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,72,186,102,241,"72,102,102,72,72","186,186,241,241,186"
13,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,277,242,319,279,"277,319,319,277,277","242,242,279,279,242"
14,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,289,215,339,242,"289,339,339,289,289","215,215,242,242,215"
15,ductal_epithelium,other_nucleus,other_nucleus,rectangle,168,14,205,46,"168,205,205,168,168","14,14,46,46,14"
16,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,271,282,310,309,"271,310,310,271,271","282,282,309,309,282"
17,ductal_epithelium,other_nucleus,other_nucleus,rectangle,194,106,221,131,"194,221,221,194,194","106,106,131,131,106"
18,ductal_epithelium,other_nucleus,other_nucleus,rectangle,286,107,315,127,"286,315,315,286,286","107,107,127,127,107"
19,ductal_epithelium,other_nucleus,other_nucleus,rectangle,228,124,253,149,"228,253,253,228,228","124,124,149,149,124"
20,ductal_epithelium,other_nucleus,other_nucleus,rectangle,263,146,290,163,"263,290,290,263,263","146,146,163,163,146"
21,ductal_epithelium,other_nucleus,other_nucleus,rectangle,191,174,219,191,"191,219,219,191,191","174,174,191,191,174"
22,ductal_epithelium,other_nucleus,other_nucleus,rectangle,132,56,157,76,"132,157,157,132,132","56,56,76,76,56"
23,ductal_epithelium,other_nucleus,other_nucleus,rectangle,194,131,216,153,"194,216,216,194,194","131,131,153,153,131"
24,ductal_epithelium,other_nucleus,other_nucleus,rectangle,217,160,240,183,"217,240,240,217,217","160,160,183,183,160"
25,ductal_epithelium,other_nucleus,other_nucleus,rectangle,152,266,174,288,"152,174,174,152,152","266,266,288,288,266"
26,ductal_epithelium,other_nucleus,other_nucleus,rectangle,124,297,147,317,"124,147,147,124,124","297,297,317,317,297"
27,ductal_epithelium,other_nucleus,other_nucleus,rectangle,108,151,126,175,"108,126,126,108,108","151,151,175,175,151"
28,ductal_epithelium,other_nucleus,other_nucleus,rectangle,129,179,154,196,"129,154,154,129,129","179,179,196,196,179"
29,ductal_epithelium,other_nucleus,other_nucleus,rectangle,118,225,135,250,"118,135,135,118,118","225,225,250,250,225"
30,ductal_epithelium,other_nucleus,other_nucleus,rectangle,135,260,155,282,"135,155,155,135,135","260,260,282,282,260"
31,ductal_epithelium,other_nucleus,other_nucleus,rectangle,235,158,257,175,"235,257,257,235,235","158,158,175,175,158"
32,ductal_epithelium,other_nucleus,other_nucleus,rectangle,153,62,175,80,"153,175,175,153,153","62,62,80,80,62"
33,ductal_epithelium,other_nucleus,other_nucleus,rectangle,119,278,142,296,"119,142,142,119,119","278,278,296,296,278"
34,ductal_epithelium,other_nucleus,other_nucleus,rectangle,104,179,127,196,"104,127,127,104,104","179,179,196,196,179"
35,ductal_epithelium,other_nucleus,other_nucleus,rectangle,100,239,119,258,"100,119,119,100,100","239,239,258,258,239"
36,ductal_epithelium,other_nucleus,other_nucleus,rectangle,184,191,204,209,"184,204,204,184,184","191,191,209,209,191"
