,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,254,174,314,231,"254,314,314,254,254","174,174,231,231,174"
1,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,94,149,154,183,"94,154,154,94,94","149,149,183,183,149"
2,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,181,88,228,123,"181,228,228,181,181","88,88,123,123,88"
3,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,261,76,304,114,"282,266,263,261,262,266,267,274,280,297,299,304,304,303,302,297,282","114,103,99,90,85,81,79,76,76,82,83,90,92,107,109,114,114"
4,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,111,53,140,98,"111,140,140,111,111","53,53,98,98,53"
5,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,323,197,360,229,"323,360,360,323,323","197,197,229,229,197"
6,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,316,0,344,37,"316,344,344,316,316","0,0,37,37,0"
7,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,242,141,259,183,"242,259,259,242,242","141,141,183,183,141"
8,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,195,121,235,144,"195,235,235,195,195","121,121,144,144,121"
9,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,32,171,60,206,"32,60,60,32,32","171,171,206,206,171"
10,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,140,198,175,223,"140,175,175,140,140","198,198,223,223,198"
11,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,113,212,138,247,"113,138,138,113,113","212,212,247,247,212"
12,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,166,255,204,275,"166,204,204,166,166","255,255,275,275,255"
13,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,160,121,187,149,"160,187,187,160,160","121,121,149,149,121"
14,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,138,94,165,119,"138,165,165,138,138","94,94,119,119,94"
15,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,0,99,25,126,"0,25,25,0,0","99,99,126,126,99"
16,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,57,170,77,190,"57,77,77,57,57","170,170,190,190,170"
