,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,polyline,223,270,312,328,"223,223,224,227,235,240,246,258,265,298,306,308,312,307,299,293,263,252,245,234,226,223","303,292,288,283,276,272,270,270,272,288,293,296,314,318,322,323,328,328,324,317,310,303"
1,tumor,tumor_nonMitotic,tumor_any,polyline,91,0,158,78,"95,91,94,101,108,115,125,131,136,142,147,158,158,152,146,134,122,111,101,95","53,42,29,18,11,6,0,0,1,7,13,32,39,71,78,78,75,70,60,53"
2,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,111,259,200,298,"111,200,200,111,111","259,259,298,298,259"
3,tumor,tumor_nonMitotic,tumor_any,polyline,255,16,316,85,"255,255,258,262,275,278,309,312,314,316,314,311,303,298,297,291,280,271,266,258,257,255","68,55,40,29,17,16,16,17,21,37,43,55,70,79,80,83,85,84,83,78,76,68"
4,tumor,tumor_nonMitotic,tumor_any,polyline,1,280,59,339,"1,1,6,13,14,22,34,46,53,55,56,59,59,56,48,43,38,32,24,15,13,4,1","317,302,293,285,283,280,280,286,291,293,297,306,312,317,327,332,334,337,339,338,337,327,317"
5,tumor,tumor_nonMitotic,tumor_any,polyline,244,88,311,136,"311,309,308,299,286,271,254,246,245,244,244,245,262,307,311","95,107,111,136,135,130,117,111,106,91,89,88,89,94,95"
6,tumor,tumor_nonMitotic,tumor_any,polyline,356,75,412,135,"356,356,358,363,365,373,385,391,397,401,406,409,412,412,411,407,406,401,399,384,378,356","109,102,97,88,84,78,75,75,78,80,88,95,109,116,122,128,130,133,135,135,132,109"
7,tumor,tumor_nonMitotic,tumor_any,polyline,144,68,209,115,"161,192,200,206,209,208,203,192,189,182,154,148,147,146,144,144,147,151,156,161","68,68,75,84,88,95,104,112,114,115,115,112,111,109,93,84,80,75,70,68"
8,tumor,tumor_nonMitotic,tumor_any,polyline,34,199,96,238,"34,37,40,45,48,54,60,72,85,94,95,96,92,86,85,77,61,55,43,39,37,34","219,212,208,204,203,200,199,199,200,205,209,219,225,233,234,238,238,236,233,229,225,219"
9,tumor,tumor_nonMitotic,tumor_any,polyline,227,221,280,271,"280,280,273,270,241,237,232,230,229,227,227,229,232,235,266,278,280","239,246,264,265,271,269,262,259,256,238,230,228,223,221,228,233,239"
10,tumor,tumor_nonMitotic,tumor_any,polyline,112,169,167,214,"134,147,152,161,167,167,165,162,153,141,134,131,123,122,112,112,113,120,127,134","169,169,172,178,184,186,197,202,210,214,214,213,208,207,194,190,182,176,172,169"
11,tumor,tumor_nonMitotic,tumor_any,polyline,13,234,68,272,"68,68,61,58,50,29,24,18,15,13,13,14,19,22,40,54,58,60,68","251,267,270,271,272,272,270,266,261,246,244,239,235,234,234,238,239,240,251"
12,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,167,205,216,248,"167,167,168,172,177,179,194,199,206,210,213,215,216,216,210,208,199,193,183,180,167","234,231,225,218,213,212,207,205,207,208,209,214,219,220,238,240,245,248,246,245,234"
13,tumor,tumor_nonMitotic,tumor_any,rectangle,44,75,89,120,"44,89,89,44,44","75,75,120,120,75"
14,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,18,110,72,137,"18,72,72,18,18","110,110,137,137,110"
15,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,188,162,230,182,"188,230,230,188,188","162,162,182,182,162"
16,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,355,264,386,292,"361,355,359,363,369,378,380,384,386,386,385,382,381,375,370,361","285,277,267,264,264,267,269,272,277,285,287,291,292,292,291,285"
17,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,90,290,116,317,"100,94,91,90,91,94,100,106,110,111,116,116,111,100","317,316,312,305,301,296,290,290,292,293,301,313,317,317"
18,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,303,249,330,272,"303,309,316,322,324,328,330,328,327,324,317,309,307,303,303","257,249,249,250,251,257,265,270,271,272,272,270,269,264,257"
