,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,322,290,399,337,"399,399,396,395,386,373,365,363,341,332,330,325,322,326,338,357,363,369,386,396,399","322,326,333,335,337,336,333,332,319,312,310,304,298,294,290,290,291,295,307,319,322"
1,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,300,0,341,36,"300,300,301,302,326,336,341,341,339,326,318,311,304,300","32,24,19,16,1,0,1,9,11,27,32,36,36,32"
2,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,202,9,248,37,"212,207,205,202,204,211,217,236,242,243,247,248,243,221,212","37,32,27,21,19,11,9,9,11,12,19,22,29,37,37"
3,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,273,35,309,69,"309,309,305,288,284,278,275,273,273,274,278,284,286,293,301,307,309","59,68,69,69,68,66,62,54,52,46,41,36,35,35,37,50,59"
4,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,59,135,95,169,"65,84,90,95,95,94,91,88,77,67,63,61,59,61,62,64,65","146,135,135,140,147,154,162,165,169,168,165,162,157,153,151,147,146"
5,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,315,36,354,62,"326,316,315,315,327,338,344,351,354,354,352,348,341,326","62,61,53,48,41,37,36,37,43,51,53,56,58,62"
6,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,231,43,269,68,"262,241,235,232,231,236,241,246,258,265,269,269,262","68,68,64,61,57,48,45,43,43,45,50,61,68"
7,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,291,307,322,336,"322,321,317,309,304,296,291,291,299,305,311,322","317,326,331,336,335,330,317,314,307,307,309,317"
8,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,179,25,206,54,"179,179,193,198,201,206,206,201,193,189,179","41,25,27,30,35,42,50,52,54,52,41"
9,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,197,231,223,267,"197,223,223,197","231,231,267,267"
10,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,51,290,81,322,"51,81,81,51","290,290,322,322"
11,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,0,236,22,264,"0,22,22,0","236,236,264,264"
