,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,47,167,76,186,"47,50,55,67,72,73,76,76,73,66,59,51,47,47","183,172,167,167,168,169,173,175,180,184,186,185,184,183"
1,plasma_cell,plasma_cell,sTIL,polyline,112,79,138,98,"112,113,115,124,131,135,136,138,136,135,130,119,113,112","91,86,79,79,80,82,83,86,91,94,98,98,96,91"
2,plasma_cell,plasma_cell,sTIL,polyline,170,75,196,100,"177,171,170,170,171,172,178,191,194,196,196,194,188,183,177","100,96,91,85,82,80,75,75,78,82,88,91,98,100,100"
3,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,298,179,324,206,"298,298,305,312,316,323,324,321,318,307,304,298","198,190,183,179,180,186,193,202,206,206,205,198"
4,plasma_cell,plasma_cell,sTIL,polyline,261,184,293,211,"268,277,283,287,288,293,293,292,289,286,281,271,265,261,262,265,268","188,184,185,188,189,195,198,200,204,209,211,211,207,200,195,191,188"
5,plasma_cell,plasma_cell,sTIL,polyline,229,214,266,239,"229,229,234,244,247,254,262,265,266,262,260,256,251,240,233,229","235,225,218,215,214,214,215,218,225,232,235,237,238,239,238,235"
6,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,120,241,167,262,"161,167,165,160,147,135,128,123,120,121,123,138,142,149,155,161","242,246,249,253,262,262,260,259,257,249,248,243,242,241,241,242"
7,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,283,278,318,301,"300,291,288,284,283,283,286,292,304,316,318,318,300","301,301,300,297,295,290,284,281,278,278,285,288,301"
8,plasma_cell,plasma_cell,sTIL,polyline,1,12,28,41,"1,1,5,18,25,28,28,25,22,17,9,1","31,15,12,12,15,19,32,36,40,41,40,31"
9,plasma_cell,plasma_cell,sTIL,polyline,43,51,76,72,"68,60,55,47,45,43,46,50,56,71,75,76,76,68","72,72,70,68,65,61,53,51,51,54,58,62,65,72"
10,plasma_cell,plasma_cell,sTIL,polyline,204,0,231,25,"204,208,212,217,223,229,231,231,230,229,226,214,205,204","15,5,1,0,0,3,10,16,20,22,25,25,20,15"
11,plasma_cell,plasma_cell,sTIL,polyline,244,52,271,74,"244,246,255,260,267,268,271,268,252,246,244,244","61,56,52,53,57,58,72,74,74,72,69,61"
12,plasma_cell,plasma_cell,sTIL,polyline,73,20,119,48,"80,89,96,110,113,117,118,119,118,108,87,80,77,73,73,75,80","24,20,20,24,25,28,32,37,41,48,48,46,44,40,35,32,24"
13,plasma_cell,plasma_cell,sTIL,polyline,239,5,273,41,"267,256,249,240,239,239,242,246,251,260,267,270,273,273,267","41,41,38,30,26,19,11,7,5,5,9,12,24,31,41"
14,plasma_cell,plasma_cell,sTIL,polyline,13,202,54,228,"24,19,17,15,13,14,20,39,45,52,54,54,50,41,24","228,226,222,220,212,206,202,202,206,214,217,222,226,228,228"
15,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,250,289,287,317,"287,279,267,257,255,251,250,250,261,279,281,287","305,312,317,317,315,310,305,297,289,289,290,305"
16,plasma_cell,plasma_cell,sTIL,polyline,107,162,146,185,"108,107,108,112,114,120,125,131,139,142,145,146,145,135,120,108","179,173,170,167,165,163,162,162,163,167,170,174,181,185,185,179"
17,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,187,291,218,325,"204,210,215,218,215,209,208,203,196,188,187,192,194,198,204","291,291,301,309,312,321,322,325,325,320,309,299,296,294,291"
18,plasma_cell,plasma_cell,sTIL,polyline,160,5,189,32,"160,161,162,168,175,181,188,189,187,183,173,168,162,160,160","15,11,10,5,5,6,12,26,30,32,32,30,25,22,15"
19,plasma_cell,plasma_cell,sTIL,polyline,108,41,140,64,"112,120,130,136,140,139,136,135,129,120,112,109,108,109,112","47,41,43,47,51,54,61,62,64,64,61,59,54,51,47"
20,plasma_cell,plasma_cell,sTIL,polyline,288,3,319,26,"292,291,289,288,289,293,298,302,310,316,319,315,312,292","26,25,20,12,10,6,4,3,4,7,12,21,26,26"
21,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,54,86,81,110,"54,54,59,62,71,76,77,80,81,76,71,65,57,54","104,95,88,86,88,90,91,96,101,107,110,110,107,104"
22,plasma_cell,plasma_cell,sTIL,rectangle,275,33,292,53,"275,292,292,275,275","33,33,53,53,33"
23,plasma_cell,plasma_cell,sTIL,rectangle,292,36,326,61,"292,326,326,292,292","36,36,61,61,36"
24,plasma_cell,plasma_cell,sTIL,rectangle,265,109,289,136,"265,289,289,265,265","109,109,136,136,109"
25,plasma_cell,plasma_cell,sTIL,rectangle,250,96,277,138,"250,277,277,250,250","96,96,138,138,96"
26,plasma_cell,plasma_cell,sTIL,rectangle,204,146,254,160,"204,254,254,204,204","146,146,160,160,146"
27,plasma_cell,plasma_cell,sTIL,rectangle,218,49,245,74,"218,245,245,218,218","49,49,74,74,49"
28,plasma_cell,plasma_cell,sTIL,rectangle,141,117,168,137,"141,168,168,141,141","117,117,137,137,117"
29,plasma_cell,plasma_cell,sTIL,rectangle,128,137,147,157,"128,147,147,128,128","137,137,157,157,137"
30,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,41,257,81,286,"41,81,81,41,41","257,257,286,286,257"
