,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,polyline,135,165,186,231,"135,139,157,161,165,171,177,179,186,186,181,162,161,156,150,144,140,136,135,135","200,185,170,168,166,165,166,168,174,183,205,227,228,231,231,227,223,217,202,200"
1,tumor,tumor_nonMitotic,tumor_any,polyline,158,313,218,363,"158,160,173,188,210,213,218,215,214,210,208,203,182,173,160,158,158","338,334,313,315,318,320,324,340,344,354,357,359,363,361,349,344,338"
2,tumor,tumor_nonMitotic,tumor_any,polyline,331,48,373,108,"331,332,340,345,353,366,371,372,373,373,367,361,356,349,339,335,332,331,331","88,79,67,59,48,48,53,57,63,70,105,107,108,107,102,100,97,92,88"
3,tumor,tumor_nonMitotic,tumor_any,polyline,346,107,404,149,"346,346,347,353,363,369,390,395,397,402,403,404,404,402,397,393,384,378,365,360,356,353,346","123,118,115,110,107,107,110,111,112,118,121,129,133,138,143,146,148,149,149,148,146,143,123"
4,tumor,tumor_nonMitotic,tumor_any,polyline,168,104,216,150,"168,168,171,178,181,186,198,205,212,216,214,193,189,183,175,171,168","139,123,120,110,107,104,104,107,111,121,128,149,150,150,149,144,139"
5,tumor,tumor_nonMitotic,tumor_any,polyline,250,5,284,58,"284,284,272,270,268,263,260,251,250,250,251,257,266,272,277,281,282,284","16,32,53,57,58,57,53,42,38,34,26,13,5,5,6,9,10,16"
6,tumor,tumor_nonMitotic,tumor_any,polyline,288,34,328,84,"288,288,289,297,307,318,324,325,326,328,328,326,324,315,305,295,292,288","80,70,57,44,38,34,34,36,42,50,59,63,67,75,84,84,83,80"
7,tumor,tumor_nonMitotic,tumor_any,polyline,229,71,270,116,"258,239,235,234,230,229,229,233,236,240,255,261,268,270,270,268,267,263,258","116,116,113,112,105,100,94,79,73,71,73,75,86,91,97,102,105,110,116"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,44,38,86,75,"44,86,86,44,44","38,38,75,75,38"
9,tumor,tumor_nonMitotic,tumor_any,polyline,25,274,60,307,"28,25,26,31,38,50,57,60,60,59,52,40,30,28","306,292,289,280,274,274,281,285,290,294,300,307,307,306"
10,tumor,tumor_nonMitotic,tumor_any,polyline,225,39,255,74,"247,255,234,225,228,234,247","39,70,74,65,42,39,39"
11,tumor,tumor_nonMitotic,tumor_any,polyline,300,110,328,143,"300,300,302,308,315,325,328,325,321,318,311,305,300","138,126,118,112,110,115,121,128,136,139,143,142,138"
12,tumor,tumor_nonMitotic,tumor_any,polyline,321,186,350,215,"323,321,323,324,328,336,342,345,346,349,350,349,347,336,329,323","212,205,200,197,194,186,186,187,190,197,202,207,210,215,215,212"
13,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,283,217,313,234,"283,313,313,283,283","217,217,234,234,217"
14,tumor,tumor_nonMitotic,tumor_any,rectangle,81,171,127,229,"81,127,127,81","171,171,229,229"
15,tumor,tumor_nonMitotic,tumor_any,rectangle,91,79,123,113,"91,123,123,91","79,79,113,113"
16,tumor,tumor_nonMitotic,tumor_any,rectangle,1,0,51,60,"1,51,51,1","0,0,60,60"
17,tumor,tumor_nonMitotic,tumor_any,rectangle,182,255,240,313,"182,240,240,182","255,255,313,313"
18,tumor,tumor_nonMitotic,tumor_any,rectangle,124,292,160,346,"124,160,160,124","292,292,346,346"
