,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,polyline,33,41,93,123,"33,36,37,47,54,61,72,88,90,91,93,93,91,88,83,75,69,63,59,53,35,33,33","75,65,62,47,41,41,54,72,77,81,91,94,102,108,115,123,123,121,119,113,88,80,75"
1,tumor,tumor_nonMitotic,tumor_any,polyline,114,86,189,129,"114,116,117,126,142,170,175,179,189,189,182,168,148,140,131,127,121,119,114","105,93,92,88,86,86,88,96,117,121,129,129,128,126,124,121,117,114,105"
2,tumor,tumor_nonMitotic,tumor_any,polyline,75,7,116,71,"75,75,77,78,84,90,96,103,114,115,116,116,115,112,106,90,88,84,78,75","56,41,33,30,20,13,7,7,18,22,34,39,51,62,71,71,70,67,60,56"
3,tumor,tumor_nonMitotic,tumor_any,polyline,211,96,249,155,"211,211,212,220,222,228,232,241,243,246,248,249,248,247,244,237,230,224,220,216,215,211","119,113,104,97,96,96,97,102,104,110,119,130,139,146,151,155,154,150,145,136,133,119"
4,tumor,tumor_nonMitotic,tumor_any,polyline,30,136,77,188,"30,30,31,32,40,46,52,64,73,77,77,75,64,45,37,30","166,151,146,144,136,136,139,147,156,163,171,178,188,188,183,166"
5,tumor,tumor_nonMitotic,tumor_any,polyline,120,303,178,337,"178,178,170,168,148,122,120,120,121,133,149,154,162,177,178","310,330,336,337,337,335,325,319,316,309,304,303,304,309,310"
6,tumor,tumor_nonMitotic,tumor_any,polyline,0,214,47,254,"6,1,0,0,1,21,35,38,45,47,47,37,36,24,6","254,252,245,241,239,224,215,214,214,215,225,241,242,254,254"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,278,291,315,335,"278,315,315,278,278","291,291,335,335,291"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,258,167,298,204,"258,298,298,258,258","167,167,204,204,167"
9,tumor,tumor_nonMitotic,tumor_any,rectangle,257,88,306,105,"257,306,306,257,257","88,88,105,105,88"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,299,112,328,151,"299,328,328,299,299","112,112,151,151,112"
11,tumor,tumor_nonMitotic,tumor_any,rectangle,224,162,251,202,"224,251,251,224,224","162,162,202,202,162"
12,tumor,tumor_nonMitotic,tumor_any,rectangle,206,178,231,218,"206,231,231,206,206","178,178,218,218,178"
13,tumor,tumor_nonMitotic,tumor_any,polyline,108,192,141,224,"141,138,127,120,114,109,108,108,111,116,122,135,137,140,141","212,220,224,223,220,215,210,203,197,194,192,194,198,205,212"
