,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,rectangle,69,279,129,353,"69,129,129,69,69","279,279,353,353,279"
1,tumor,tumor_nonMitotic,tumor_any,rectangle,226,138,281,205,"226,281,281,226,226","138,138,205,205,138"
2,tumor,tumor_nonMitotic,tumor_any,rectangle,153,179,215,238,"153,215,215,153,153","179,179,238,238,179"
3,tumor,tumor_nonMitotic,tumor_any,rectangle,55,66,104,135,"55,104,104,55,55","66,66,135,135,66"
4,tumor,tumor_nonMitotic,tumor_any,rectangle,193,21,255,75,"193,255,255,193,193","21,21,75,75,21"
5,tumor,tumor_nonMitotic,tumor_any,rectangle,161,272,223,324,"161,223,223,161,161","272,272,324,324,272"
6,tumor,tumor_nonMitotic,tumor_any,rectangle,257,8,324,50,"257,324,324,257,257","8,8,50,50,8"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,162,80,216,127,"162,216,216,162,162","80,80,127,127,80"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,287,119,334,170,"287,334,334,287,287","119,119,170,170,119"
9,tumor,tumor_nonMitotic,tumor_any,rectangle,130,32,187,67,"130,187,187,130,130","32,32,67,67,32"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,107,170,151,212,"107,151,151,107,107","170,170,212,212,170"
11,tumor,tumor_nonMitotic,tumor_any,rectangle,160,130,204,172,"160,204,204,160,160","130,130,172,172,130"
12,tumor,tumor_nonMitotic,tumor_any,rectangle,297,75,348,105,"297,348,348,297,297","75,75,105,105,75"
13,tumor,tumor_nonMitotic,tumor_any,rectangle,0,3,52,30,"0,52,52,0,0","3,3,30,30,3"
14,tumor,tumor_nonMitotic,tumor_any,rectangle,257,92,297,133,"257,297,297,257,257","92,92,133,133,92"
15,tumor,tumor_nonMitotic,tumor_any,rectangle,287,51,334,83,"287,334,334,287,287","51,51,83,83,51"
16,tumor,tumor_nonMitotic,tumor_any,rectangle,10,52,55,87,"10,55,55,10,10","52,52,87,87,52"
17,tumor,tumor_nonMitotic,tumor_any,rectangle,111,220,148,262,"111,148,148,111,111","220,220,262,262,220"
18,tumor,tumor_nonMitotic,tumor_any,rectangle,14,94,51,136,"14,51,51,14,14","94,94,136,136,94"
19,tumor,tumor_nonMitotic,tumor_any,polyline,67,157,105,196,"99,78,74,69,67,67,68,69,81,87,98,104,105,105,99","182,196,195,193,184,177,168,167,157,157,158,164,168,172,182"
20,tumor,tumor_nonMitotic,tumor_any,rectangle,227,78,264,117,"227,264,264,227,227","78,78,117,117,78"
21,tumor,tumor_nonMitotic,tumor_any,polyline,20,185,60,220,"21,20,21,29,44,50,53,60,60,58,53,39,31,21","209,200,199,193,185,185,189,203,206,212,215,220,217,209"
22,tumor,tumor_nonMitotic,tumor_any,rectangle,87,4,121,43,"87,121,121,87,87","4,4,43,43,4"
23,tumor,tumor_nonMitotic,tumor_any,rectangle,77,195,121,222,"77,121,121,77,77","195,195,222,222,195"
24,tumor,tumor_nonMitotic,tumor_any,rectangle,51,235,86,272,"51,86,86,51,51","235,235,272,272,235"
25,tumor,tumor_nonMitotic,tumor_any,rectangle,57,25,92,57,"57,92,92,57,57","25,25,57,57,25"
26,tumor,tumor_nonMitotic,tumor_any,rectangle,14,132,46,167,"14,46,46,14,14","132,132,167,167,132"
27,tumor,tumor_nonMitotic,tumor_any,rectangle,30,236,55,275,"30,55,55,30,30","236,236,275,275,236"
28,tumor,tumor_nonMitotic,tumor_any,rectangle,253,72,290,96,"253,290,290,253,253","72,72,96,96,72"
29,vascular_endothelium,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,174,0,187,8,"174,187,187,174,174","0,0,8,8,0"
30,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,288,188,342,236,"288,342,342,288","188,188,236,236"
