,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,rectangle,95,200,167,250,"95,167,167,95,95","200,200,250,250,200"
1,tumor,tumor_nonMitotic,tumor_any,rectangle,252,293,311,350,"252,311,311,252,252","293,293,350,350,293"
2,tumor,tumor_nonMitotic,tumor_any,rectangle,137,31,201,78,"137,201,201,137,137","31,31,78,78,31"
3,tumor,tumor_nonMitotic,tumor_any,rectangle,71,297,131,348,"71,131,131,71,71","297,297,348,348,297"
4,tumor,tumor_nonMitotic,tumor_any,rectangle,273,334,332,378,"273,332,332,273,273","334,334,378,378,334"
5,tumor,tumor_nonMitotic,tumor_any,rectangle,286,190,333,247,"286,333,333,286,286","190,190,247,247,190"
6,tumor,tumor_nonMitotic,tumor_any,rectangle,52,127,96,182,"52,96,96,52,52","127,127,182,182,127"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,302,156,352,203,"302,352,352,302,302","156,156,203,203,156"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,324,79,364,134,"324,364,364,324,324","79,79,134,134,79"
9,tumor,tumor_nonMitotic,tumor_any,rectangle,142,162,186,211,"142,186,186,142,142","162,162,211,211,162"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,0,237,47,284,"0,47,47,0,0","237,237,284,284,237"
11,tumor,tumor_nonMitotic,tumor_any,rectangle,15,268,59,315,"15,59,59,15,15","268,268,315,315,268"
12,tumor,tumor_nonMitotic,tumor_any,rectangle,15,179,57,226,"15,57,57,15,15","179,179,226,226,179"
13,tumor,tumor_nonMitotic,tumor_any,rectangle,136,258,173,308,"136,173,173,136,136","258,258,308,308,258"
14,tumor,tumor_nonMitotic,tumor_any,rectangle,275,100,315,147,"275,315,315,275,275","100,100,147,147,100"
15,tumor,tumor_nonMitotic,tumor_any,rectangle,290,250,329,297,"290,329,329,290,290","250,250,297,297,250"
16,tumor,tumor_nonMitotic,tumor_any,rectangle,41,29,85,71,"41,85,85,41,41","29,29,71,71,29"
17,tumor,tumor_nonMitotic,tumor_any,rectangle,269,53,311,98,"269,311,311,269,269","53,53,98,98,53"
18,tumor,tumor_nonMitotic,tumor_any,rectangle,192,131,239,168,"192,239,239,192,192","131,131,168,168,131"
19,tumor,tumor_nonMitotic,tumor_any,rectangle,180,255,217,301,"180,217,217,180,180","255,255,301,301,255"
20,tumor,tumor_nonMitotic,tumor_any,rectangle,307,287,342,334,"307,342,342,307,307","287,287,334,334,287"
21,tumor,tumor_nonMitotic,tumor_any,rectangle,80,26,127,61,"80,127,127,80,80","26,26,61,61,26"
22,tumor,tumor_nonMitotic,tumor_any,rectangle,215,93,262,127,"215,262,262,215,215","93,93,127,127,93"
23,tumor,tumor_nonMitotic,tumor_any,rectangle,73,74,115,114,"73,115,115,73,73","74,74,114,114,74"
24,tumor,tumor_nonMitotic,tumor_any,rectangle,190,158,225,203,"190,225,225,190,190","158,158,203,203,158"
25,tumor,tumor_nonMitotic,tumor_any,rectangle,200,315,242,352,"200,242,242,200,200","315,315,352,352,315"
26,tumor,tumor_nonMitotic,tumor_any,rectangle,147,306,184,343,"147,184,184,147,147","306,306,343,343,306"
27,tumor,tumor_nonMitotic,tumor_any,polyline,20,317,52,357,"48,52,51,44,42,38,36,25,20,20,21,25,30,33,34,41,46,48","320,331,337,348,351,353,355,357,353,348,343,334,325,319,317,317,319,320"
28,tumor,tumor_nonMitotic,tumor_any,rectangle,327,44,359,83,"327,359,359,327,327","44,44,83,83,44"
29,tumor,tumor_nonMitotic,tumor_any,rectangle,255,0,305,48,"255,305,305,255","0,0,48,48"
30,tumor,tumor_nonMitotic,tumor_any,rectangle,224,192,270,232,"224,270,270,224","192,192,232,232"
31,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,14,103,48,153,"14,48,48,14","103,103,153,153"
32,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,201,70,225,94,"201,225,225,201","70,70,94,94"
