,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,5,219,57,271,"5,57,57,5","219,219,271,271"
1,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,75,267,133,307,"75,133,133,75","267,267,307,307"
2,plasma_cell,plasma_cell,sTIL,rectangle,83,102,113,132,"83,113,113,83","102,102,132,132"
3,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,262,136,316,170,"262,316,316,262,262","136,136,170,170,136"
4,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,136,272,178,319,"136,178,178,136,136","272,272,319,319,272"
5,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,94,304,139,346,"94,139,139,94,94","304,304,346,346,304"
6,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,279,111,324,146,"279,324,324,279,279","111,111,146,146,111"
7,plasma_cell,plasma_cell,sTIL,rectangle,200,210,242,244,"200,242,242,200,200","210,210,244,244,210"
8,plasma_cell,plasma_cell,sTIL,rectangle,251,54,293,87,"251,293,293,251,251","54,54,87,87,54"
9,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,92,13,131,45,"92,131,131,92,92","13,13,45,45,13"
10,lymphocyte,lymphocyte,sTIL,rectangle,1,116,45,141,"1,45,45,1,1","116,116,141,141,116"
11,plasma_cell,plasma_cell,sTIL,rectangle,156,240,191,269,"156,191,191,156,156","240,240,269,269,240"
12,plasma_cell,plasma_cell,sTIL,polyline,313,190,349,217,"316,320,326,341,347,349,337,331,324,320,315,313,313,314,316","194,190,190,195,200,210,217,217,215,212,209,206,203,199,194"
13,plasma_cell,plasma_cell,sTIL,polyline,99,164,126,199,"126,126,119,108,104,102,101,99,104,109,117,122,126","173,191,199,199,195,191,189,175,167,164,167,169,173"
14,plasma_cell,plasma_cell,sTIL,polyline,286,82,319,110,"293,288,287,286,286,287,294,298,310,314,318,319,319,312,307,302,293","110,109,105,100,94,91,84,82,82,85,91,96,98,105,109,110,110"
15,plasma_cell,plasma_cell,sTIL,rectangle,215,289,247,319,"215,247,247,215,215","289,289,319,319,289"
16,lymphocyte,lymphocyte,sTIL,rectangle,167,120,204,142,"167,204,204,167,167","120,120,142,142,120"
17,plasma_cell,plasma_cell,sTIL,polyline,260,183,293,210,"268,262,261,260,262,267,271,281,288,292,293,293,287,286,276,268","210,206,203,196,193,186,183,183,184,186,189,198,206,207,210,210"
18,plasma_cell,plasma_cell,sTIL,rectangle,288,286,323,311,"288,323,323,288,288","286,286,311,311,286"
19,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,209,248,234,283,"209,234,234,209,209","248,248,283,283,248"
20,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,65,265,99,290,"65,99,99,65,65","265,265,290,290,265"
21,plasma_cell,plasma_cell,sTIL,polyline,251,95,287,117,"282,287,284,279,270,261,260,254,251,251,252,278,282","98,110,114,116,117,117,116,106,100,98,95,96,98"
22,plasma_cell,plasma_cell,sTIL,polyline,247,273,278,300,"270,251,247,247,255,257,263,270,273,276,278,277,270","300,298,285,282,275,274,273,273,275,279,285,291,300"
23,plasma_cell,plasma_cell,sTIL,rectangle,289,233,314,265,"289,314,314,289,289","233,233,265,265,233"
24,lymphocyte,lymphocyte,sTIL,rectangle,149,205,178,232,"149,178,178,149,149","205,205,232,232,205"
25,plasma_cell,plasma_cell,sTIL,rectangle,72,116,102,143,"72,102,102,72,72","116,116,143,143,116"
26,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,105,206,138,228,"105,138,138,105,105","206,206,228,228,206"
27,plasma_cell,plasma_cell,sTIL,rectangle,310,267,335,296,"310,335,335,310,310","267,267,296,296,267"
28,lymphocyte,lymphocyte,sTIL,rectangle,226,333,256,358,"226,256,256,226,226","333,333,358,358,333"
29,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,189,80,214,110,"189,214,214,189,189","80,80,110,110,80"
30,lymphocyte,lymphocyte,sTIL,polyline,233,177,258,205,"239,247,254,256,257,258,257,250,247,241,237,234,233,233,234,239","183,177,178,180,183,190,196,204,205,205,204,201,200,196,190,183"
31,lymphocyte,lymphocyte,sTIL,polyline,24,69,50,98,"24,28,30,35,41,44,50,50,49,46,36,28,25,24","89,75,73,69,69,71,78,83,89,94,98,98,96,89"
32,plasma_cell,plasma_cell,sTIL,rectangle,310,57,337,84,"310,337,337,310,310","57,57,84,84,57"
33,plasma_cell,plasma_cell,sTIL,rectangle,181,185,208,212,"181,208,208,181,181","185,185,212,212,185"
34,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,82,241,109,268,"82,109,109,82,82","241,241,268,268,241"
35,lymphocyte,lymphocyte,sTIL,polyline,254,115,284,137,"257,254,255,256,277,284,281,278,273,266,260,257","133,128,121,119,115,116,130,135,137,137,135,133"
36,lymphocyte,lymphocyte,sTIL,polyline,224,156,250,183,"234,228,224,224,225,234,236,240,247,250,249,247,239,234","183,179,170,168,164,157,156,157,162,164,170,175,180,183"
37,lymphocyte,lymphocyte,sTIL,polyline,221,11,251,33,"224,221,225,226,233,246,250,251,251,246,242,231,225,224","29,24,14,11,11,13,14,15,21,31,33,33,30,29"
38,lymphocyte,lymphocyte,sTIL,rectangle,130,166,160,188,"130,160,160,130,130","166,166,188,188,166"
39,lymphocyte,lymphocyte,sTIL,polyline,193,143,221,167,"194,193,194,198,209,215,218,221,221,220,219,217,210,202,194","162,157,152,147,143,143,145,149,154,159,162,164,167,167,162"
40,lymphocyte,lymphocyte,sTIL,polyline,56,8,81,35,"57,56,59,66,72,75,80,81,78,72,65,61,57","31,21,16,8,8,9,14,21,29,35,35,33,31"
41,lymphocyte,lymphocyte,sTIL,rectangle,113,0,138,27,"113,138,138,113,113","0,0,27,27,0"
42,lymphocyte,lymphocyte,sTIL,rectangle,115,59,142,84,"115,142,142,115,115","59,59,84,84,59"
43,plasma_cell,plasma_cell,sTIL,rectangle,59,157,86,182,"59,86,86,59,59","157,157,182,182,157"
44,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,287,198,314,222,"287,314,314,287,287","198,198,222,222,198"
45,lymphocyte,lymphocyte,sTIL,polyline,304,322,330,348,"312,315,321,328,330,330,329,328,315,308,304,304,305,312","326,322,322,323,326,336,340,341,348,348,346,340,336,326"
46,lymphocyte,lymphocyte,sTIL,polyline,265,14,291,40,"265,265,266,267,270,281,286,291,291,289,284,282,279,270,266,265","33,22,19,16,14,15,16,19,27,30,36,38,40,38,36,33"
47,lymphocyte,lymphocyte,sTIL,rectangle,244,140,271,162,"244,271,271,244,244","140,140,162,162,140"
48,lymphocyte,lymphocyte,sTIL,rectangle,66,59,93,82,"66,93,93,66,66","59,59,82,82,59"
49,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,141,130,167,153,"141,142,149,161,162,167,167,165,150,142,141","143,135,130,130,131,146,151,153,153,149,143"
50,plasma_cell,plasma_cell,sTIL,rectangle,45,121,70,146,"45,70,70,45,45","121,121,146,146,121"
51,lymphocyte,lymphocyte,sTIL,polyline,315,148,344,168,"316,315,318,325,337,340,342,344,340,335,320,316","164,156,153,148,148,149,153,162,166,168,168,164"
52,lymphocyte,lymphocyte,sTIL,rectangle,202,25,229,45,"202,229,229,202,202","25,25,45,45,25"
53,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,156,183,176,210,"156,176,176,156,156","183,183,210,210,183"
54,lymphocyte,lymphocyte,sTIL,rectangle,14,9,39,31,"14,39,39,14,14","9,9,31,31,9"
55,lymphocyte,lymphocyte,sTIL,rectangle,165,154,187,179,"165,187,187,165,165","154,154,179,179,154"
56,lymphocyte,lymphocyte,sTIL,rectangle,181,98,205,117,"181,205,205,181,181","98,98,117,117,98"
57,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,256,210,276,235,"256,276,276,256,256","210,210,235,235,210"
58,lymphocyte,lymphocyte,sTIL,rectangle,82,14,104,36,"82,104,104,82,82","14,14,36,36,14"
59,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,15,282,38,301,"15,38,38,15,15","282,282,301,301,282"
60,lymphocyte,lymphocyte,sTIL,rectangle,192,258,212,278,"192,212,212,192,192","258,258,278,278,258"
61,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,187,236,207,253,"187,207,207,187,187","236,236,253,253,236"
