,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,253,44,295,72,"253,295,295,253","44,44,72,72"
1,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,252,110,314,140,"252,314,314,252","110,110,140,140"
2,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,303,83,373,145,"303,373,373,303","83,83,145,145"
3,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,91,291,133,325,"91,133,133,91","291,291,325,325"
4,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,163,112,199,148,"163,199,199,163","112,112,148,148"
5,lymphocyte,lymphocyte,sTIL,rectangle,210,8,236,32,"210,236,236,210","8,8,32,32"
6,lymphocyte,lymphocyte,sTIL,rectangle,188,30,208,56,"188,208,208,188","30,30,56,56"
7,lymphocyte,lymphocyte,sTIL,rectangle,293,2,321,18,"293,321,321,293","2,2,18,18"
8,lymphocyte,lymphocyte,sTIL,rectangle,282,149,310,173,"282,310,310,282","149,149,173,173"
9,lymphocyte,lymphocyte,sTIL,rectangle,249,246,277,266,"249,277,277,249","246,246,266,266"
10,lymphocyte,lymphocyte,sTIL,rectangle,184,280,210,300,"184,210,210,184","280,280,300,300"
11,lymphocyte,lymphocyte,sTIL,rectangle,152,279,178,297,"152,178,178,152","279,279,297,297"
12,lymphocyte,lymphocyte,sTIL,rectangle,217,277,239,301,"217,239,239,217","277,277,301,301"
13,lymphocyte,lymphocyte,sTIL,rectangle,162,307,180,331,"162,180,180,162","307,307,331,331"
14,lymphocyte,lymphocyte,sTIL,rectangle,122,129,152,155,"122,152,152,122","129,129,155,155"
15,lymphocyte,lymphocyte,sTIL,rectangle,91,32,111,54,"91,111,111,91","32,32,54,54"
16,lymphocyte,lymphocyte,sTIL,rectangle,126,18,150,40,"126,150,150,126","18,18,40,40"
17,lymphocyte,lymphocyte,sTIL,rectangle,113,39,139,61,"113,139,139,113","39,39,61,61"
18,lymphocyte,lymphocyte,sTIL,rectangle,108,66,126,92,"108,126,126,108","66,66,92,92"
19,lymphocyte,lymphocyte,sTIL,rectangle,33,35,53,59,"33,53,53,33","35,35,59,59"
20,lymphocyte,lymphocyte,sTIL,rectangle,12,63,36,83,"12,36,36,12","63,63,83,83"
21,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,183,220,201,248,"183,201,201,183","220,220,248,248"
22,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,195,225,227,249,"195,227,227,195","225,225,249,249"
23,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,49,11,73,33,"49,73,73,49","11,11,33,33"
24,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,72,49,96,81,"72,96,96,72","49,49,81,81"
