,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,305,231,344,257,"305,305,310,313,327,332,339,342,343,344,342,339,333,314,311,305","253,240,234,231,232,233,237,240,244,250,253,254,257,257,255,253"
1,tumor,tumor_nonMitotic,tumor_any,polyline,82,213,113,239,"87,82,87,90,108,112,113,112,108,106,96,94,87","233,224,216,213,213,216,224,233,238,239,238,237,233"
2,tumor,tumor_nonMitotic,tumor_any,rectangle,155,181,224,250,"155,224,224,155,155","181,181,250,250,181"
3,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,310,271,364,345,"310,364,364,310,310","271,271,345,345,271"
4,tumor,tumor_nonMitotic,tumor_any,rectangle,268,48,314,95,"268,314,314,268,268","48,48,95,95,48"
5,tumor,tumor_nonMitotic,tumor_any,rectangle,39,148,89,187,"39,89,89,39,39","148,148,187,187,148"
6,tumor,tumor_nonMitotic,tumor_any,rectangle,307,165,351,200,"307,351,351,307,307","165,165,200,200,165"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,306,55,343,97,"306,343,343,306,306","55,55,97,97,55"
8,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,102,292,157,312,"102,157,157,102,102","292,292,312,312,292"
9,tumor,tumor_nonMitotic,tumor_any,rectangle,238,25,290,44,"238,290,290,238,238","25,25,44,44,25"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,298,203,348,231,"298,348,348,298,298","203,203,231,231,203"
11,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,65,287,107,319,"65,107,107,65,65","287,287,319,319,287"
12,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,27,284,59,326,"27,59,59,27,27","284,284,326,326,284"
13,tumor,tumor_nonMitotic,tumor_any,rectangle,255,145,292,180,"255,292,292,255,255","145,145,180,180,145"
14,tumor,tumor_nonMitotic,tumor_any,rectangle,274,104,306,143,"274,306,306,274,274","104,104,143,143,104"
15,tumor,tumor_nonMitotic,tumor_any,rectangle,274,175,306,212,"274,306,306,274,274","175,175,212,212,175"
16,tumor,tumor_nonMitotic,tumor_any,rectangle,201,0,240,27,"201,240,240,201,201","0,0,27,27,0"
17,tumor,tumor_nonMitotic,tumor_any,rectangle,91,153,123,185,"91,123,123,91,91","153,153,185,185,153"
18,vascular_endothelium,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,129,201,166,221,"129,166,166,129,129","201,201,221,221,201"
19,tumor,tumor_nonMitotic,tumor_any,rectangle,0,138,32,163,"0,32,32,0,0","138,138,163,163,138"
20,tumor,tumor_nonMitotic,tumor_any,rectangle,195,153,219,170,"195,219,219,195,195","153,153,170,170,153"
