,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,polyline,88,251,155,321,"103,124,136,155,153,150,145,140,128,120,115,104,97,92,89,88,89,97,103","269,251,251,279,292,300,308,313,317,320,321,321,317,311,308,300,296,278,269"
1,tumor,tumor_nonMitotic,tumor_any,polyline,202,220,274,283,"202,207,213,223,229,235,245,257,273,274,274,273,267,248,240,229,205,203,202","277,247,235,225,220,220,222,229,245,247,253,259,268,282,283,283,282,280,277"
2,tumor,tumor_nonMitotic,tumor_any,polyline,284,163,343,226,"284,284,290,295,299,306,313,334,336,341,343,343,342,332,326,315,308,295,287,284","210,193,181,174,171,166,163,166,167,177,187,208,216,224,226,225,224,221,215,210"
3,tumor,tumor_nonMitotic,tumor_any,polyline,139,218,183,277,"139,142,150,156,162,179,182,183,183,182,174,170,158,152,149,142,139","252,237,218,218,220,242,247,255,263,267,273,277,277,276,272,261,252"
4,tumor,tumor_nonMitotic,tumor_any,polyline,173,135,220,190,"174,173,174,181,183,190,197,211,213,218,219,220,219,218,211,209,202,193,187,184,181,178,174","168,161,150,140,137,135,135,142,143,150,152,156,171,174,188,190,190,188,185,184,181,177,168"
5,tumor,tumor_nonMitotic,tumor_any,polyline,135,90,181,145,"135,135,136,140,144,150,158,161,176,177,179,181,181,179,176,173,161,146,141,139,135","119,114,104,94,90,90,94,95,105,106,110,124,130,136,139,140,145,145,142,139,119"
6,tumor,tumor_nonMitotic,tumor_any,polyline,113,203,157,251,"123,113,114,118,124,128,146,155,157,157,139,123","251,227,220,211,205,203,203,211,215,216,248,251"
7,tumor,tumor_nonMitotic,tumor_any,polyline,83,126,123,169,"83,83,86,87,104,109,115,121,123,123,115,109,99,94,87,83","166,147,143,142,129,126,126,132,140,143,155,161,168,169,168,166"
8,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,207,61,245,103,"210,207,209,213,228,234,237,240,244,245,241,236,220,218,210","85,74,69,65,61,61,65,69,83,89,98,100,103,100,85"
9,tumor,tumor_nonMitotic,tumor_any,polyline,163,294,194,336,"163,166,177,182,187,189,192,194,193,186,172,168,163","322,303,294,295,298,300,304,322,326,336,336,332,322"
10,tumor,tumor_nonMitotic,tumor_any,polyline,4,262,37,301,"12,18,24,30,35,37,33,28,13,9,8,4,8,12","266,262,262,267,274,283,293,301,301,300,299,282,273,266"
11,tumor,tumor_nonMitotic,tumor_any,polyline,277,85,314,114,"282,277,282,284,302,308,311,313,314,314,306,305,297,282","106,103,93,92,85,85,87,89,94,95,106,108,114,106"
12,tumor,tumor_nonMitotic,tumor_any,polyline,199,195,228,222,"199,199,205,211,218,224,228,228,224,219,213,207,199","214,203,195,195,197,199,205,216,219,221,222,221,214"
13,tumor,tumor_nonMitotic,tumor_any,polyline,309,99,368,160,"323,351,356,357,368,368,363,358,321,316,314,309,309,314,323","116,99,100,102,135,141,153,160,158,157,153,143,137,126,116"
14,tumor,tumor_nonMitotic,tumor_any,polyline,207,102,258,147,"207,211,221,224,236,246,248,257,258,258,253,246,236,220,215,208,207,207","125,113,103,102,102,104,105,115,119,126,136,143,147,147,143,134,130,125"
15,tumor,tumor_nonMitotic,tumor_any,rectangle,30,113,79,155,"30,79,79,30,30","113,113,155,155,113"
16,tumor,tumor_nonMitotic,tumor_any,rectangle,121,15,173,52,"121,173,173,121,121","15,15,52,52,15"
17,tumor,tumor_nonMitotic,tumor_any,rectangle,25,72,65,111,"25,65,65,25,25","72,72,111,111,72"
18,tumor,tumor_nonMitotic,tumor_any,rectangle,189,5,221,45,"189,221,221,189,189","5,5,45,45,5"
19,tumor,tumor_nonMitotic,tumor_any,rectangle,8,148,37,183,"8,37,37,8,8","148,148,183,183,148"
20,tumor,tumor_nonMitotic,tumor_any,rectangle,197,267,256,306,"197,256,256,197,197","267,267,306,306,267"
21,tumor,tumor_nonMitotic,tumor_any,rectangle,113,68,165,118,"113,165,165,113,113","68,68,118,118,68"
22,tumor,tumor_nonMitotic,tumor_any,rectangle,78,41,142,88,"78,142,142,78,78","41,41,88,88,41"
23,tumor,tumor_nonMitotic,tumor_any,rectangle,35,147,74,177,"35,74,74,35,35","147,147,177,177,147"
24,tumor,tumor_nonMitotic,tumor_any,rectangle,0,93,37,150,"0,37,37,0,0","93,93,150,150,93"
25,lymphocyte,lymphocyte,sTIL,rectangle,50,258,77,288,"50,77,77,50,50","258,258,288,288,258"
