,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,33,34,57,86,"57,57,55,44,36,34,33,33,40,45,51,56,57","52,79,84,86,84,83,79,73,45,38,34,43,52"
1,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,113,0,152,43,"113,113,120,122,132,144,146,150,152,152,150,149,144,136,134,124,113","33,25,10,8,0,0,1,6,12,21,28,31,37,42,43,42,33"
2,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,70,112,109,149,"70,76,90,96,99,106,108,109,109,107,106,102,94,88,80,76,72,70","141,122,116,113,112,112,113,118,120,136,138,142,148,149,149,148,145,141"
3,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,28,102,74,158,"28,30,48,51,56,62,66,74,74,72,69,62,56,49,43,32,28,28","143,137,112,107,102,103,108,121,123,133,141,149,154,158,158,157,145,143"
4,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,1,280,39,316,"20,11,4,1,2,4,6,14,20,35,39,39,38,32,20","316,308,301,296,289,285,284,280,280,286,289,306,310,316,316"
5,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,169,44,201,78,"169,169,175,178,183,196,201,201,199,196,187,177,173,169","70,59,50,47,44,44,52,62,66,73,78,78,76,70"
6,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,32,281,59,317,"32,33,44,50,55,59,59,55,54,51,45,32","317,284,281,281,286,291,297,306,308,310,312,317"
7,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,262,205,299,243,"268,276,282,298,299,299,298,288,280,276,267,264,262,262,265,268","215,205,205,211,215,227,233,238,242,243,242,238,236,227,221,215"
8,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,213,287,240,322,"213,240,240,213,213","287,287,322,322,287"
9,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,307,249,331,286,"307,331,331,307,307","249,249,286,286,249"
10,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,322,160,339,187,"322,339,339,322,322","160,160,187,187,160"
11,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,43,205,65,234,"43,65,65,43,43","205,205,234,234,205"
12,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,299,21,322,53,"299,322,322,299,299","21,21,53,53,21"
