,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,15,157,55,221,"15,55,55,15","157,157,221,221"
1,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,158,26,186,50,"158,186,186,158","26,26,50,50"
2,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,100,110,164,159,"100,164,164,100,100","110,110,159,159,110"
3,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,110,191,159,251,"110,159,159,110,110","191,191,251,251,191"
4,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,158,142,217,186,"158,217,217,158,158","142,142,186,186,142"
5,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,212,95,269,139,"212,269,269,212,212","95,95,139,139,95"
6,tumor,tumor_nonMitotic,tumor_any,rectangle,222,279,272,313,"222,272,272,222,222","279,279,313,313,279"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,298,152,345,189,"298,345,345,298,298","152,152,189,189,152"
8,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,66,196,104,242,"98,104,100,93,92,72,71,66,66,68,71,74,88,94,98","199,211,225,237,238,242,241,233,227,214,210,206,196,196,199"
9,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,8,102,40,152,"8,40,40,8,8","102,102,152,152,102"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,125,258,157,305,"125,157,157,125,125","258,258,305,305,258"
11,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,59,160,99,200,"59,99,99,59,59","160,160,200,200,160"
12,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,317,52,364,81,"317,364,364,317,317","52,52,81,81,52"
13,tumor,tumor_nonMitotic,tumor_any,rectangle,257,0,287,47,"257,287,287,257,257","0,0,47,47,0"
14,tumor,tumor_nonMitotic,tumor_any,polyline,241,205,274,248,"241,242,248,254,267,272,274,274,273,272,268,261,256,248,241,241","216,211,205,206,211,216,221,228,238,243,246,248,246,238,223,216"
15,tumor,tumor_nonMitotic,tumor_any,polyline,296,296,335,334,"296,298,300,306,309,315,319,330,333,335,332,327,321,315,309,306,296,296","315,310,304,297,296,296,297,307,315,326,328,332,334,334,332,331,320,315"
16,tumor,tumor_nonMitotic,tumor_any,rectangle,135,292,177,325,"135,177,177,135,135","292,292,325,325,292"
17,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,232,333,272,365,"232,272,272,232,232","333,333,365,365,333"
18,tumor,tumor_nonMitotic,tumor_any,rectangle,300,209,337,241,"300,337,337,300,300","209,209,241,241,209"
19,tumor,tumor_nonMitotic,tumor_any,rectangle,306,239,346,267,"306,346,346,306,306","239,239,267,267,239"
20,tumor,tumor_nonMitotic,tumor_any,rectangle,220,9,250,46,"220,250,250,220,220","9,9,46,46,9"
21,tumor,tumor_nonMitotic,tumor_any,polyline,172,239,203,274,"172,182,183,188,196,200,203,188,185,175,174,172","253,241,239,241,249,257,274,274,273,265,262,253"
22,tumor,tumor_nonMitotic,tumor_any,polyline,231,164,263,194,"231,232,240,245,248,257,262,263,263,262,259,257,252,245,241,235,232,231,231","173,169,164,165,167,170,174,179,180,184,188,190,194,190,188,183,179,174,173"
23,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,30,73,57,105,"30,57,57,30,30","73,73,105,105,73"
24,plasma_cell,plasma_cell,sTIL,rectangle,283,22,312,52,"283,312,312,283,283","22,22,52,52,22"
25,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,278,333,310,359,"283,278,279,288,290,294,300,306,308,310,310,306,296,284,283","358,347,342,336,334,333,333,336,337,342,349,353,359,359,358"
26,lymphocyte,lymphocyte,sTIL,polyline,253,54,283,81,"253,254,261,273,278,279,283,282,279,278,268,262,259,254,253","73,60,54,54,56,57,63,70,75,77,81,80,79,75,73"
27,lymphocyte,lymphocyte,sTIL,polyline,6,315,34,344,"6,6,8,9,10,14,16,24,27,32,34,32,31,26,20,16,11,8,6","341,331,326,322,321,318,317,315,316,318,322,328,331,337,342,344,343,342,341"
28,lymphocyte,lymphocyte,sTIL,rectangle,135,51,164,78,"135,164,164,135,135","51,51,78,78,51"
29,lymphocyte,lymphocyte,sTIL,rectangle,82,102,109,130,"82,109,109,82,82","102,102,130,130,102"
30,lymphocyte,lymphocyte,sTIL,rectangle,62,125,89,149,"62,89,89,62,62","125,125,149,149,125"
31,lymphocyte,lymphocyte,sTIL,polyline,0,290,31,310,"6,0,10,13,19,27,29,31,30,25,14,6","307,299,291,290,290,292,294,299,304,310,310,307"
32,lymphocyte,lymphocyte,sTIL,rectangle,40,263,67,285,"40,67,67,40,40","263,263,285,285,263"
33,lymphocyte,lymphocyte,sTIL,rectangle,19,234,43,259,"19,43,43,19,19","234,234,259,259,234"
34,lymphocyte,lymphocyte,sTIL,polyline,220,73,245,96,"220,220,221,224,240,245,241,236,233,227,224,222,220","89,81,78,73,75,81,90,95,96,96,95,94,89"
35,lymphocyte,lymphocyte,sTIL,rectangle,174,101,196,126,"174,196,196,174,174","101,101,126,126,101"
36,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,205,37,227,62,"205,227,227,205,205","37,37,62,62,37"
37,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,5,52,27,72,"5,27,27,5,5","52,52,72,72,52"
38,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,167,334,189,354,"167,189,189,167,167","334,334,354,354,334"
