,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,lymphocyte,lymphocyte,sTIL,rectangle,145,27,173,59,"145,173,173,145","27,27,59,59"
1,lymphocyte,lymphocyte,sTIL,rectangle,86,12,118,36,"86,118,118,86","12,12,36,36"
2,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,16,60,52,90,"16,52,52,16","60,60,90,90"
3,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,27,149,47,175,"27,47,47,27","149,149,175,175"
4,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,0,157,28,181,"0,28,28,0","157,157,181,181"
5,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,10,183,30,211,"10,30,30,10","183,183,211,211"
6,tumor,tumor_nonMitotic,tumor_any,rectangle,35,241,102,278,"35,102,102,35,35","241,241,278,278,241"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,125,250,194,280,"125,194,194,125,125","250,250,280,280,250"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,101,281,165,318,"101,165,165,101,101","281,281,318,318,281"
9,tumor,tumor_nonMitotic,tumor_any,rectangle,41,38,101,80,"41,101,101,41,41","38,38,80,80,38"
10,tumor,tumor_nonMitotic,tumor_any,polyline,128,324,183,373,"183,183,182,178,163,152,138,133,131,128,131,134,141,147,156,167,169,174,175,178,183","355,368,370,373,370,368,358,351,345,335,328,324,324,325,328,332,333,337,338,342,355"
11,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,318,126,364,179,"364,364,360,358,333,330,328,319,318,319,320,333,339,345,350,356,363,364","149,157,170,179,177,175,173,162,156,152,149,127,126,127,130,136,144,149"
12,tumor,tumor_nonMitotic,tumor_any,rectangle,117,167,177,199,"117,177,177,117,117","167,167,199,199,167"
13,tumor,tumor_nonMitotic,tumor_any,rectangle,87,215,139,252,"87,139,139,87,87","215,215,252,252,215"
14,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,37,1,84,43,"37,84,84,37,37","1,1,43,43,1"
15,tumor,tumor_nonMitotic,tumor_any,rectangle,68,318,120,353,"68,120,120,68,68","318,318,353,353,318"
16,tumor,tumor_nonMitotic,tumor_any,polyline,187,30,236,68,"192,187,188,190,194,198,206,213,219,223,225,234,235,236,236,235,234,231,224,220,210,205,192","58,49,39,37,34,33,30,30,32,33,34,40,41,49,53,58,60,63,66,68,68,66,58"
17,tumor,tumor_nonMitotic,tumor_any,rectangle,70,79,117,111,"70,117,117,70,70","79,79,111,111,79"
18,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,285,12,324,50,"285,302,308,312,322,324,324,319,318,316,309,303,294,289,285,285","27,12,12,13,27,32,39,46,48,49,50,49,46,41,30,27"
