,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,plasma_cell,plasma_cell,sTIL,polyline,175,113,208,158,"175,179,180,181,187,193,200,202,205,208,203,190,175,175","154,129,124,120,115,113,115,117,124,145,149,158,158,154"
1,plasma_cell,plasma_cell,sTIL,polyline,200,18,231,53,"200,200,205,207,218,224,231,231,229,226,221,205,200","52,39,22,21,18,18,24,26,36,42,50,53,52"
2,plasma_cell,plasma_cell,sTIL,polyline,303,269,339,299,"303,311,321,330,336,339,336,331,321,311,309,306,303","282,272,269,273,279,288,297,299,298,295,294,290,282"
3,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,197,63,238,86,"205,197,198,201,213,222,229,236,237,238,236,205","82,75,66,63,63,65,66,72,76,84,86,82"
4,plasma_cell,plasma_cell,sTIL,polyline,312,140,350,168,"325,321,315,312,316,322,331,337,345,347,350,350,332,325","168,166,160,156,148,142,140,140,142,143,145,156,168,168"
5,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,14,107,53,129,"16,14,15,19,24,35,47,52,53,53,47,38,22,16","123,119,112,109,108,107,107,112,114,120,123,125,129,123"
6,plasma_cell,plasma_cell,sTIL,polyline,286,94,324,120,"286,288,294,300,312,314,324,321,316,303,290,288,286,286","107,104,94,94,97,98,111,118,120,120,118,117,111,107"
7,plasma_cell,plasma_cell,sTIL,polyline,160,195,193,225,"165,160,162,166,186,190,191,193,186,180,175,171,165","213,205,197,195,195,200,205,216,225,225,222,220,213"
8,plasma_cell,plasma_cell,sTIL,polyline,222,29,249,63,"238,229,222,222,224,229,244,248,249,249,247,246,242,238","63,62,57,53,45,39,29,31,32,34,57,60,62,63"
9,plasma_cell,plasma_cell,sTIL,polyline,231,125,263,155,"231,234,239,242,252,259,262,263,262,255,247,239,233,231,231","139,130,127,125,127,130,135,144,146,151,155,154,149,142,139"
10,plasma_cell,plasma_cell,sTIL,polyline,310,56,342,84,"310,316,319,327,332,337,342,342,339,334,326,322,315,311,310","63,57,56,58,61,65,70,75,81,84,84,83,77,70,63"
11,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,275,251,301,284,"275,277,281,295,299,300,301,300,298,281,275,275","277,261,251,252,254,256,261,277,284,282,280,277"
12,plasma_cell,plasma_cell,sTIL,polyline,171,161,202,190,"171,175,176,180,186,192,200,202,202,201,196,184,172,171,171","181,170,168,161,161,164,170,174,181,184,186,190,190,186,181"
13,plasma_cell,plasma_cell,sTIL,polyline,254,47,289,71,"278,267,257,255,254,258,263,275,281,289,288,278","71,70,63,61,57,52,47,47,50,55,65,71"
14,plasma_cell,plasma_cell,sTIL,polyline,105,204,136,231,"114,107,105,105,112,129,135,136,130,125,122,114","231,230,225,218,213,204,204,213,225,230,231,231"
15,plasma_cell,plasma_cell,sTIL,polyline,0,143,30,171,"1,0,4,14,19,29,30,30,26,15,6,2,1","169,159,148,143,144,150,151,154,160,171,171,170,169"
16,plasma_cell,plasma_cell,sTIL,polyline,286,181,319,206,"286,289,291,298,314,316,319,319,314,299,286","195,184,181,181,185,186,191,200,206,206,195"
17,plasma_cell,plasma_cell,sTIL,polyline,82,108,117,129,"89,103,109,110,117,117,115,112,105,97,91,86,82,84,89","108,108,111,112,119,122,127,129,129,128,127,122,115,111,108"
18,plasma_cell,plasma_cell,sTIL,polyline,74,261,104,288,"92,98,99,104,104,103,97,93,78,74,76,79,83,92","261,261,262,270,273,282,287,288,287,284,280,270,267,261"
