,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,lymphocyte,lymphocyte,sTIL,rectangle,301,169,327,215,"301,327,327,301","169,169,215,215"
1,macrophage,macrophage,nonTIL_stromal,rectangle,109,222,135,266,"109,135,135,109","222,222,266,266"
2,macrophage,macrophage,nonTIL_stromal,rectangle,49,222,69,266,"49,69,69,49","222,222,266,266"
3,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,29,40,57,78,"29,57,57,29","40,40,78,78"
4,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,181,294,203,336,"181,203,203,181","294,294,336,336"
5,lymphocyte,lymphocyte,sTIL,rectangle,351,143,377,181,"351,377,377,351","143,143,181,181"
6,lymphocyte,lymphocyte,sTIL,rectangle,194,182,220,218,"194,220,220,194","182,182,218,218"
7,lymphocyte,lymphocyte,sTIL,rectangle,230,290,266,316,"230,266,266,230","290,290,316,316"
8,lymphocyte,lymphocyte,sTIL,rectangle,366,158,394,192,"366,394,394,366","158,158,192,192"
9,lymphocyte,lymphocyte,sTIL,rectangle,192,261,220,295,"192,220,220,192","261,261,295,295"
10,lymphocyte,lymphocyte,sTIL,rectangle,206,291,232,325,"206,232,232,206","291,291,325,325"
11,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,1,88,35,116,"1,35,35,1","88,88,116,116"
12,macrophage,macrophage,nonTIL_stromal,rectangle,167,83,201,107,"167,201,201,167","83,83,107,107"
13,lymphocyte,lymphocyte,sTIL,rectangle,310,35,338,65,"310,338,338,310","35,35,65,65"
14,macrophage,macrophage,nonTIL_stromal,rectangle,268,176,298,204,"268,298,298,268","176,176,204,204"
15,lymphocyte,lymphocyte,sTIL,rectangle,202,237,228,267,"202,228,228,202","237,237,267,267"
16,lymphocyte,lymphocyte,sTIL,rectangle,37,141,59,175,"37,59,59,37","141,141,175,175"
17,macrophage,macrophage,nonTIL_stromal,rectangle,106,147,136,175,"106,136,136,106","147,147,175,175"
18,lymphocyte,lymphocyte,sTIL,rectangle,42,307,68,337,"42,68,68,42","307,307,337,337"
19,lymphocyte,lymphocyte,sTIL,rectangle,307,267,333,297,"307,333,333,307","267,267,297,297"
20,lymphocyte,lymphocyte,sTIL,rectangle,287,231,313,261,"287,313,313,287","231,231,261,261"
21,lymphocyte,lymphocyte,sTIL,rectangle,112,21,138,51,"112,138,138,112","21,21,51,51"
22,lymphocyte,lymphocyte,sTIL,rectangle,94,200,120,228,"94,120,120,94","200,200,228,228"
23,lymphocyte,lymphocyte,sTIL,rectangle,93,2,121,28,"93,121,121,93","2,2,28,28"
24,lymphocyte,lymphocyte,sTIL,rectangle,135,322,163,350,"135,163,163,135","322,322,350,350"
25,lymphocyte,lymphocyte,sTIL,rectangle,318,226,338,260,"318,338,338,318","226,226,260,260"
26,lymphocyte,lymphocyte,sTIL,rectangle,68,77,94,105,"68,94,94,68","77,77,105,105"
27,lymphocyte,lymphocyte,sTIL,rectangle,211,329,237,357,"211,237,237,211","329,329,357,357"
28,lymphocyte,lymphocyte,sTIL,rectangle,16,172,36,204,"16,36,36,16","172,172,204,204"
29,macrophage,macrophage,nonTIL_stromal,rectangle,235,113,257,143,"235,257,257,235","113,113,143,143"
30,lymphocyte,lymphocyte,sTIL,rectangle,146,233,164,267,"146,164,164,146","233,233,267,267"
31,lymphocyte,lymphocyte,sTIL,rectangle,143,159,165,189,"143,165,165,143","159,159,189,189"
32,lymphocyte,lymphocyte,sTIL,rectangle,355,231,383,255,"355,383,383,355","231,231,255,255"
33,lymphocyte,lymphocyte,sTIL,rectangle,346,258,372,286,"346,372,372,346","258,258,286,286"
34,lymphocyte,lymphocyte,sTIL,rectangle,180,137,208,163,"180,208,208,180","137,137,163,163"
35,lymphocyte,lymphocyte,sTIL,rectangle,82,167,110,193,"82,110,110,82","167,167,193,193"
36,lymphocyte,lymphocyte,sTIL,rectangle,290,327,310,357,"290,310,310,290","327,327,357,357"
37,lymphocyte,lymphocyte,sTIL,rectangle,282,46,304,76,"282,304,304,282","46,46,76,76"
38,lymphocyte,lymphocyte,sTIL,rectangle,280,300,308,322,"280,308,308,280","300,300,322,322"
39,lymphocyte,lymphocyte,sTIL,rectangle,132,91,156,119,"132,156,156,132","91,91,119,119"
40,lymphocyte,lymphocyte,sTIL,rectangle,237,219,257,249,"237,257,257,237","219,219,249,249"
41,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,242,151,268,177,"242,268,268,242","151,151,177,177"
42,lymphocyte,lymphocyte,sTIL,rectangle,57,125,79,153,"57,79,79,57","125,125,153,153"
43,lymphocyte,lymphocyte,sTIL,rectangle,142,129,166,155,"142,166,166,142","129,129,155,155"
44,lymphocyte,lymphocyte,sTIL,rectangle,225,188,249,214,"225,249,249,225","188,188,214,214"
45,lymphocyte,lymphocyte,sTIL,rectangle,241,182,265,208,"241,265,265,241","182,182,208,208"
46,lymphocyte,lymphocyte,sTIL,rectangle,216,171,234,201,"216,234,234,216","171,171,201,201"
47,lymphocyte,lymphocyte,sTIL,rectangle,167,171,189,199,"167,189,189,167","171,171,199,199"
48,lymphocyte,lymphocyte,sTIL,rectangle,71,214,97,236,"71,97,97,71","214,214,236,236"
49,lymphocyte,lymphocyte,sTIL,rectangle,74,0,96,26,"74,96,96,74","0,0,26,26"
50,lymphocyte,lymphocyte,sTIL,rectangle,116,187,142,211,"116,142,142,116","187,187,211,211"
51,lymphocyte,lymphocyte,sTIL,rectangle,206,119,224,149,"206,224,224,206","119,119,149,149"
52,lymphocyte,lymphocyte,sTIL,rectangle,259,92,281,118,"259,281,281,259","92,92,118,118"
53,lymphocyte,lymphocyte,sTIL,rectangle,45,280,67,306,"45,67,67,45","280,280,306,306"
54,lymphocyte,lymphocyte,sTIL,rectangle,65,265,87,291,"65,87,87,65","265,265,291,291"
55,lymphocyte,lymphocyte,sTIL,rectangle,104,262,130,284,"104,130,130,104","262,262,284,284"
56,lymphocyte,lymphocyte,sTIL,rectangle,248,264,268,290,"248,268,268,248","264,264,290,290"
57,lymphocyte,lymphocyte,sTIL,rectangle,327,336,349,360,"327,349,349,327","336,336,360,360"
58,lymphocyte,lymphocyte,sTIL,rectangle,320,301,338,329,"320,338,338,320","301,301,329,329"
59,lymphocyte,lymphocyte,sTIL,rectangle,265,324,285,350,"265,285,285,265","324,324,350,350"
60,lymphocyte,lymphocyte,sTIL,rectangle,69,48,91,70,"69,91,91,69","48,48,70,70"
61,lymphocyte,lymphocyte,sTIL,rectangle,144,16,166,38,"144,166,166,144","16,16,38,38"
62,lymphocyte,lymphocyte,sTIL,rectangle,108,114,130,136,"108,130,130,108","114,114,136,136"
63,lymphocyte,lymphocyte,sTIL,rectangle,333,56,351,82,"333,351,351,333","56,56,82,82"
64,lymphocyte,lymphocyte,sTIL,rectangle,246,4,264,30,"246,264,264,246","4,4,30,30"
65,lymphocyte,lymphocyte,sTIL,rectangle,68,292,86,316,"68,86,86,68","292,292,316,316"
66,lymphocyte,lymphocyte,sTIL,rectangle,92,284,114,304,"92,114,114,92","284,284,304,304"
67,lymphocyte,lymphocyte,sTIL,rectangle,290,282,312,302,"290,312,312,290","282,282,302,302"
68,lymphocyte,lymphocyte,sTIL,rectangle,221,214,237,238,"221,237,237,221","214,214,238,238"
69,lymphocyte,lymphocyte,sTIL,rectangle,119,297,135,321,"119,135,135,119","297,297,321,321"
70,lymphocyte,lymphocyte,sTIL,rectangle,272,270,290,292,"272,290,290,272","270,270,292,292"
71,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,277,158,295,176,"277,295,295,277","158,158,176,176"
72,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,32,102,44,124,"32,44,44,32","102,102,124,124"
