,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,polyline,16,0,74,61,"16,18,26,30,36,48,59,66,69,71,73,74,74,69,66,57,48,41,33,28,25,17,16","29,21,8,4,0,0,5,9,14,19,31,44,45,54,56,61,58,56,51,47,44,35,29"
1,tumor,tumor_nonMitotic,tumor_any,polyline,62,47,98,81,"92,62,66,67,76,83,93,95,98,98,97,94,92","81,77,60,57,47,49,51,52,57,58,75,78,81"
2,tumor,tumor_nonMitotic,tumor_any,polyline,23,80,64,114,"23,27,42,54,57,59,64,63,59,57,53,41,32,25,23,23","89,83,80,80,81,85,96,101,107,109,111,114,113,104,98,89"
3,tumor,tumor_nonMitotic,tumor_any,polyline,134,97,186,128,"135,134,136,142,145,159,165,177,183,186,186,185,183,160,152,145,142,135","120,114,109,103,102,98,97,97,98,99,116,120,122,128,128,127,125,120"
4,tumor,tumor_nonMitotic,tumor_any,polyline,98,37,129,98,"107,118,123,125,129,129,128,123,119,116,111,105,100,98,98,102,107","41,37,39,41,54,61,66,85,91,94,98,97,91,68,61,49,41"
5,tumor,tumor_nonMitotic,tumor_any,polyline,169,63,203,93,"169,169,170,171,175,181,188,191,200,203,203,202,200,197,181,175,169","86,70,66,65,63,63,66,67,73,80,83,87,91,93,93,91,86"
6,vascular_endothelium,nonTILnonMQ_stromal,nonTIL_stromal,polyline,242,16,265,65,"242,244,245,248,258,265,264,255,253,243,242,242","46,24,19,16,19,35,55,63,65,63,58,46"
7,tumor,tumor_nonMitotic,tumor_any,polyline,279,83,319,140,"279,280,284,290,299,304,309,315,319,319,317,312,306,300,293,285,281,280,279,279","111,102,94,88,83,85,88,104,117,125,135,140,140,139,134,128,122,119,116,111"
8,tumor,tumor_nonMitotic,tumor_any,polyline,264,19,306,56,"264,264,275,285,288,294,302,306,306,301,296,290,274,270,264","51,39,27,20,19,19,21,25,27,40,47,50,56,55,51"
9,tumor,tumor_nonMitotic,tumor_any,polyline,264,51,312,91,"285,304,309,312,312,311,305,291,283,274,266,264,264,265,273,276,285","51,51,54,61,62,67,81,87,91,89,87,85,77,71,58,56,51"
10,tumor,tumor_nonMitotic,tumor_any,polyline,51,171,110,232,"67,61,58,53,51,53,62,77,89,99,108,109,110,105,102,95,84,67","232,231,223,207,195,190,181,171,171,174,182,190,201,210,215,221,226,232"
11,tumor,tumor_nonMitotic,tumor_any,polyline,57,113,87,142,"57,59,62,69,74,80,87,87,84,76,66,63,57","133,120,117,113,114,117,123,130,135,142,142,140,133"
12,tumor,tumor_nonMitotic,tumor_any,polyline,0,236,43,283,"16,5,0,0,2,11,14,20,30,40,42,43,43,42,38,36,32,23,16","283,274,263,257,243,237,236,236,238,246,249,257,263,271,275,278,280,283,283"
13,tumor,tumor_nonMitotic,tumor_any,polyline,22,150,61,185,"33,25,22,22,26,28,37,45,51,57,61,59,48,45,33","185,184,176,175,164,161,155,150,150,151,156,169,178,180,185"
14,tumor,tumor_nonMitotic,tumor_any,polyline,92,237,136,278,"100,94,93,92,92,93,97,102,115,121,130,135,136,136,135,133,126,123,114,100","278,272,268,262,256,252,246,243,237,237,240,247,252,258,262,266,273,275,278,278"
15,tumor,tumor_nonMitotic,tumor_any,polyline,286,217,332,264,"289,286,289,294,302,309,315,324,325,331,332,332,331,321,315,309,302,295,291,289","243,233,226,221,217,217,218,222,223,231,235,243,249,264,264,263,261,256,252,243"
16,tumor,tumor_nonMitotic,tumor_any,polyline,297,156,345,186,"300,297,300,301,304,312,326,332,341,345,345,343,341,337,331,322,307,300","182,176,168,165,164,160,156,156,158,161,170,174,176,179,182,186,186,182"
17,tumor,tumor_nonMitotic,tumor_any,polyline,67,326,99,368,"82,92,98,99,99,93,88,82,74,71,68,67,67,68,71,72,76,82","326,331,337,340,352,361,366,368,368,365,361,350,337,334,330,329,326,326"
18,tumor,tumor_nonMitotic,tumor_any,polyline,18,305,49,341,"47,49,49,48,45,43,41,33,26,23,21,18,18,21,23,25,30,33,40,47","309,315,330,333,339,340,341,341,339,337,335,330,324,318,313,311,308,305,305,309"
19,tumor,tumor_nonMitotic,tumor_any,polyline,114,297,149,337,"133,119,116,114,118,121,135,141,146,147,149,149,146,144,140,133","337,335,333,326,318,310,297,297,298,299,304,318,329,335,337,337"
20,tumor,tumor_nonMitotic,tumor_any,polyline,129,137,191,164,"129,191,191,129,129","137,137,164,164,137"
21,vascular_endothelium,nonTILnonMQ_stromal,nonTIL_stromal,polyline,275,295,302,350,"275,302,302,275,275","295,295,350,350,295"
22,vascular_endothelium,nonTILnonMQ_stromal,nonTIL_stromal,polyline,302,303,322,335,"302,322,322,302,302","303,303,335,335,303"
