,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,309,234,365,314,"309,365,365,309","234,234,314,314"
1,plasma_cell,plasma_cell,sTIL,rectangle,136,0,170,38,"136,170,170,136","0,0,38,38"
2,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,192,323,230,353,"192,230,230,192","323,323,353,353"
3,lymphocyte,lymphocyte,sTIL,rectangle,175,23,199,61,"175,199,199,175","23,23,61,61"
4,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,27,91,57,109,"27,57,57,27","91,91,109,109"
5,lymphocyte,lymphocyte,sTIL,rectangle,46,111,72,141,"46,72,72,46","111,111,141,141"
6,lymphocyte,lymphocyte,sTIL,rectangle,64,142,92,166,"64,92,92,64","142,142,166,166"
7,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,153,128,191,169,"187,182,177,160,156,154,153,153,154,156,163,166,172,177,180,187,191,191,190,187","165,169,167,156,149,141,136,135,129,128,128,129,133,136,139,149,156,159,161,165"
8,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,127,92,164,129,"127,164,164,127,127","92,92,129,129,92"
9,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,190,166,221,207,"190,195,196,201,205,211,217,221,221,215,203,202,190,190","173,167,166,167,171,178,188,200,207,206,197,196,176,173"
10,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,139,188,168,226,"166,161,155,151,148,145,140,139,140,146,149,159,166,168,168,166","218,226,224,222,218,214,202,193,188,188,190,200,208,211,212,218"
11,plasma_cell,plasma_cell,sTIL,polyline,226,2,262,32,"242,236,227,226,226,228,234,242,251,259,262,262,252,248,242","32,30,16,10,7,2,2,5,10,17,21,26,31,32,32"
12,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,21,6,50,42,"39,32,29,21,24,37,39,42,50,50,47,39","42,38,31,14,6,7,9,15,28,36,42,42"
13,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,275,51,310,80,"277,275,277,289,295,298,304,306,309,310,305,285,279,278,277","73,61,51,53,56,57,62,64,68,74,77,80,80,79,73"
14,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,101,71,135,100,"101,135,135,101,101","71,71,100,100,71"
15,plasma_cell,plasma_cell,sTIL,polyline,82,26,115,57,"82,83,96,110,113,114,115,115,112,98,93,84,82","40,26,26,36,40,43,48,52,57,57,54,48,40"
16,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,96,307,119,346,"96,101,102,107,113,119,118,113,107,98,96,96","337,310,307,310,319,330,333,340,346,345,342,337"
17,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,191,98,223,128,"191,191,196,202,207,216,222,223,222,221,213,203,197,191","111,103,98,98,99,108,118,120,125,128,128,123,118,111"
18,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,78,301,98,333,"78,98,98,78,78","301,301,333,333,301"
