,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,lymphocyte,lymphocyte,sTIL,polyline,54,1,93,33,"61,76,82,86,91,92,93,91,83,76,65,60,56,55,54,55,61","3,1,1,4,13,16,21,24,29,33,29,27,21,18,13,8,3"
1,lymphocyte,lymphocyte,sTIL,polyline,2,56,25,90,"2,4,10,15,16,21,25,24,23,11,5,3,2,2","71,63,56,58,59,68,85,89,90,90,89,87,76,71"
2,lymphocyte,lymphocyte,sTIL,polyline,50,28,76,65,"76,75,66,60,56,55,50,51,59,68,72,76","48,61,65,64,61,59,44,37,28,32,34,48"
3,lymphocyte,lymphocyte,sTIL,polyline,24,52,52,75,"52,52,42,35,30,25,24,25,31,45,51,52","58,69,75,75,74,68,55,52,52,53,56,58"
4,lymphocyte,lymphocyte,sTIL,polyline,133,45,161,80,"133,133,137,138,144,149,150,155,161,161,160,133","73,52,47,45,45,47,48,54,64,74,80,73"
5,lymphocyte,lymphocyte,sTIL,polyline,235,60,268,94,"247,238,237,235,236,241,247,262,266,268,267,256,247","94,86,84,70,68,64,60,63,64,71,76,94,94"
6,lymphocyte,lymphocyte,sTIL,polyline,238,2,281,55,"238,240,241,251,253,259,266,272,273,279,281,281,279,277,276,274,271,257,242,240,238","47,37,29,6,2,2,3,7,8,18,23,24,34,44,47,48,50,55,55,53,47"
7,lymphocyte,lymphocyte,sTIL,polyline,66,107,93,132,"66,66,70,75,83,93,93,85,80,66","131,120,112,107,109,116,127,131,132,131"
8,lymphocyte,lymphocyte,sTIL,polyline,67,138,92,161,"92,88,81,75,70,67,67,71,76,82,87,88,91,92","148,157,161,159,157,154,148,143,138,138,140,141,145,148"
9,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,0,92,35,117,"35,35,28,19,6,0,3,9,20,30,34,35","101,111,114,116,117,116,106,100,92,95,97,101"
10,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,11,167,51,219,"11,14,16,20,34,41,51,49,44,37,29,20,15,11,11","194,173,167,168,174,178,192,198,208,215,219,213,205,198,194"
11,lymphocyte,lymphocyte,sTIL,polyline,42,161,70,189,"42,42,45,46,50,56,62,68,70,67,66,65,54,49,42","182,176,168,167,164,161,161,164,168,176,178,179,189,187,182"
12,lymphocyte,lymphocyte,sTIL,polyline,40,205,62,233,"42,40,41,44,59,60,62,62,61,60,56,45,42","229,224,219,214,205,207,214,221,229,230,233,233,229"
13,lymphocyte,lymphocyte,sTIL,polyline,18,147,44,167,"41,36,29,23,20,18,19,28,40,44,44,41","163,167,166,163,161,157,154,147,147,149,154,163"
14,lymphocyte,lymphocyte,sTIL,polyline,60,189,103,224,"83,76,70,67,64,60,60,62,66,77,81,91,103,103,99,95,92,88,83","224,224,223,221,218,208,205,202,198,193,192,189,189,198,209,218,221,223,224"
15,lymphocyte,lymphocyte,sTIL,polyline,228,154,252,182,"252,252,247,242,235,232,230,228,228,230,236,241,248,251,252","168,174,179,182,179,178,171,158,156,154,154,156,161,163,168"
16,lymphocyte,lymphocyte,sTIL,polyline,104,168,129,190,"129,124,123,119,111,106,104,104,107,111,113,119,123,124,127,129","179,188,189,190,189,188,187,179,173,169,168,168,169,171,174,179"
17,lymphocyte,lymphocyte,sTIL,polyline,139,137,165,162,"139,140,144,148,150,157,165,165,158,153,144,140,139,139","154,147,142,138,137,137,140,147,157,162,162,159,157,154"
18,lymphocyte,lymphocyte,sTIL,polyline,140,105,166,131,"166,165,159,157,147,143,140,140,144,150,157,159,165,166","117,125,130,131,130,127,125,115,105,105,107,109,115,117"
19,lymphocyte,lymphocyte,sTIL,polyline,176,159,202,195,"199,202,201,191,186,180,176,178,180,188,192,195,199","161,164,177,190,195,195,193,187,180,167,161,159,161"
20,lymphocyte,lymphocyte,sTIL,polyline,104,69,135,100,"119,135,135,128,121,113,111,106,104,106,108,119","69,78,84,94,100,99,97,87,84,80,78,69"
21,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,150,204,200,228,"150,153,171,196,199,200,197,189,186,168,157,152,150,150","220,215,204,207,209,211,216,223,224,228,228,226,221,220"
22,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,242,130,279,157,"243,242,251,254,276,278,279,277,273,264,246,243","148,143,133,130,135,136,143,149,157,157,149,148"
23,lymphocyte,lymphocyte,sTIL,polyline,241,174,262,202,"241,241,243,253,261,262,262,259,257,252,246,241","195,189,183,174,177,183,190,195,199,202,202,195"
24,lymphocyte,lymphocyte,sTIL,polyline,290,89,315,117,"300,294,290,290,292,299,307,310,315,315,314,312,307,300","117,116,109,104,101,92,89,90,96,104,106,110,114,117"
25,lymphocyte,lymphocyte,sTIL,polyline,302,152,349,179,"330,349,349,347,343,329,307,302,302,303,305,312,318,330","152,152,158,172,174,179,179,177,176,169,167,162,158,152"
26,lymphocyte,lymphocyte,sTIL,polyline,0,306,35,327,"35,35,31,20,8,5,0,0,3,10,16,20,31,35","317,323,327,326,322,321,314,312,309,306,306,307,313,317"
27,lymphocyte,lymphocyte,sTIL,polyline,19,286,39,312,"19,23,28,34,35,37,39,36,29,24,20,19,19","295,290,286,286,287,295,306,312,311,308,306,300,295"
28,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,123,247,169,276,"169,169,155,129,124,123,123,128,148,154,159,166,169","265,276,276,270,267,264,255,252,247,247,252,261,265"
29,lymphocyte,lymphocyte,sTIL,polyline,114,311,158,352,"114,114,118,139,145,154,157,158,157,130,119,116,114","333,331,323,311,311,314,317,321,326,352,352,338,333"
30,lymphocyte,lymphocyte,sTIL,polyline,161,275,186,297,"161,161,166,168,174,180,185,186,183,178,168,165,161","291,286,278,277,275,276,278,282,293,297,297,296,291"
31,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,199,262,225,298,"225,225,222,217,210,206,204,202,200,199,201,202,209,214,215,217,225","283,295,297,298,297,295,292,288,280,269,264,262,262,264,265,269,283"
32,lymphocyte,lymphocyte,sTIL,polyline,68,245,99,269,"85,70,68,68,82,87,93,98,99,97,85","269,261,255,245,247,249,252,259,264,269,269"
33,lymphocyte,lymphocyte,sTIL,polyline,189,231,209,259,"191,189,190,194,200,205,207,209,209,204,199,191","256,244,240,235,231,233,236,240,247,256,259,256"
34,lymphocyte,lymphocyte,sTIL,rectangle,62,293,95,321,"62,95,95,62,62","293,293,321,321,293"
35,lymphocyte,lymphocyte,sTIL,rectangle,201,3,238,16,"201,238,238,201,201","3,3,16,16,3"
36,lymphocyte,lymphocyte,sTIL,rectangle,210,29,237,54,"210,237,237,210,210","29,29,54,54,29"
37,lymphocyte,lymphocyte,sTIL,rectangle,294,52,316,79,"294,316,316,294,294","52,52,79,79,52"
38,lymphocyte,lymphocyte,sTIL,rectangle,290,22,313,47,"290,313,313,290,290","22,22,47,47,22"
39,lymphocyte,lymphocyte,sTIL,rectangle,166,84,184,111,"166,184,184,166,166","84,84,111,111,84"
40,lymphocyte,lymphocyte,sTIL,rectangle,138,74,163,96,"138,163,163,138,138","74,74,96,96,74"
41,lymphocyte,lymphocyte,sTIL,rectangle,161,8,189,21,"161,189,189,161,161","8,8,21,21,8"
42,lymphocyte,lymphocyte,sTIL,rectangle,59,267,81,287,"59,81,81,59,59","267,267,287,287,267"
43,lymphocyte,lymphocyte,sTIL,rectangle,272,45,289,70,"272,289,289,272,272","45,45,70,70,45"
44,lymphocyte,lymphocyte,sTIL,rectangle,160,27,185,39,"160,185,185,160,160","27,27,39,39,27"
45,lymphocyte,lymphocyte,sTIL,rectangle,41,285,56,302,"41,56,56,41,41","285,285,302,302,285"
46,lymphocyte,lymphocyte,sTIL,rectangle,85,91,112,116,"85,112,112,85,85","91,91,116,116,91"
47,lymphocyte,lymphocyte,sTIL,rectangle,42,74,62,96,"42,62,62,42,42","74,74,96,96,74"
48,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,70,70,90,105,"70,90,90,70,70","70,70,105,105,70"
49,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,97,54,134,81,"97,134,134,97,97","54,54,81,81,54"
50,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,235,27,267,56,"235,267,267,235,235","27,27,56,56,27"
