,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,262,301,297,370,"296,286,282,272,263,262,262,263,267,271,280,283,287,295,297,297,296","370,370,369,349,327,318,311,305,301,302,306,308,312,327,339,358,370"
1,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,109,112,142,182,"109,142,142,109,109","112,112,182,182,112"
2,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,286,264,321,328,"288,302,313,318,321,321,314,309,293,290,286,287,288","274,264,286,301,315,328,327,321,297,291,281,276,274"
3,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,72,0,104,62,"72,104,104,72,72","0,0,62,62,0"
4,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,179,315,219,372,"179,179,180,181,183,186,191,198,210,217,219,219,215,211,203,179","338,333,327,323,322,320,317,315,317,328,331,336,372,370,363,338"
5,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,93,141,121,203,"93,121,121,93,93","141,141,203,203,141"
6,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,256,203,288,257,"256,288,288,256,256","203,203,257,257,203"
7,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,40,6,70,56,"40,70,70,40,40","6,6,56,56,6"
8,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,322,83,362,124,"347,336,328,323,322,322,324,327,332,340,350,357,362,350,347","124,124,122,117,113,103,96,91,86,83,86,88,96,118,124"
9,lymphocyte,lymphocyte,sTIL,polyline,234,45,255,80,"235,234,235,236,237,245,250,254,255,254,246,240,235","79,60,54,50,47,45,47,54,69,74,80,80,79"
10,lymphocyte,lymphocyte,sTIL,polyline,181,93,200,129,"181,181,184,189,199,200,198,193,188,186,184,181","117,103,98,93,96,103,120,129,127,126,122,117"
11,lymphocyte,lymphocyte,sTIL,polyline,131,244,152,277,"147,139,135,133,131,131,132,134,144,148,150,152,152,148,147","277,277,275,272,260,254,251,247,244,245,251,255,266,275,277"
12,lymphocyte,lymphocyte,sTIL,polyline,170,293,196,322,"175,170,172,181,191,193,195,196,194,181,175","321,310,303,293,296,297,301,305,315,322,321"
13,lymphocyte,lymphocyte,sTIL,polyline,67,122,86,156,"67,70,71,76,82,86,86,82,78,70,67,67","141,123,122,123,129,141,147,153,156,153,147,141"
14,lymphocyte,lymphocyte,sTIL,polyline,175,267,198,298,"196,183,181,179,176,175,178,180,186,189,195,198,198,196","298,293,292,288,284,279,271,267,267,269,276,285,295,298"
15,lymphocyte,lymphocyte,sTIL,polyline,255,138,277,169,"277,277,276,268,263,258,257,255,257,262,268,271,276,277","149,163,165,169,168,163,161,152,143,138,138,139,146,149"
16,lymphocyte,lymphocyte,sTIL,rectangle,242,241,262,274,"242,262,262,242,242","241,241,274,274,241"
17,lymphocyte,lymphocyte,sTIL,polyline,40,254,65,282,"58,52,47,44,42,40,40,45,46,51,56,61,65,62,58","282,282,280,277,276,269,264,255,254,255,257,261,269,277,282"
18,lymphocyte,lymphocyte,sTIL,polyline,1,293,26,321,"4,1,3,4,8,14,24,26,25,22,8,4","311,302,298,296,293,293,300,313,316,317,321,311"
19,lymphocyte,lymphocyte,sTIL,polyline,113,50,140,72,"126,118,114,113,119,123,132,134,137,140,139,137,134,126","72,70,65,60,51,50,51,52,55,61,65,70,72,72"
20,lymphocyte,lymphocyte,sTIL,polyline,30,221,52,247,"30,31,39,40,45,50,51,52,51,47,46,40,35,32,30","238,231,223,221,223,225,226,233,240,246,247,247,246,244,238"
21,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,122,346,142,373,"122,142,142,122,122","346,346,373,373,346"
22,lymphocyte,lymphocyte,sTIL,polyline,127,74,148,100,"127,128,131,133,137,143,147,148,148,147,138,129,127,127","83,77,75,74,75,79,86,93,97,100,100,93,88,83"
23,lymphocyte,lymphocyte,sTIL,polyline,61,230,82,256,"77,70,67,63,62,61,62,68,75,80,81,82,81,77","256,256,255,250,246,241,236,230,230,231,236,243,246,256"
