,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,80,25,92,105,"80,92,92,80","25,25,105,105"
1,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,169,137,195,197,"169,195,195,169","137,137,197,197"
2,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,298,252,330,298,"298,330,330,298","252,252,298,298"
3,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,71,280,93,328,"71,93,93,71","280,280,328,328"
4,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,178,266,210,308,"178,210,210,178","266,266,308,308"
5,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,249,270,289,294,"249,289,289,249","270,270,294,294"
6,lymphocyte,lymphocyte,sTIL,rectangle,142,43,172,77,"142,172,172,142","43,43,77,77"
7,lymphocyte,lymphocyte,sTIL,rectangle,165,20,189,56,"165,189,189,165","20,20,56,56"
8,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,292,60,316,96,"292,316,316,292","60,60,96,96"
9,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,292,1,316,35,"292,316,316,292","1,1,35,35"
10,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,60,191,88,223,"60,88,88,60","191,191,223,223"
11,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,217,173,247,201,"217,247,247,217","173,173,201,201"
12,lymphocyte,lymphocyte,sTIL,rectangle,261,69,291,95,"261,291,291,261","69,69,95,95"
13,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,216,135,246,157,"216,246,246,216","135,135,157,157"
14,lymphocyte,lymphocyte,sTIL,rectangle,174,90,200,114,"174,200,200,174","90,90,114,114"
15,lymphocyte,lymphocyte,sTIL,rectangle,119,91,139,119,"119,139,139,119","91,91,119,119"
