,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,277,188,307,216,"277,307,307,277","188,188,216,216"
1,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,300,223,350,265,"300,350,350,300","223,223,265,265"
2,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,172,137,206,165,"172,206,206,172","137,137,165,165"
3,lymphocyte,lymphocyte,sTIL,rectangle,269,1,289,39,"269,289,289,269","1,1,39,39"
4,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,32,219,89,281,"32,89,89,32,32","219,219,281,281,219"
5,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,40,308,77,368,"40,77,77,40,40","308,308,368,368,308"
6,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,80,0,122,56,"122,113,87,81,80,82,87,107,112,119,122","18,51,56,44,39,29,20,0,1,9,18"
7,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,179,245,224,292,"179,224,224,179,179","245,245,292,292,245"
8,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,225,86,262,132,"262,262,245,241,229,225,225,227,234,244,255,257,258,261,262","113,116,132,131,112,90,88,86,86,90,95,96,97,102,113"
9,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,75,46,116,88,"85,77,75,75,78,85,113,114,116,116,114,106,102,97,85","88,81,75,67,60,49,46,49,56,60,64,83,86,88,88"
10,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,55,305,92,349,"55,92,92,55,55","305,305,349,349,305"
11,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,240,128,277,168,"240,277,277,240,240","128,128,168,168,128"
12,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,210,203,237,247,"210,237,237,210,210","203,203,247,247,203"
13,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,0,30,37,66,"37,37,29,17,15,9,5,2,0,2,9,26,29,34,35,37","52,66,66,62,61,57,55,50,34,30,30,35,36,40,42,52"
14,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,271,317,296,362,"271,275,283,286,290,293,294,296,296,294,293,292,288,287,276,273,272,271","342,327,318,317,318,321,322,329,342,349,353,356,361,362,361,359,352,342"
15,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,14,93,53,123,"14,53,53,14,14","93,93,123,123,93"
16,lymphocyte,lymphocyte,sTIL,rectangle,312,95,344,127,"312,344,344,312,312","95,95,127,127,95"
17,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,148,165,188,185,"148,188,188,148,148","165,165,185,185,165"
18,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,42,197,70,231,"42,70,70,42,42","197,197,231,231,197"
19,lymphocyte,lymphocyte,sTIL,rectangle,142,282,164,320,"142,164,164,142,142","282,282,320,320,282"
20,lymphocyte,lymphocyte,sTIL,rectangle,132,322,157,357,"132,157,157,132,132","322,322,357,357,322"
21,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,41,64,76,88,"41,76,76,41,41","64,64,88,88,64"
22,lymphocyte,lymphocyte,sTIL,rectangle,285,91,312,123,"285,312,312,285,285","91,91,123,123,91"
23,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,139,213,157,251,"139,147,149,153,154,155,157,157,150,142,140,139,139","220,214,213,214,215,218,246,251,250,245,244,228,220"
24,lymphocyte,lymphocyte,sTIL,rectangle,126,290,148,324,"126,148,148,126,126","290,290,324,324,290"
25,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,46,169,71,201,"46,48,52,60,67,70,71,71,65,52,48,46","177,172,169,174,188,193,197,201,201,197,188,177"
26,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,20,117,52,142,"20,52,52,20,20","117,117,142,142,117"
27,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,82,274,104,307,"82,83,87,89,96,99,102,103,104,103,99,96,88,82","297,286,276,274,274,276,281,287,295,298,307,306,302,297"
28,lymphocyte,lymphocyte,sTIL,rectangle,290,60,314,90,"290,314,314,290,290","60,60,90,90,60"
29,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,41,83,73,103,"41,73,73,41,41","83,83,103,103,83"
30,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,193,32,217,60,"193,193,196,203,208,212,215,217,212,211,210,206,198,193","56,50,42,36,32,34,36,40,54,56,57,60,60,56"
31,lymphocyte,lymphocyte,sTIL,polyline,26,256,48,285,"40,32,29,26,26,29,31,37,47,48,47,40","285,283,277,271,266,259,256,256,261,275,277,285"
32,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,51,271,66,303,"51,66,66,51,51","271,271,303,303,271"
33,lymphocyte,lymphocyte,sTIL,rectangle,256,51,278,78,"256,278,278,256,256","51,51,78,78,51"
34,lymphocyte,lymphocyte,sTIL,rectangle,104,323,124,351,"104,124,124,104,104","323,323,351,351,323"
35,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,78,167,98,194,"78,98,98,78,78","167,167,194,194,167"
