,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,polyline,20,106,74,155,"22,20,30,38,52,55,63,73,74,74,71,68,65,63,59,49,35,28,22","150,128,114,111,106,107,111,117,123,125,138,148,150,152,153,155,155,153,150"
1,tumor,tumor_nonMitotic,tumor_any,polyline,238,40,289,92,"238,240,249,255,262,270,280,288,289,289,285,279,276,268,260,258,247,245,240,238,238","56,47,40,40,41,45,50,57,61,74,84,91,92,92,91,89,79,78,71,65,56"
2,tumor,tumor_nonMitotic,tumor_any,polyline,109,47,165,93,"161,165,162,160,157,147,139,131,126,120,116,112,109,109,110,114,119,129,147,161","60,66,79,86,88,93,93,91,88,84,82,77,66,62,56,52,50,47,47,60"
3,tumor,tumor_nonMitotic,tumor_any,rectangle,57,302,104,352,"57,104,104,57,57","302,302,352,352,302"
4,tumor,tumor_nonMitotic,tumor_any,polyline,137,112,187,158,"137,147,152,156,161,168,176,186,187,186,178,166,145,137,137","135,120,117,114,112,114,118,128,135,138,152,158,158,147,135"
5,tumor,tumor_nonMitotic,tumor_any,rectangle,1,61,50,106,"1,50,50,1,1","61,61,106,106,61"
6,tumor,tumor_nonMitotic,tumor_any,rectangle,281,120,336,158,"281,336,336,281,281","120,120,158,158,120"
7,tumor,tumor_nonMitotic,tumor_any,polyline,240,293,280,345,"278,280,280,279,273,269,249,245,240,240,242,247,249,250,259,278","293,296,312,318,327,332,345,344,340,334,324,307,299,298,293,293"
8,tumor,tumor_nonMitotic,tumor_any,polyline,173,40,212,88,"173,176,181,185,193,196,207,212,212,211,203,202,194,185,182,178,175,173,173","58,48,42,40,42,43,50,55,67,73,87,88,88,86,84,81,76,73,58"
9,tumor,tumor_nonMitotic,tumor_any,rectangle,176,199,223,238,"176,223,223,176,176","199,199,238,238,199"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,58,78,100,123,"58,100,100,58,58","78,78,123,123,78"
11,tumor,tumor_nonMitotic,tumor_any,polyline,295,72,335,114,"295,295,296,299,304,310,312,319,322,329,334,335,335,334,332,325,317,303,295","108,98,89,86,81,76,74,72,73,76,78,81,83,96,101,111,114,114,108"
12,tumor,tumor_nonMitotic,tumor_any,rectangle,137,297,180,337,"137,180,180,137,137","297,297,337,337,297"
13,tumor,tumor_nonMitotic,tumor_any,polyline,312,17,351,60,"321,347,349,351,351,344,341,337,329,325,314,312,315,317,321","26,17,21,42,52,57,58,60,58,57,50,40,31,29,26"
14,tumor,tumor_nonMitotic,tumor_any,polyline,88,154,127,195,"115,99,93,91,90,88,88,94,99,104,116,121,124,126,127,122,121,115","195,195,193,191,189,183,173,164,158,154,154,155,158,168,174,186,189,195"
15,tumor,tumor_nonMitotic,tumor_any,rectangle,177,262,222,297,"177,222,222,177,177","262,262,297,297,262"
16,tumor,tumor_nonMitotic,tumor_any,rectangle,295,292,332,334,"295,332,332,295,295","292,292,334,334,292"
17,tumor,tumor_nonMitotic,tumor_any,rectangle,91,99,126,142,"91,126,126,91,91","99,99,142,142,99"
18,tumor,tumor_nonMitotic,tumor_any,polyline,226,229,268,261,"268,265,264,263,255,252,240,233,227,226,226,227,230,240,259,264,267,268","235,252,255,256,260,261,261,258,255,250,241,237,235,229,229,230,232,235"
19,tumor,tumor_nonMitotic,tumor_any,rectangle,285,159,325,194,"285,325,325,285,285","159,159,194,194,159"
20,tumor,tumor_nonMitotic,tumor_any,rectangle,96,224,141,251,"96,141,141,96,96","224,224,251,251,224"
