,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,265,177,311,197,"265,311,311,265","177,177,197,197"
1,lymphocyte,lymphocyte,sTIL,rectangle,106,39,140,71,"106,140,140,106","39,39,71,71"
2,lymphocyte,lymphocyte,sTIL,rectangle,224,150,254,180,"224,254,254,224","150,150,180,180"
3,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,150,54,239,84,"150,239,239,150,150","54,54,84,84,54"
4,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,34,17,94,51,"34,94,94,34,34","17,17,51,51,17"
5,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,259,186,321,213,"259,321,321,259,259","186,186,213,213,186"
6,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,1,117,55,154,"1,55,55,1,1","117,117,154,154,117"
7,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,213,74,270,101,"213,270,270,213,213","74,74,101,101,74"
8,lymphocyte,lymphocyte,sTIL,rectangle,75,3,110,43,"75,110,110,75,75","3,3,43,43,3"
9,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,167,284,202,323,"167,202,202,167,167","284,284,323,323,284"
10,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,254,302,291,338,"254,254,255,259,278,280,284,288,289,291,286,273,270,260,254","332,321,318,315,304,302,304,306,307,316,328,337,338,337,332"
11,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,300,82,332,120,"300,332,332,300,300","82,82,120,120,82"
12,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,17,44,52,79,"17,52,52,17,17","44,44,79,79,44"
13,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,191,230,216,270,"212,216,213,209,206,198,197,193,191,192,193,197,204,207,211,212","233,254,261,266,270,270,269,260,254,246,244,239,231,230,231,233"
14,lymphocyte,lymphocyte,sTIL,polyline,63,190,98,220,"81,68,64,63,63,65,66,70,75,81,89,96,98,98,95,81","220,218,214,210,204,198,195,193,190,190,193,198,202,208,214,220"
15,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,158,255,191,287,"168,181,185,188,191,191,187,186,178,168,162,158,158,161,166,168","255,255,258,261,270,276,282,284,287,286,282,274,268,264,258,255"
16,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,139,0,171,33,"139,171,171,139,139","0,0,33,33,0"
17,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,213,192,250,217,"213,250,250,213,213","192,192,217,217,192"
18,lymphocyte,lymphocyte,sTIL,rectangle,286,213,314,248,"286,314,314,286,286","213,213,248,248,213"
19,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,311,197,345,225,"339,345,342,340,339,334,321,315,311,311,314,316,332,335,339","198,209,217,222,223,224,225,222,217,214,209,207,198,197,198"
20,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,116,239,146,271,"116,146,146,116,116","239,239,271,271,239"
21,lymphocyte,lymphocyte,sTIL,polyline,320,238,351,269,"320,320,325,329,332,341,346,350,351,351,350,347,336,331,324,320","256,250,243,239,238,239,240,243,244,256,266,269,269,266,260,256"
22,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,114,203,148,228,"114,148,148,114,114","203,203,228,228,203"
23,lymphocyte,lymphocyte,sTIL,rectangle,180,5,202,40,"180,202,202,180,180","5,5,40,40,5"
24,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,69,311,91,346,"69,91,91,69,69","311,311,346,346,311"
25,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,304,284,326,318,"304,326,326,304,304","284,284,318,318,284"
26,lymphocyte,lymphocyte,sTIL,rectangle,183,120,218,142,"183,218,218,183,183","120,120,142,142,120"
27,lymphocyte,lymphocyte,sTIL,polyline,243,130,270,158,"245,243,244,245,247,257,263,267,270,269,268,264,263,255,245","154,147,141,137,135,130,130,132,137,143,147,154,156,158,154"
28,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,188,87,221,110,"188,221,221,188,188","87,87,110,110,87"
29,lymphocyte,lymphocyte,sTIL,polyline,228,253,253,282,"228,232,233,243,248,250,253,239,232,230,228,228","269,263,261,253,258,263,269,282,282,281,277,269"
30,lymphocyte,lymphocyte,sTIL,rectangle,12,342,42,367,"12,42,42,12,12","342,342,367,367,342"
31,lymphocyte,lymphocyte,sTIL,rectangle,268,13,295,40,"268,295,295,268,268","13,13,40,40,13"
