,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,plasma_cell,plasma_cell,sTIL,polyline,40,30,65,61,"64,53,43,42,40,40,47,48,50,59,61,63,65,65,64","52,61,58,57,54,42,32,31,30,32,33,35,42,48,52"
1,plasma_cell,plasma_cell,sTIL,polyline,33,74,58,103,"43,37,34,33,38,42,48,53,56,58,58,55,53,43","103,101,97,89,78,74,74,75,79,82,89,94,97,103"
2,plasma_cell,plasma_cell,sTIL,polyline,211,47,238,74,"238,238,234,225,220,213,211,211,214,216,223,225,236,238","63,70,72,74,73,67,61,56,51,47,47,48,57,63"
3,plasma_cell,plasma_cell,sTIL,polyline,173,39,205,66,"178,183,195,200,203,205,205,204,203,198,192,184,177,174,173,174,178","43,39,39,41,43,49,56,61,62,66,66,64,59,56,53,49,43"
4,plasma_cell,plasma_cell,sTIL,polyline,230,26,260,57,"260,259,251,244,240,234,230,230,233,236,240,246,251,255,256,260","36,48,57,57,54,48,41,38,35,30,26,26,27,30,31,36"
5,plasma_cell,plasma_cell,sTIL,polyline,130,62,158,88,"130,130,132,147,156,158,157,154,152,146,130","79,77,68,62,63,66,74,83,85,88,79"
6,plasma_cell,plasma_cell,sTIL,polyline,156,67,176,95,"156,159,166,171,176,174,171,161,158,157,156,156","83,77,67,69,85,89,95,95,94,93,89,83"
7,plasma_cell,plasma_cell,sTIL,polyline,285,57,312,88,"285,286,300,306,308,311,312,309,308,298,290,285","79,72,57,57,58,62,74,79,80,88,83,79"
8,plasma_cell,plasma_cell,sTIL,polyline,61,113,95,139,"61,63,75,87,94,95,90,87,83,65,61,61","128,125,113,113,119,129,136,137,139,136,132,128"
9,plasma_cell,plasma_cell,sTIL,polyline,50,90,78,116,"53,50,53,63,69,74,78,78,71,69,58,53","114,108,104,94,90,92,95,104,114,116,116,114"
10,plasma_cell,plasma_cell,sTIL,polyline,2,199,28,229,"28,22,17,14,6,4,2,6,13,25,27,28","211,229,228,227,222,221,208,204,199,199,201,211"
11,plasma_cell,plasma_cell,sTIL,polyline,23,207,52,239,"27,38,47,49,52,52,45,30,24,23,23,24,27","214,207,209,212,225,239,239,235,232,228,223,218,214"
12,plasma_cell,plasma_cell,sTIL,polyline,35,180,58,209,"50,37,35,35,38,42,54,56,58,55,50","209,204,202,188,183,180,180,183,199,204,209"
13,plasma_cell,plasma_cell,sTIL,polyline,2,163,30,192,"12,6,3,2,2,3,21,27,30,30,28,24,21,12","192,191,187,185,178,173,163,168,176,182,187,191,192,192"
14,plasma_cell,plasma_cell,sTIL,polyline,221,173,250,197,"221,221,225,229,238,241,247,250,250,246,235,221","193,186,181,178,175,173,176,181,183,194,197,193"
15,plasma_cell,plasma_cell,sTIL,polyline,85,84,112,106,"107,99,94,87,86,85,86,89,94,100,106,111,112,112,107","106,106,105,100,98,94,92,88,84,84,85,92,95,100,106"
16,plasma_cell,plasma_cell,sTIL,polyline,219,89,249,114,"236,223,219,219,228,231,244,246,249,245,236","114,110,106,99,92,89,89,92,97,108,114"
17,plasma_cell,plasma_cell,sTIL,polyline,204,196,230,219,"218,213,205,204,205,207,210,218,224,229,230,230,229,224,218","219,218,211,208,203,202,199,196,196,199,203,211,214,217,219"
18,plasma_cell,plasma_cell,sTIL,polyline,189,123,216,151,"216,216,211,208,205,195,193,189,189,190,194,197,203,207,213,216","134,141,147,150,151,150,147,140,131,129,124,123,123,124,126,134"
19,plasma_cell,plasma_cell,sTIL,polyline,192,168,216,199,"192,195,202,208,214,216,216,214,205,203,194,192","188,175,168,168,175,178,188,193,198,199,197,188"
20,plasma_cell,plasma_cell,sTIL,polyline,214,111,236,139,"214,216,223,229,234,235,236,236,231,224,218,215,214","119,116,111,111,114,116,131,134,139,137,134,129,119"
21,plasma_cell,plasma_cell,sTIL,polyline,115,83,143,104,"137,122,118,115,115,117,127,133,138,143,143,137","104,104,103,99,95,92,83,83,84,87,93,104"
22,plasma_cell,plasma_cell,sTIL,polyline,209,144,234,173,"215,219,225,233,234,233,231,225,219,211,209,211,215","146,144,144,150,160,170,171,173,173,168,160,152,146"
23,macrophage,macrophage,nonTIL_stromal,polyline,158,176,189,228,"188,189,187,185,180,178,169,162,161,158,161,162,164,171,173,177,183,184,188","187,203,214,218,224,225,228,224,223,217,194,185,182,178,177,176,178,180,187"
24,macrophage,macrophage,nonTIL_stromal,polyline,135,168,162,204,"147,143,136,135,135,138,146,157,162,161,159,156,147","204,203,188,185,182,175,168,171,178,188,196,199,204"
25,plasma_cell,plasma_cell,sTIL,polyline,83,208,111,243,"97,89,83,83,90,100,104,107,111,111,110,106,97","243,240,230,221,213,208,209,214,222,228,232,238,243"
26,plasma_cell,plasma_cell,sTIL,polyline,172,94,207,121,"172,178,183,189,195,204,205,207,205,203,199,192,185,180,174,172","108,99,94,94,97,103,105,110,113,116,119,121,121,119,113,108"
27,plasma_cell,plasma_cell,sTIL,polyline,159,142,185,171,"159,159,161,166,179,184,185,184,180,178,169,162,159","166,155,146,142,147,155,157,166,170,171,171,170,166"
28,plasma_cell,plasma_cell,sTIL,polyline,264,83,298,110,"264,264,276,286,295,297,298,297,295,291,286,282,273,267,264","104,97,85,83,85,87,94,101,104,106,109,110,110,109,104"
29,plasma_cell,plasma_cell,sTIL,polyline,278,113,309,142,"309,309,308,304,303,292,287,285,278,278,281,293,300,307,309","123,130,134,141,142,141,140,137,130,118,113,113,115,119,123"
30,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,66,242,105,274,"85,76,66,66,71,75,101,102,104,105,105,101,100,85","274,271,256,249,244,242,253,254,256,264,266,273,274,274"
31,plasma_cell,plasma_cell,sTIL,polyline,30,292,56,320,"50,37,33,30,30,38,44,50,55,56,56,54,50","320,320,317,307,297,292,292,294,299,301,311,315,320"
32,plasma_cell,plasma_cell,sTIL,polyline,1,294,29,327,"1,3,8,13,21,22,24,29,29,27,25,19,8,6,2,1","309,301,296,294,296,297,302,315,317,322,323,327,322,321,314,309"
33,macrophage,macrophage,nonTIL_stromal,polyline,63,314,84,346,"84,81,79,66,65,63,63,64,70,76,79,81,83,84","332,343,346,340,338,335,325,322,314,314,315,318,322,332"
34,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,187,233,218,274,"189,197,203,207,215,218,216,210,192,189,188,187,187,188,189","240,233,234,237,250,263,268,274,274,273,270,263,255,244,240"
35,plasma_cell,plasma_cell,sTIL,polyline,109,263,136,294,"136,133,127,121,110,109,109,111,116,122,130,135,136","281,286,294,291,284,279,274,266,263,263,266,276,281"
36,macrophage,macrophage,nonTIL_stromal,polyline,94,299,122,331,"120,122,122,115,107,94,94,101,104,109,114,120","302,306,320,327,331,331,323,310,306,301,299,302"
37,plasma_cell,plasma_cell,sTIL,polyline,149,253,176,286,"168,156,152,151,149,154,168,173,174,176,176,174,168","286,284,278,275,268,260,253,256,261,270,275,280,286"
38,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,214,227,249,283,"214,216,223,226,239,242,247,249,231,230,219,216,214,214","233,227,227,228,240,245,264,283,281,280,260,255,248,233"
39,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,147,284,171,323,"157,166,168,171,171,169,167,152,147,148,149,153,157","284,287,290,296,300,318,323,322,321,302,295,287,284"
40,plasma_cell,plasma_cell,sTIL,polyline,195,278,220,304,"214,208,200,199,197,195,197,200,203,209,213,214,218,220,218,214","304,304,302,301,296,290,283,279,278,278,279,280,285,290,299,304"
41,plasma_cell,plasma_cell,sTIL,rectangle,250,211,280,243,"250,280,280,250,250","211,211,243,243,211"
42,plasma_cell,plasma_cell,sTIL,rectangle,238,134,265,168,"238,265,265,238,238","134,134,168,168,134"
43,plasma_cell,plasma_cell,sTIL,rectangle,271,285,293,320,"271,293,293,271,271","285,285,320,320,285"
44,plasma_cell,plasma_cell,sTIL,rectangle,9,109,32,141,"9,32,32,9,9","109,109,141,141,109"
45,plasma_cell,plasma_cell,sTIL,rectangle,16,275,48,297,"16,48,48,16,16","275,275,297,297,275"
46,plasma_cell,plasma_cell,sTIL,rectangle,111,151,136,183,"111,136,136,111,111","151,151,183,183,151"
47,plasma_cell,plasma_cell,sTIL,rectangle,111,225,136,258,"111,136,136,111,111","225,225,258,258,225"
48,plasma_cell,plasma_cell,sTIL,rectangle,55,144,85,166,"55,85,85,55,55","144,144,166,166,144"
49,plasma_cell,plasma_cell,sTIL,rectangle,18,250,48,275,"18,48,48,18,18","250,250,275,275,250"
50,plasma_cell,plasma_cell,sTIL,rectangle,176,0,200,27,"176,200,200,176,176","0,0,27,27,0"
51,plasma_cell,plasma_cell,sTIL,rectangle,130,238,157,263,"130,157,157,130,130","238,238,263,263,238"
52,macrophage,macrophage,nonTIL_stromal,rectangle,68,197,90,227,"68,90,90,68,68","197,197,227,227,197"
53,plasma_cell,plasma_cell,sTIL,rectangle,202,16,226,41,"202,226,226,202,202","16,16,41,41,16"
54,plasma_cell,plasma_cell,sTIL,rectangle,300,223,322,250,"300,322,322,300,300","223,223,250,250,223"
55,plasma_cell,plasma_cell,sTIL,rectangle,94,59,121,82,"94,121,121,94,94","59,59,82,82,59"
56,plasma_cell,plasma_cell,sTIL,rectangle,295,22,314,52,"295,314,314,295,295","22,22,52,52,22"
57,macrophage,macrophage,nonTIL_stromal,rectangle,162,120,187,145,"162,187,187,162,162","120,120,145,145,120"
