,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,rectangle,185,284,252,326,"185,252,252,185,185","284,284,326,326,284"
1,tumor,tumor_nonMitotic,tumor_any,rectangle,104,24,176,56,"104,176,176,104,104","24,24,56,56,24"
2,tumor,tumor_nonMitotic,tumor_any,rectangle,105,218,142,285,"105,142,142,105,105","218,218,285,285,218"
3,tumor,tumor_nonMitotic,tumor_any,rectangle,240,237,283,296,"240,283,283,240,240","237,237,296,296,237"
4,tumor,tumor_nonMitotic,tumor_any,rectangle,206,40,268,77,"206,268,268,206,206","40,40,77,77,40"
5,tumor,tumor_nonMitotic,tumor_any,rectangle,161,241,218,273,"161,218,218,161,161","241,241,273,273,241"
6,tumor,tumor_nonMitotic,tumor_any,rectangle,245,171,302,203,"245,302,302,245,245","171,171,203,203,171"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,249,149,309,171,"249,309,309,249,249","149,149,171,171,149"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,28,309,80,341,"28,80,80,28,28","309,309,341,341,309"
9,tumor,tumor_nonMitotic,tumor_any,rectangle,160,120,204,155,"160,204,204,160,160","120,120,155,155,120"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,93,74,137,109,"93,137,137,93,93","74,74,109,109,74"
11,tumor,tumor_nonMitotic,tumor_any,rectangle,284,27,323,67,"284,323,323,284,284","27,27,67,67,27"
12,tumor,tumor_nonMitotic,tumor_any,rectangle,48,257,90,291,"48,90,90,48,48","257,257,291,291,257"
13,tumor,tumor_nonMitotic,tumor_any,rectangle,30,208,67,248,"30,67,67,30,30","208,208,248,248,208"
14,tumor,tumor_nonMitotic,tumor_any,rectangle,275,83,315,118,"275,315,315,275,275","83,83,118,118,83"
15,tumor,tumor_nonMitotic,tumor_any,rectangle,11,0,51,35,"11,51,51,11,11","0,0,35,35,0"
16,tumor,tumor_nonMitotic,tumor_any,rectangle,166,187,203,224,"166,203,203,166,166","187,187,224,224,187"
17,tumor,tumor_nonMitotic,tumor_any,rectangle,130,182,167,220,"130,167,167,130,130","182,182,220,220,182"
18,tumor,tumor_nonMitotic,tumor_any,rectangle,5,247,42,282,"5,42,42,5,5","247,247,282,282,247"
19,tumor,tumor_nonMitotic,tumor_any,rectangle,0,65,39,94,"0,39,39,0,0","65,65,94,94,65"
20,tumor,tumor_nonMitotic,tumor_any,rectangle,129,138,166,170,"129,166,166,129,129","138,138,170,170,138"
21,tumor,tumor_nonMitotic,tumor_any,rectangle,229,129,266,151,"229,266,266,229,229","129,129,151,151,129"
22,tumor,tumor_nonMitotic,tumor_any,rectangle,57,115,87,143,"57,87,87,57,57","115,115,143,143,115"
