,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,polyline,162,69,203,105,"179,192,196,201,203,203,201,198,186,166,162,164,171,174,179","69,71,74,79,85,90,100,105,102,97,93,89,74,71,69"
1,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,16,133,76,179,"73,76,76,57,51,24,19,16,16,17,20,24,27,32,45,58,73","142,150,157,174,179,173,169,163,162,156,150,142,137,133,135,137,142"
2,tumor,tumor_nonMitotic,tumor_any,polyline,280,288,324,352,"280,303,310,316,320,324,324,322,319,315,304,289,284,282,280","339,300,288,288,292,311,334,337,343,347,352,352,349,343,339"
3,tumor,tumor_nonMitotic,tumor_any,polyline,63,290,103,327,"86,71,67,63,65,68,74,81,96,102,103,97,86","327,323,316,303,298,293,290,291,296,298,305,327,327"
4,tumor,tumor_nonMitotic,tumor_any,polyline,104,313,156,376,"122,118,107,104,105,107,110,117,130,136,141,144,154,156,155,151,146,140,127,122","375,372,345,339,332,328,324,321,313,313,314,317,339,367,372,374,375,376,376,375"
5,tumor,tumor_nonMitotic,tumor_any,polyline,118,197,167,246,"118,167,167,118,118","197,197,246,246,197"
6,tumor,tumor_nonMitotic,tumor_any,polyline,77,241,117,281,"77,117,117,77,77","241,241,281,281,241"
7,tumor,tumor_nonMitotic,tumor_any,polyline,56,217,88,259,"56,88,88,56,56","217,217,259,259,217"
8,tumor,tumor_nonMitotic,tumor_any,polyline,29,256,56,298,"29,56,56,29,29","256,256,298,298,256"
9,tumor,tumor_nonMitotic,tumor_any,polyline,57,328,94,375,"57,94,94,57,57","328,328,375,375,328"
10,tumor,tumor_nonMitotic,tumor_any,polyline,155,288,207,328,"155,207,207,155,155","288,288,328,328,288"
11,tumor,tumor_nonMitotic,tumor_any,polyline,252,58,286,78,"252,286,286,252,252","58,58,78,78,58"
12,tumor,tumor_nonMitotic,tumor_any,polyline,251,0,283,52,"251,283,283,251,251","0,0,52,52,0"
13,tumor,tumor_nonMitotic,tumor_any,polyline,177,31,247,70,"177,247,247,177,177","31,31,70,70,31"
14,tumor,tumor_nonMitotic,tumor_any,polyline,203,270,241,310,"203,241,241,203,203","270,270,310,310,270"
15,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,91,127,172,152,"91,172,172,91,91","127,127,152,152,127"
16,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,197,326,244,355,"197,244,244,197,197","326,326,355,355,326"
17,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,237,333,272,373,"237,272,272,237,237","333,333,373,373,333"
