,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,plasma_cell,plasma_cell,sTIL,polyline,214,162,247,192,"214,220,224,230,236,242,243,247,247,245,242,238,230,224,219,215,214","178,170,167,162,162,163,164,172,173,178,187,189,192,191,189,186,178"
1,tumor,tumor_nonMitotic,tumor_any,rectangle,266,8,329,56,"266,329,329,266,266","8,8,56,56,8"
2,tumor,tumor_nonMitotic,tumor_any,rectangle,157,187,218,237,"157,218,218,157,157","187,187,237,237,187"
3,tumor,tumor_nonMitotic,tumor_any,rectangle,32,317,93,362,"32,93,93,32,32","317,317,362,362,317"
4,tumor,tumor_nonMitotic,tumor_any,rectangle,231,117,289,163,"231,289,289,231,231","117,117,163,163,117"
5,tumor,tumor_nonMitotic,tumor_any,rectangle,322,148,375,188,"322,375,375,322,322","148,148,188,188,148"
6,tumor,tumor_nonMitotic,tumor_any,rectangle,143,247,191,290,"143,191,191,143,143","247,247,290,290,247"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,196,280,234,331,"196,234,234,196,196","280,280,331,331,280"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,305,270,348,313,"305,348,348,305,305","270,270,313,313,270"
9,tumor,tumor_nonMitotic,tumor_any,rectangle,120,343,166,374,"120,166,166,120,120","343,343,374,374,343"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,229,288,269,321,"229,269,269,229,229","288,288,321,321,288"
11,tumor,tumor_nonMitotic,tumor_any,rectangle,292,336,325,369,"292,325,325,292,292","336,336,369,369,336"
12,tumor,tumor_nonMitotic,tumor_any,rectangle,224,254,264,279,"224,264,264,224,224","254,254,279,279,254"
13,tumor,tumor_nonMitotic,tumor_any,rectangle,260,247,301,273,"260,301,301,260,260","247,247,273,273,247"
14,tumor,tumor_nonMitotic,tumor_any,rectangle,98,0,125,35,"98,125,125,98,98","0,0,35,35,0"
15,tumor,tumor_nonMitotic,tumor_any,rectangle,13,69,43,100,"13,43,43,13,13","69,69,100,100,69"
16,tumor,tumor_nonMitotic,tumor_any,rectangle,71,201,104,226,"71,104,104,71,71","201,201,226,226,201"
17,mitotic_figure,tumor_mitotic,tumor_any,rectangle,312,96,343,124,"312,343,343,312,312","96,96,124,124,96"
18,tumor,tumor_nonMitotic,tumor_any,rectangle,245,232,271,258,"245,271,271,245,245","232,232,258,258,232"
19,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,0,230,23,255,"0,23,23,0,0","230,230,255,255,230"
