,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,236,258,282,296,"236,282,282,236","258,258,296,296"
1,ductal_epithelium,other_nucleus,other_nucleus,rectangle,176,42,208,92,"176,208,208,176","42,42,92,92"
2,ductal_epithelium,other_nucleus,other_nucleus,rectangle,170,123,206,163,"170,206,206,170","123,123,163,163"
3,ductal_epithelium,other_nucleus,other_nucleus,rectangle,263,0,303,38,"263,303,303,263","0,0,38,38"
4,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,106,226,128,276,"106,128,128,106","226,226,276,276"
5,ductal_epithelium,other_nucleus,other_nucleus,rectangle,271,124,303,166,"271,303,303,271","124,124,166,166"
6,ductal_epithelium,other_nucleus,other_nucleus,rectangle,233,104,263,142,"233,263,263,233","104,104,142,142"
7,ductal_epithelium,other_nucleus,other_nucleus,rectangle,270,59,306,91,"270,306,306,270","59,59,91,91"
8,ductal_epithelium,other_nucleus,other_nucleus,rectangle,183,147,215,183,"183,215,215,183","147,147,183,183"
9,ductal_epithelium,other_nucleus,other_nucleus,rectangle,205,63,231,103,"205,231,231,205","63,63,103,103"
10,ductal_epithelium,other_nucleus,other_nucleus,rectangle,276,29,312,61,"276,312,312,276","29,29,61,61"
11,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,83,188,115,224,"83,115,115,83","188,188,224,224"
12,ductal_epithelium,other_nucleus,other_nucleus,rectangle,287,147,317,183,"287,317,317,287","147,147,183,183"
13,ductal_epithelium,other_nucleus,other_nucleus,rectangle,208,1,238,35,"208,238,238,208","1,1,35,35"
14,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,78,229,102,267,"78,102,102,78","229,229,267,267"
15,ductal_epithelium,other_nucleus,other_nucleus,rectangle,176,81,208,111,"176,208,208,176","81,81,111,111"
16,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,132,131,164,161,"132,164,164,132","131,131,161,161"
17,ductal_epithelium,other_nucleus,other_nucleus,rectangle,203,139,235,171,"203,235,235,203","139,139,171,171"
18,ductal_epithelium,other_nucleus,other_nucleus,rectangle,255,141,281,175,"255,281,281,255","141,141,175,175"
19,ductal_epithelium,other_nucleus,other_nucleus,rectangle,233,193,259,225,"233,259,259,233","193,193,225,225"
20,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,10,200,42,226,"10,42,42,10","200,200,226,226"
21,ductal_epithelium,other_nucleus,other_nucleus,rectangle,206,188,236,216,"206,236,236,206","188,188,216,216"
22,ductal_epithelium,other_nucleus,other_nucleus,rectangle,220,31,252,53,"220,252,252,220","31,31,53,53"
23,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,41,55,67,83,"41,67,67,41","55,55,83,83"
24,ductal_epithelium,other_nucleus,other_nucleus,rectangle,264,177,286,205,"264,286,286,264","177,177,205,205"
25,ductal_epithelium,other_nucleus,other_nucleus,rectangle,199,105,225,131,"199,225,225,199","105,105,131,131"
26,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,8,75,28,101,"8,28,28,8","75,75,101,101"
27,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,6,177,32,193,"6,32,32,6","177,177,193,193"
