,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,polyline,134,14,171,48,"134,138,144,146,154,157,162,166,168,171,171,170,166,165,154,147,139,134,134","30,22,17,16,14,15,17,20,22,30,36,42,47,48,47,45,40,36,30"
1,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,313,5,345,37,"325,331,339,345,345,342,330,324,320,313,314,315,318,319,325","5,6,13,20,24,32,37,37,35,27,20,16,11,10,5"
2,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,97,183,160,245,"114,107,102,97,97,98,99,104,117,122,129,134,154,157,160,155,131,119,114","245,243,236,222,221,214,210,199,185,183,185,188,200,207,214,224,237,243,245"
3,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,143,226,182,273,"143,144,152,159,162,181,182,180,178,176,149,143","247,237,226,226,227,243,252,264,269,273,264,247"
4,tumor,tumor_nonMitotic,tumor_any,rectangle,231,14,288,56,"231,288,288,231,231","14,14,56,56,14"
5,tumor,tumor_nonMitotic,tumor_any,rectangle,241,51,310,105,"241,310,310,241,241","51,51,105,105,51"
6,tumor,tumor_nonMitotic,tumor_any,rectangle,1,137,82,206,"1,82,82,1,1","137,137,206,206,137"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,130,265,167,310,"130,167,167,130,130","265,265,310,310,265"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,131,290,181,335,"131,181,181,131,131","290,290,335,335,290"
9,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,261,116,308,151,"261,308,308,261,261","116,116,151,151,116"
10,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,247,138,287,166,"247,287,287,247,247","138,138,166,166,138"
11,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,236,161,296,203,"236,296,296,236,236","161,161,203,203,161"
12,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,70,78,146,137,"70,146,146,70,70","78,78,137,137,78"
