,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,rectangle,96,102,206,158,"96,206,206,96","102,102,158,158"
1,tumor,tumor_nonMitotic,tumor_any,rectangle,21,121,87,183,"21,87,87,21","121,121,183,183"
2,tumor,tumor_nonMitotic,tumor_any,rectangle,188,180,240,242,"188,240,240,188","180,180,242,242"
3,tumor,tumor_nonMitotic,tumor_any,rectangle,312,1,366,57,"312,366,366,312","1,1,57,57"
4,tumor,tumor_nonMitotic,tumor_any,rectangle,313,63,359,121,"313,359,359,313","63,63,121,121"
5,tumor,tumor_nonMitotic,tumor_any,rectangle,331,227,389,271,"331,389,389,331","227,227,271,271"
6,tumor,tumor_nonMitotic,tumor_any,rectangle,178,265,228,315,"178,228,228,178","265,265,315,315"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,41,245,87,287,"41,87,87,41","245,245,287,287"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,99,210,147,246,"99,147,147,99","210,210,246,246"
9,tumor,tumor_nonMitotic,tumor_any,rectangle,334,287,370,333,"334,370,370,334","287,287,333,333"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,101,246,143,282,"101,143,143,101","246,246,282,282"
11,tumor,tumor_nonMitotic,tumor_any,rectangle,233,267,271,309,"233,271,271,233","267,267,309,309"
12,tumor,tumor_nonMitotic,tumor_any,rectangle,255,92,295,126,"255,295,295,255","92,92,126,126"
13,tumor,tumor_nonMitotic,tumor_any,rectangle,248,136,282,174,"248,282,282,248","136,136,174,174"
14,tumor,tumor_nonMitotic,tumor_any,rectangle,91,335,131,375,"91,131,131,91","335,335,375,375"
15,tumor,tumor_nonMitotic,tumor_any,polyline,0,41,62,94,"62,62,55,52,46,37,29,19,13,10,4,3,0,0,6,8,18,48,56,61,62","51,62,78,82,87,92,94,94,92,91,85,82,75,62,51,50,48,41,43,46,51"
