,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,80,212,134,252,"80,134,134,80","212,212,252,252"
1,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,103,123,135,173,"103,135,135,103","123,123,173,173"
2,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,212,84,244,128,"212,244,244,212","84,84,128,128"
3,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,289,75,327,99,"289,327,327,289","75,75,99,99"
4,lymphocyte,lymphocyte,sTIL,rectangle,281,285,301,311,"281,301,301,281","285,285,311,311"
5,tumor,tumor_nonMitotic,tumor_any,rectangle,143,0,190,40,"143,190,190,143,143","0,0,40,40,0"
6,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,41,185,79,230,"41,41,45,53,55,58,66,78,79,79,78,77,72,69,61,55,46,41","221,205,198,188,186,185,188,199,200,207,212,215,221,223,227,230,230,221"
7,vascular_endothelium,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,24,267,61,306,"24,61,61,24,24","267,267,306,306,267"
8,vascular_endothelium,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,64,268,97,310,"64,97,97,64,64","268,268,310,310,268"
9,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,56,225,87,265,"83,87,85,79,77,67,61,56,57,58,62,68,74,81,83","231,248,260,264,265,264,258,248,237,231,228,225,225,228,231"
10,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,167,101,193,144,"193,193,189,184,180,174,172,171,167,167,168,171,172,176,182,187,188,190,193","119,132,138,142,144,143,142,141,130,123,119,112,110,106,101,102,104,110,119"
11,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,9,242,51,269,"9,51,51,9,9","242,242,269,269,242"
12,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,74,154,106,193,"105,106,106,105,103,100,93,81,79,76,74,74,81,85,95,99,105","157,165,175,179,184,186,193,193,191,186,179,173,164,160,156,154,157"
13,lymphocyte,lymphocyte,sTIL,polyline,37,49,63,91,"47,42,39,37,37,39,42,55,61,63,63,55,47","91,90,82,77,70,65,59,49,49,52,65,85,91"
14,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,105,94,137,126,"105,137,137,105,105","94,94,126,126,94"
15,vascular_endothelium,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,4,318,29,355,"4,29,29,4,4","318,318,355,355,318"
16,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,319,6,348,38,"326,332,337,341,345,348,348,347,345,337,331,326,322,320,319,320,326","6,6,9,11,15,25,31,33,36,38,38,36,33,27,19,14,6"
17,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,101,68,124,102,"101,124,124,101,101","68,68,102,102,68"
18,vascular_endothelium,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,0,285,27,315,"0,27,27,0,0","285,285,315,315,285"
19,lymphocyte,lymphocyte,sTIL,polyline,79,3,105,32,"84,87,99,105,105,100,98,90,87,82,79,81,84","6,3,3,7,19,28,30,32,31,28,26,19,6"
20,lymphocyte,lymphocyte,sTIL,rectangle,199,221,221,253,"199,221,221,199,199","221,221,253,253,221"
21,tumor,tumor_nonMitotic,tumor_any,rectangle,210,320,232,352,"210,232,232,210,210","320,320,352,352,320"
22,tumor,tumor_nonMitotic,tumor_any,polyline,298,22,317,56,"298,301,308,310,314,317,317,315,309,303,298,298","35,22,24,25,28,37,43,52,56,52,47,35"
23,vascular_endothelium,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,106,275,131,305,"106,131,131,106,106","275,275,305,305,275"
24,lymphocyte,lymphocyte,sTIL,polyline,290,167,317,194,"317,316,314,305,299,294,292,290,292,293,301,308,313,316,317","180,185,194,193,190,188,184,179,174,172,167,167,168,174,180"
25,vascular_endothelium,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,82,310,109,337,"82,109,109,82,82","310,310,337,337,310"
26,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,4,127,31,154,"4,31,31,4,4","127,127,154,154,127"
27,lymphocyte,lymphocyte,sTIL,polyline,245,128,267,159,"247,255,261,266,267,266,264,258,253,247,246,245,246,247","140,128,128,133,144,149,152,157,158,159,157,147,142,140"
28,lymphocyte,lymphocyte,sTIL,rectangle,289,99,319,121,"289,319,319,289,289","99,99,121,121,99"
29,lymphocyte,lymphocyte,sTIL,rectangle,155,286,177,316,"155,177,177,155,155","286,286,316,316,286"
30,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,67,115,95,138,"92,95,95,94,93,90,79,67,68,71,74,82,88,92","116,121,130,133,136,138,138,132,127,121,119,115,115,116"
31,lymphocyte,lymphocyte,sTIL,polyline,118,12,142,38,"118,120,124,126,132,136,137,141,142,142,141,140,129,121,118","28,20,15,12,12,15,16,21,28,32,37,38,37,35,28"
32,lymphocyte,lymphocyte,sTIL,rectangle,241,74,263,101,"241,263,263,241,241","74,74,101,101,74"
33,lymphocyte,lymphocyte,sTIL,rectangle,221,284,243,311,"221,243,243,221,221","284,284,311,311,284"
34,lymphocyte,lymphocyte,sTIL,rectangle,250,231,272,258,"250,272,272,250,250","231,231,258,258,231"
35,vascular_endothelium,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,111,307,134,334,"111,134,134,111,111","307,307,334,334,307"
36,lymphocyte,lymphocyte,sTIL,rectangle,194,252,224,269,"194,224,224,194,194","252,252,269,269,252"
37,lymphocyte,lymphocyte,sTIL,polyline,125,38,150,62,"150,150,145,134,129,125,125,130,132,136,142,146,150","48,57,62,61,59,54,46,41,40,38,41,43,48"
38,lymphocyte,lymphocyte,sTIL,polyline,306,212,331,236,"308,306,314,316,322,326,331,331,329,326,317,308","231,225,215,212,212,215,221,225,233,236,236,231"
39,lymphocyte,lymphocyte,sTIL,polyline,320,100,340,127,"329,335,338,340,337,332,329,326,324,321,320,321,322,324,329","100,104,112,116,122,127,126,125,121,116,112,106,104,102,100"
40,lymphocyte,lymphocyte,sTIL,polyline,268,98,289,122,"268,269,277,283,285,287,288,289,284,278,273,268,268","110,106,98,98,99,101,106,116,122,121,120,115,110"
41,lymphocyte,lymphocyte,sTIL,polyline,61,22,83,46,"71,63,61,61,66,72,79,82,83,82,78,71","46,41,33,26,22,22,30,35,38,41,46,46"
42,lymphocyte,lymphocyte,sTIL,rectangle,255,205,272,232,"255,272,272,255,255","205,205,232,232,205"
43,lymphocyte,lymphocyte,sTIL,rectangle,273,243,293,268,"273,293,293,273,273","243,243,268,268,243"
44,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,99,251,124,270,"99,124,124,99,99","251,251,270,270,251"
45,lymphocyte,lymphocyte,sTIL,rectangle,275,211,295,233,"275,295,295,275,275","211,211,233,233,211"
46,tumor,tumor_nonMitotic,tumor_any,rectangle,278,4,295,19,"278,295,295,278,278","4,4,19,19,4"
