,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,polyline,192,80,236,136,"213,225,228,235,236,236,234,226,222,219,209,202,197,193,192,192,197,206,213","80,80,82,90,104,110,121,130,135,136,135,130,125,119,108,101,94,85,80"
1,tumor,tumor_nonMitotic,tumor_any,polyline,8,0,50,40,"50,50,49,43,38,28,19,13,9,8,9,12,25,28,40,44,49,50","5,30,34,37,40,40,36,30,24,19,14,11,1,0,0,1,4,5"
2,tumor,tumor_nonMitotic,tumor_any,polyline,199,22,252,62,"203,199,201,206,209,222,230,236,244,249,252,250,247,241,204,203","61,37,30,25,22,22,25,27,32,37,45,51,56,62,62,61"
3,tumor,tumor_nonMitotic,tumor_any,polyline,145,5,177,41,"160,148,145,145,150,152,156,162,170,173,176,177,176,175,172,167,160","41,37,32,21,11,8,5,5,13,17,21,24,32,35,38,41,41"
4,tumor,tumor_nonMitotic,tumor_any,polyline,55,26,86,80,"81,70,65,64,60,57,56,55,55,57,60,67,73,77,85,86,86,85,81","69,80,79,78,72,66,61,50,36,32,30,26,26,27,34,43,50,58,69"
5,tumor,tumor_nonMitotic,tumor_any,polyline,98,13,141,51,"141,140,131,124,114,107,101,99,98,99,101,103,108,117,123,127,133,138,141","31,42,51,51,48,45,41,40,31,26,24,20,16,13,13,14,16,24,31"
6,tumor,tumor_nonMitotic,tumor_any,rectangle,77,280,117,357,"77,117,117,77,77","280,280,357,357,280"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,189,279,239,343,"189,239,239,189,189","279,279,343,343,279"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,259,166,313,225,"259,313,313,259,259","166,166,225,225,166"
9,tumor,tumor_nonMitotic,tumor_any,rectangle,146,237,201,296,"146,201,201,146,146","237,237,296,296,237"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,28,290,65,357,"28,65,65,28,28","290,290,357,357,290"
11,tumor,tumor_nonMitotic,tumor_any,rectangle,231,245,293,286,"231,293,293,231,231","245,245,286,286,245"
12,tumor,tumor_nonMitotic,tumor_any,rectangle,6,246,55,300,"6,55,55,6,6","246,246,300,300,246"
13,tumor,tumor_nonMitotic,tumor_any,rectangle,191,204,228,268,"191,228,228,191,191","204,204,268,268,204"
14,tumor,tumor_nonMitotic,tumor_any,rectangle,177,148,222,205,"177,222,222,177,177","148,148,205,205,148"
15,tumor,tumor_nonMitotic,tumor_any,rectangle,106,243,167,280,"106,167,167,106,106","243,243,280,280,243"
16,tumor,tumor_nonMitotic,tumor_any,rectangle,98,85,150,132,"98,150,150,98,98","85,85,132,132,85"
17,tumor,tumor_nonMitotic,tumor_any,rectangle,113,277,162,326,"113,162,162,113,113","277,277,326,326,277"
18,tumor,tumor_nonMitotic,tumor_any,rectangle,247,298,289,349,"247,289,289,247,247","298,298,349,349,298"
19,tumor,tumor_nonMitotic,tumor_any,rectangle,230,198,280,242,"230,280,280,230,230","198,198,242,242,198"
20,tumor,tumor_nonMitotic,tumor_any,rectangle,244,88,286,132,"244,286,286,244,244","88,88,132,132,88"
21,tumor,tumor_nonMitotic,tumor_any,rectangle,53,153,102,185,"53,102,102,53,53","153,153,185,185,153"
22,tumor,tumor_nonMitotic,tumor_any,rectangle,22,193,64,235,"22,64,64,22,22","193,193,235,235,193"
23,tumor,tumor_nonMitotic,tumor_any,rectangle,1,52,45,89,"1,45,45,1,1","52,52,89,89,52"
24,tumor,tumor_nonMitotic,tumor_any,rectangle,11,104,45,141,"11,45,45,11,11","104,104,141,141,104"
25,tumor,tumor_nonMitotic,tumor_any,rectangle,76,204,113,236,"76,113,113,76,76","204,204,236,236,204"
26,tumor,tumor_nonMitotic,tumor_any,rectangle,6,74,45,104,"6,45,45,6,6","74,74,104,104,74"
27,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,96,58,130,90,"96,130,130,96,96","58,58,90,90,58"
28,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,122,200,156,227,"122,156,156,122,122","200,200,227,227,200"
29,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,60,124,90,153,"60,90,90,60,60","124,124,153,153,124"
30,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,90,185,122,208,"90,122,122,90,90","185,185,208,208,185"
31,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,161,115,188,142,"161,188,188,161,161","115,115,142,142,115"
32,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,114,174,136,204,"114,136,136,114,114","174,174,204,204,174"
33,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,318,157,345,182,"318,345,345,318,318","157,157,182,182,157"
34,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,157,58,182,85,"157,182,182,157,157","58,58,85,85,58"
35,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,170,206,187,231,"170,187,187,170,170","206,206,231,231,206"
36,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,152,200,167,217,"152,167,167,152,152","200,200,217,217,200"
