,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,24,112,46,139,"46,45,39,36,26,25,24,24,25,29,41,44,46","121,130,137,139,137,136,132,118,115,112,112,115,121"
1,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,41,84,86,104,"41,41,43,47,51,59,77,82,84,86,84,78,57,45,43,41","99,94,89,87,86,84,84,86,87,91,97,99,104,104,102,99"
2,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,157,89,194,136,"157,194,194,157,157","89,89,136,136,89"
3,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,316,0,358,33,"316,358,358,316,316","0,0,33,33,0"
4,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,266,47,305,87,"266,305,305,266,266","47,47,87,87,47"
5,tumor,tumor_nonMitotic,tumor_any,rectangle,45,190,92,227,"45,92,92,45,45","190,190,227,227,190"
6,tumor,tumor_nonMitotic,tumor_any,rectangle,83,257,130,294,"83,130,130,83,83","257,257,294,294,257"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,31,288,66,320,"31,66,66,31,31","288,288,320,320,288"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,228,28,284,67,"228,284,284,228,228","28,28,67,67,28"
9,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,166,308,242,347,"166,242,242,166,166","308,308,347,347,308"
10,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,226,105,276,145,"226,276,276,226,226","105,105,145,145,105"
11,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,1,158,38,203,"1,38,38,1,1","158,158,203,203,158"
12,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,194,61,246,86,"194,246,246,194,194","61,61,86,86,61"
13,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,98,71,138,103,"98,138,138,98,98","71,71,103,103,71"
14,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,141,236,181,268,"141,181,181,141,141","236,236,268,268,236"
15,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,223,209,262,231,"223,262,262,223,223","209,209,231,231,209"
16,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,163,23,200,47,"163,200,200,163,163","23,23,47,47,23"
17,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,123,168,157,195,"123,157,157,123,123","168,168,195,195,168"
18,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,251,241,288,263,"251,288,288,251,251","241,241,263,263,241"
19,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,101,107,138,126,"101,138,138,101,101","107,107,126,126,107"
