,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,185,139,223,193,"185,223,223,185","139,139,193,193"
1,macrophage,macrophage,nonTIL_stromal,rectangle,159,187,201,225,"159,201,201,159","187,187,225,225"
2,macrophage,macrophage,nonTIL_stromal,rectangle,273,244,309,276,"273,309,309,273","244,244,276,276"
3,macrophage,macrophage,nonTIL_stromal,rectangle,159,62,197,92,"159,197,197,159","62,62,92,92"
4,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,145,11,169,49,"145,169,169,145","11,11,49,49"
5,lymphocyte,lymphocyte,sTIL,rectangle,160,315,194,337,"160,194,194,160","315,315,337,337"
6,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,228,150,252,182,"228,252,252,228","150,150,182,182"
7,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,207,127,239,151,"207,239,239,207","127,127,151,151"
8,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,85,200,103,234,"85,103,103,85","200,200,234,234"
9,lymphocyte,lymphocyte,sTIL,rectangle,268,83,292,113,"268,292,292,268","83,83,113,113"
10,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,293,10,317,40,"293,317,317,293","10,10,40,40"
11,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,129,22,155,42,"129,155,155,129","22,22,42,42"
12,lymphocyte,lymphocyte,sTIL,rectangle,304,74,326,100,"304,326,326,304","74,74,100,100"
13,lymphocyte,lymphocyte,sTIL,polyline,1,82,44,142,"1,1,2,4,6,8,17,23,25,28,43,44,44,40,36,15,9,4,1","113,102,95,85,84,82,85,87,89,92,116,123,133,138,142,132,128,121,113"
14,lymphocyte,lymphocyte,sTIL,polyline,328,287,370,334,"328,335,359,369,370,370,367,357,333,331,328,328","312,298,287,314,326,328,330,334,326,324,318,312"
15,lymphocyte,lymphocyte,sTIL,polyline,82,299,123,341,"82,86,103,109,113,115,116,119,120,121,123,121,115,89,84,82,82","308,304,299,301,302,303,304,308,310,314,335,341,341,339,338,317,308"
16,lymphocyte,lymphocyte,sTIL,polyline,65,69,91,121,"91,91,89,83,78,76,66,65,66,73,79,86,91","82,118,121,121,118,116,102,100,90,69,69,75,82"
17,macrophage,macrophage,nonTIL_stromal,polyline,158,93,199,134,"187,176,169,166,165,160,158,158,171,177,182,195,198,199,197,195,190,187","134,134,133,130,129,114,108,103,93,93,96,103,106,112,122,124,130,134"
18,lymphocyte,lymphocyte,sTIL,polyline,326,75,364,116,"363,349,346,340,335,333,327,326,326,328,330,341,343,347,358,362,364,364,363","116,116,114,112,108,107,100,96,80,76,75,76,77,81,93,101,112,114,116"
19,lymphocyte,lymphocyte,sTIL,polyline,268,277,300,323,"300,300,296,280,277,269,268,268,269,275,283,288,289,293,296,300","304,309,323,321,319,298,293,288,277,277,278,281,282,288,296,304"
20,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,9,0,46,39,"46,46,43,35,30,19,9,9,14,17,30,38,44,46","10,26,33,39,38,31,16,10,5,3,1,0,0,10"
21,macrophage,macrophage,nonTIL_stromal,polyline,99,113,144,143,"129,113,109,105,104,99,99,100,102,108,120,139,144,134,129","143,143,142,139,138,130,123,118,117,113,113,116,118,135,143"
22,macrophage,macrophage,nonTIL_stromal,polyline,118,80,156,116,"120,134,140,150,152,156,156,145,129,125,119,118,118,119,120","91,80,80,84,87,101,111,116,114,113,109,106,103,93,91"
23,macrophage,macrophage,nonTIL_stromal,polyline,208,56,238,97,"208,210,226,232,237,238,238,235,229,221,218,213,210,208","77,73,56,56,58,68,77,87,93,97,95,91,87,77"
24,lymphocyte,lymphocyte,sTIL,polyline,224,286,256,321,"232,245,254,256,256,253,241,235,229,226,224,224,226,232","289,286,299,302,309,314,321,321,320,318,307,299,296,289"
25,macrophage,macrophage,nonTIL_stromal,polyline,258,39,287,76,"284,261,259,258,258,266,271,282,284,287,287,284","76,75,71,66,52,43,39,40,43,49,64,76"
26,macrophage,macrophage,nonTIL_stromal,polyline,231,225,257,262,"242,248,252,257,257,252,242,238,235,232,231,232,234,237,242","225,227,233,245,256,262,262,261,259,256,249,236,233,229,225"
27,lymphocyte,lymphocyte,sTIL,polyline,24,149,52,182,"36,29,26,25,24,25,26,29,39,45,47,49,52,52,51,47,43,36","182,179,175,172,166,162,160,156,149,149,150,153,164,170,175,180,182,182"
28,lymphocyte,lymphocyte,sTIL,polyline,134,128,161,161,"144,139,137,134,135,137,145,151,155,160,161,161,157,150,144","161,156,154,144,138,133,128,128,130,138,140,149,156,161,161"
29,lymphocyte,lymphocyte,sTIL,polyline,219,93,242,129,"232,222,221,219,221,226,232,238,240,242,242,240,238,232","129,127,122,103,98,96,93,96,98,108,116,122,124,129"
30,macrophage,macrophage,nonTIL_stromal,polyline,299,112,328,143,"304,306,312,316,326,327,328,325,320,315,307,304,301,299,299,301,304","113,112,112,113,123,128,137,140,143,142,139,137,134,126,122,117,113"
31,lymphocyte,lymphocyte,sTIL,polyline,343,126,373,156,"343,346,349,354,367,372,373,373,369,360,352,346,344,343","149,135,128,126,126,130,137,140,146,153,156,155,153,149"
32,lymphocyte,lymphocyte,sTIL,polyline,149,259,179,288,"149,151,155,161,174,178,179,179,176,169,155,152,149,149","277,261,259,259,262,264,265,271,282,285,288,287,280,277"
33,macrophage,macrophage,nonTIL_stromal,polyline,153,281,183,312,"153,177,183,182,179,176,158,155,153","281,283,288,305,309,312,312,301,281"
34,macrophage,macrophage,nonTIL_stromal,polyline,71,278,103,304,"75,84,92,102,103,99,87,79,75,71,71,72,75","283,278,281,289,297,301,303,304,303,294,289,286,283"
35,lymphocyte,lymphocyte,sTIL,polyline,256,114,283,145,"256,256,258,263,274,280,283,283,280,278,274,264,259,256","139,127,122,114,119,123,128,134,139,143,145,145,143,139"
36,lymphocyte,lymphocyte,sTIL,rectangle,306,166,338,191,"306,338,338,306,306","166,166,191,191,166"
37,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,119,229,141,262,"120,119,130,140,141,140,137,131,125,120","259,238,229,233,235,256,261,262,261,259"
38,lymphocyte,lymphocyte,sTIL,rectangle,200,266,230,291,"200,230,230,200,200","266,266,291,291,266"
39,macrophage,macrophage,nonTIL_stromal,polyline,311,45,337,73,"312,311,312,322,328,336,337,336,332,321,312","61,54,50,45,47,54,56,66,73,73,61"
40,lymphocyte,lymphocyte,sTIL,rectangle,68,11,91,40,"68,91,91,68,68","11,11,40,40,11"
41,lymphocyte,lymphocyte,sTIL,polyline,129,206,152,234,"129,130,131,132,136,145,152,152,149,145,129,129","228,215,212,209,206,209,213,225,230,234,229,228"
42,lymphocyte,lymphocyte,sTIL,rectangle,110,174,128,203,"110,128,128,110,110","174,174,203,203,174"
43,lymphocyte,lymphocyte,sTIL,rectangle,114,158,139,177,"114,139,139,114,114","158,158,177,177,158"
44,lymphocyte,lymphocyte,sTIL,rectangle,325,273,349,293,"325,349,349,325,325","273,273,293,293,273"
45,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,278,10,300,32,"278,300,300,278,278","10,10,32,32,10"
46,lymphocyte,lymphocyte,sTIL,rectangle,152,212,172,234,"152,172,172,152,152","212,212,234,234,212"
47,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,86,240,105,262,"86,105,105,86,86","240,240,262,262,240"
48,lymphocyte,lymphocyte,sTIL,rectangle,337,246,357,268,"337,357,357,337,337","246,246,268,268,246"
49,lymphocyte,lymphocyte,sTIL,rectangle,332,232,357,246,"332,357,357,332,332","232,232,246,246,232"
50,lymphocyte,lymphocyte,sTIL,rectangle,304,277,321,299,"304,321,321,304,304","277,277,299,299,277"
51,lymphocyte,lymphocyte,sTIL,rectangle,324,209,341,232,"324,341,341,324,324","209,209,232,232,209"
52,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,43,61,60,84,"43,60,60,43,43","61,61,84,84,61"
53,lymphocyte,lymphocyte,sTIL,rectangle,290,203,310,220,"290,310,310,290,290","203,203,220,220,203"
54,lymphocyte,lymphocyte,sTIL,rectangle,271,170,283,192,"271,283,283,271,271","170,170,192,192,170"
55,lymphocyte,lymphocyte,sTIL,rectangle,93,142,108,161,"93,108,108,93,93","142,142,161,161,142"
56,lymphocyte,lymphocyte,sTIL,rectangle,211,218,231,230,"211,231,231,211,211","218,218,230,230,218"
57,lymphocyte,lymphocyte,sTIL,rectangle,214,208,234,218,"214,234,234,214,214","208,208,218,218,208"
58,lymphocyte,lymphocyte,sTIL,rectangle,221,191,234,208,"221,234,234,221,221","191,191,208,208,191"
59,lymphocyte,lymphocyte,sTIL,rectangle,274,206,289,220,"274,289,289,274,274","206,206,220,220,206"
60,lymphocyte,lymphocyte,sTIL,rectangle,284,142,296,156,"284,296,296,284,284","142,142,156,156,142"
