,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,161,79,213,113,"161,213,213,161,161","79,79,113,113,79"
1,lymphocyte,lymphocyte,sTIL,polyline,294,84,332,119,"294,306,321,325,332,331,324,320,303,299,294,294","84,84,91,94,101,105,115,116,119,118,110,84"
2,lymphocyte,lymphocyte,sTIL,polyline,87,35,129,61,"129,126,106,96,93,88,87,90,116,122,127,128,129","42,47,61,58,56,46,42,37,35,35,37,38,42"
3,macrophage,macrophage,nonTIL_stromal,polyline,68,123,100,159,"99,87,80,78,75,68,80,91,96,100,100,99","156,159,156,153,148,131,123,124,127,143,150,156"
4,lymphocyte,lymphocyte,sTIL,polyline,261,121,300,148,"261,261,263,265,271,277,289,300,300,295,293,278,267,261","142,131,127,126,121,121,122,132,138,145,146,148,148,142"
5,macrophage,macrophage,nonTIL_stromal,polyline,257,192,285,229,"271,265,261,257,257,262,266,274,278,284,285,285,283,277,271","229,226,216,205,202,193,192,193,194,203,208,216,223,229,229"
6,macrophage,macrophage,nonTIL_stromal,polyline,122,198,155,230,"154,155,155,154,148,145,141,131,127,122,122,123,129,136,142,148,154","200,208,209,214,224,228,230,230,228,223,219,214,207,200,198,198,200"
7,lymphocyte,lymphocyte,sTIL,polyline,13,285,45,318,"19,13,17,21,24,34,39,41,44,45,44,39,29,19","316,296,291,286,285,286,289,291,296,300,307,313,318,316"
8,lymphocyte,lymphocyte,sTIL,polyline,196,313,229,344,"227,229,227,225,220,204,201,196,197,202,204,212,215,227","326,333,339,340,344,344,343,339,331,320,317,313,315,326"
9,lymphocyte,lymphocyte,sTIL,polyline,106,52,143,78,"127,116,110,106,107,111,122,137,143,143,142,134,127","78,72,67,62,61,58,52,53,54,62,68,75,78"
10,lymphocyte,lymphocyte,sTIL,polyline,288,169,316,202,"288,294,312,315,316,316,314,301,298,295,290,288","183,169,169,176,181,187,196,202,200,198,191,183"
11,lymphocyte,lymphocyte,sTIL,rectangle,233,322,269,344,"233,269,269,233,233","322,322,344,344,322"
12,lymphocyte,lymphocyte,sTIL,polyline,12,37,40,69,"12,12,15,18,24,34,40,40,36,35,25,19,12","56,49,45,42,37,40,45,57,62,63,69,69,56"
