,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,rectangle,233,116,289,164,"233,289,289,233","116,116,164,164"
1,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,281,199,305,233,"281,305,305,281","199,199,233,233"
2,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,1,197,31,237,"1,31,31,1","197,197,237,237"
3,tumor,tumor_nonMitotic,tumor_any,rectangle,95,27,164,91,"95,164,164,95,95","27,27,91,91,27"
4,tumor,tumor_nonMitotic,tumor_any,polyline,105,206,164,276,"154,164,164,163,160,158,154,150,120,117,111,106,105,106,111,115,121,128,134,148,154","206,239,245,253,261,266,272,276,276,275,269,256,248,238,224,220,213,210,208,206,206"
5,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,155,94,215,138,"155,158,179,185,190,201,208,212,215,215,203,192,181,174,158,155","126,110,94,94,96,99,103,105,113,124,132,136,138,136,129,126"
6,tumor,tumor_nonMitotic,tumor_any,rectangle,197,255,246,309,"197,246,246,197,197","255,255,309,309,255"
7,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,234,35,292,76,"292,292,290,288,283,251,247,241,236,234,235,239,240,246,252,288,290,292","54,67,70,73,76,73,72,70,67,53,45,39,38,35,35,45,48,54"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,89,140,136,191,"89,136,136,89,89","140,140,191,191,140"
9,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,147,206,203,243,"147,203,203,147,147","206,206,243,243,206"
10,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,209,212,263,249,"209,263,263,209,209","212,212,249,249,212"
11,tumor,tumor_nonMitotic,tumor_any,rectangle,148,281,190,328,"148,190,190,148,148","281,281,328,328,281"
12,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,36,24,78,69,"36,78,78,36,36","24,24,69,69,24"
13,tumor,tumor_nonMitotic,tumor_any,rectangle,57,82,87,134,"57,87,87,57,57","82,82,134,134,82"
14,mitotic_figure,tumor_mitotic,tumor_any,polyline,145,130,184,162,"148,157,171,176,184,184,160,153,148,147,145,145,147,148","134,130,135,138,157,162,161,157,152,147,141,137,135,134"
15,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,2,10,37,44,"33,37,37,36,34,21,3,2,3,12,15,33","17,22,27,30,33,44,44,37,29,12,10,17"
16,lymphocyte,lymphocyte,sTIL,rectangle,282,196,324,216,"282,324,324,282,282","196,196,216,216,196"
17,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,273,72,300,104,"279,273,276,278,284,288,294,299,300,300,298,295,285,279","104,98,91,87,78,76,72,73,76,93,98,100,104,104"
18,lymphocyte,lymphocyte,sTIL,rectangle,25,126,52,153,"25,52,52,25,25","126,126,153,153,126"
19,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,39,156,66,180,"39,66,66,39,39","156,156,180,180,156"
