,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,161,294,183,318,"161,183,183,161","294,294,318,318"
1,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,176,284,194,306,"176,194,194,176","284,284,306,306"
2,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,319,93,369,137,"319,369,369,319","93,93,137,137"
3,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,0,144,80,180,"77,59,54,4,1,0,0,3,9,24,33,76,80,80,78,77","171,180,178,163,159,157,149,144,144,145,147,157,161,164,169,171"
4,tumor,tumor_nonMitotic,tumor_any,rectangle,241,10,310,58,"241,310,310,241,241","10,10,58,58,10"
5,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,325,219,380,257,"325,380,380,325,325","219,219,257,257,219"
6,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,298,188,344,236,"298,344,344,298,298","188,188,236,236,188"
7,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,248,302,291,350,"248,291,291,248,248","302,302,350,350,302"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,164,42,207,85,"164,207,207,164,164","42,42,85,85,42"
9,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,81,42,116,91,"81,85,90,99,104,105,107,115,116,114,107,100,82,81,81","77,60,42,46,48,49,53,67,75,85,91,90,85,84,77"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,153,193,196,229,"153,196,196,153,153","193,193,229,229,193"
11,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,87,0,123,42,"123,123,118,115,105,100,96,94,89,87,87,90,91,95,100,109,115,119,123","23,36,41,42,41,39,34,30,19,14,9,4,3,0,1,4,6,14,23"
12,tumor,tumor_nonMitotic,tumor_any,rectangle,204,171,239,209,"204,239,239,204,204","171,171,209,209,171"
13,tumor,tumor_nonMitotic,tumor_any,rectangle,143,17,183,47,"143,183,183,143,143","17,17,47,47,17"
14,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,211,258,253,284,"241,248,252,253,253,252,250,230,228,220,212,211,211,212,214,221,226,230,241","258,258,262,264,265,269,272,283,284,284,282,281,279,272,269,264,262,260,258"
15,lymphocyte,lymphocyte,sTIL,rectangle,83,249,121,279,"83,121,121,83,83","249,249,279,279,249"
16,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,92,121,124,158,"121,124,114,110,97,96,92,92,96,97,101,114,119,121","124,134,154,158,158,157,152,149,133,130,127,121,123,124"
17,lymphocyte,lymphocyte,sTIL,polyline,239,191,270,219,"239,248,258,265,267,270,258,246,243,239,239","202,193,191,192,193,211,219,219,216,211,202"
18,lymphocyte,lymphocyte,sTIL,rectangle,292,152,322,175,"292,322,322,292,292","152,152,175,175,152"
19,lymphocyte,lymphocyte,sTIL,rectangle,116,226,147,247,"116,147,147,116,116","226,226,247,247,226"
20,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,263,252,291,272,"263,291,291,263,263","252,252,272,272,252"
21,lymphocyte,lymphocyte,sTIL,rectangle,129,314,154,336,"129,154,154,129,129","314,314,336,336,314"
22,lymphocyte,lymphocyte,sTIL,polyline,265,185,289,209,"272,282,288,289,287,284,281,268,265,265,270,272","192,185,185,193,201,205,209,209,205,200,193,192"
23,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,273,276,296,296,"273,296,296,273,273","276,276,296,296,276"
