,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,118,1,152,21,"118,152,152,118","1,1,21,21"
1,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,75,41,119,59,"75,119,119,75","41,41,59,59"
2,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,85,54,125,70,"85,125,125,85","54,54,70,70"
3,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,137,20,203,52,"137,203,203,137","20,20,52,52"
4,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,251,35,277,75,"251,277,277,251","35,35,75,75"
5,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,195,8,237,24,"195,237,237,195","8,8,24,24"
6,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,206,77,242,109,"206,242,242,206","77,77,109,109"
7,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,141,61,193,89,"141,193,193,141","61,61,89,89"
8,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,31,73,83,99,"31,83,83,31","73,73,99,99"
9,tumor,tumor_nonMitotic,tumor_any,rectangle,277,141,335,179,"277,335,335,277,277","141,141,179,179,141"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,184,150,227,193,"184,227,227,184,184","150,150,193,193,150"
11,tumor,tumor_nonMitotic,tumor_any,rectangle,310,214,353,250,"310,353,353,310,310","214,214,250,250,214"
12,tumor,tumor_nonMitotic,tumor_any,rectangle,243,173,284,210,"243,284,284,243,243","173,173,210,210,173"
13,tumor,tumor_nonMitotic,tumor_any,rectangle,210,184,243,214,"210,243,243,210,210","184,184,214,214,184"
14,tumor,tumor_nonMitotic,tumor_any,rectangle,234,159,257,197,"234,257,257,234,234","159,159,197,197,159"
15,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,8,116,31,147,"8,14,21,27,28,31,27,22,16,12,9,8,8","125,116,118,125,127,133,143,147,146,142,137,130,125"
16,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,66,305,92,355,"66,92,92,66","305,305,355,355"
17,tumor,tumor_nonMitotic,tumor_any,rectangle,322,289,368,321,"322,368,368,322","289,289,321,321"
18,tumor,tumor_nonMitotic,tumor_any,rectangle,326,318,362,342,"326,362,362,326","318,318,342,342"
19,tumor,tumor_nonMitotic,tumor_any,rectangle,11,285,71,315,"11,71,71,11","285,285,315,315"
20,tumor,tumor_nonMitotic,tumor_any,rectangle,159,242,185,278,"159,185,185,159","242,242,278,278"
21,tumor,tumor_nonMitotic,tumor_any,rectangle,166,211,220,249,"166,220,220,166","211,211,249,249"
22,tumor,tumor_nonMitotic,tumor_any,rectangle,226,226,256,254,"226,256,256,226","226,226,254,254"
23,tumor,tumor_nonMitotic,tumor_any,rectangle,241,238,287,280,"241,287,287,241","238,238,280,280"
24,tumor,tumor_nonMitotic,tumor_any,rectangle,226,252,254,288,"226,254,254,226","252,252,288,288"
25,tumor,tumor_nonMitotic,tumor_any,rectangle,192,255,228,295,"192,228,228,192","255,255,295,295"
26,tumor,tumor_nonMitotic,tumor_any,rectangle,185,236,217,258,"185,217,217,185","236,236,258,258"
27,tumor,tumor_nonMitotic,tumor_any,rectangle,169,281,211,315,"169,211,211,169","281,281,315,315"
28,tumor,tumor_nonMitotic,tumor_any,rectangle,238,282,266,312,"238,266,266,238","282,282,312,312"
29,tumor,tumor_nonMitotic,tumor_any,rectangle,278,269,318,323,"278,318,318,278","269,269,323,323"
30,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,161,320,191,354,"161,191,191,161","320,320,354,354"
31,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,183,324,207,358,"183,207,207,183","324,324,358,358"
32,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,116,297,142,323,"116,142,142,116","297,297,323,323"
33,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,90,274,128,304,"90,128,128,90","274,274,304,304"
34,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,61,267,101,303,"61,101,101,61","267,267,303,303"
35,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,0,270,36,284,"0,36,36,0","270,270,284,284"
36,tumor,tumor_nonMitotic,tumor_any,rectangle,304,184,360,224,"304,360,360,304","184,184,224,224"
