,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,247,215,293,251,"247,293,293,247","215,215,251,251"
1,macrophage,macrophage,nonTIL_stromal,rectangle,146,2,176,30,"146,176,176,146","2,2,30,30"
2,macrophage,macrophage,nonTIL_stromal,rectangle,302,202,338,240,"302,338,338,302","202,202,240,240"
3,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,76,302,104,324,"76,104,104,76","302,302,324,324"
4,macrophage,macrophage,nonTIL_stromal,polyline,77,201,126,243,"126,126,123,121,98,93,90,83,77,79,85,91,98,100,126","221,236,240,243,242,240,239,233,221,210,201,201,202,204,221"
5,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,191,195,235,229,"191,235,235,191,191","195,195,229,229,195"
6,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,1,143,47,173,"1,47,47,1,1","143,143,173,173,143"
7,macrophage,macrophage,nonTIL_stromal,polyline,73,244,107,282,"107,105,96,93,85,80,74,73,73,74,88,90,96,100,101,107","259,272,279,281,282,281,276,271,263,256,245,244,244,245,247,259"
8,plasma_cell,plasma_cell,sTIL,polyline,31,236,68,271,"56,36,33,31,31,33,45,52,68,68,58,56","271,271,269,264,258,252,239,236,243,244,266,271"
9,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,94,178,138,202,"94,138,138,94,94","178,178,202,202,178"
10,plasma_cell,plasma_cell,sTIL,polyline,163,287,200,322,"198,200,200,195,192,185,175,168,164,163,163,168,171,173,181,187,191,198","293,301,303,315,319,322,322,319,315,312,309,297,292,291,287,287,288,293"
11,macrophage,macrophage,nonTIL_stromal,polyline,197,103,230,140,"198,197,198,202,207,213,220,227,230,227,218,204,201,198","126,118,110,107,103,103,107,113,123,134,140,140,132,126"
12,macrophage,macrophage,nonTIL_stromal,polyline,217,259,247,297,"224,233,239,241,246,247,247,243,239,236,234,229,224,220,219,218,217,217,222,224","269,259,259,260,266,277,279,287,292,295,296,297,295,292,291,287,282,281,272,269"
13,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,154,162,192,191,"192,192,181,177,158,154,154,155,161,166,181,190,192","180,191,190,189,179,174,163,162,162,163,170,177,180"
14,macrophage,macrophage,nonTIL_stromal,polyline,33,193,68,223,"41,37,34,33,36,40,53,57,66,68,67,63,53,41","223,220,212,209,202,200,194,193,194,197,206,216,223,223"
15,macrophage,macrophage,nonTIL_stromal,rectangle,116,6,141,45,"116,141,141,116,116","6,6,45,45,6"
16,macrophage,macrophage,nonTIL_stromal,polyline,243,18,273,53,"244,243,244,246,258,265,268,273,271,265,254,251,246,244","43,33,29,27,18,18,21,33,48,53,53,51,46,43"
17,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,158,56,187,91,"158,187,187,158,158","56,56,91,91,56"
18,macrophage,macrophage,nonTIL_stromal,rectangle,218,135,250,167,"218,250,250,218,218","135,135,167,167,135"
19,macrophage,macrophage,nonTIL_stromal,polyline,192,229,225,259,"192,192,198,204,217,219,224,225,225,220,204,195,192","249,243,231,229,232,233,240,244,255,259,259,252,249"
20,plasma_cell,plasma_cell,sTIL,rectangle,90,280,127,304,"90,127,127,90,90","280,280,304,304,280"
21,macrophage,macrophage,nonTIL_stromal,rectangle,273,77,308,104,"273,308,308,273,273","77,77,104,104,77"
22,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,324,67,358,94,"324,358,358,324,324","67,67,94,94,67"
23,lymphocyte,lymphocyte,sTIL,polyline,231,73,257,105,"252,249,244,240,235,231,231,236,239,241,251,255,256,257,255,252","103,105,104,103,100,93,87,77,75,73,75,77,81,89,98,103"
24,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,112,137,143,164,"141,131,125,118,112,112,114,120,131,133,139,142,143,143,141","164,164,161,155,145,141,140,137,141,142,146,148,152,162,164"
25,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,130,231,161,255,"130,161,161,130,130","231,231,255,255,231"
26,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,157,249,186,276,"157,186,186,157,157","249,249,276,276,249"
27,macrophage,macrophage,nonTIL_stromal,rectangle,82,19,109,46,"82,109,109,82,82","19,19,46,46,19"
28,macrophage,macrophage,nonTIL_stromal,rectangle,292,59,316,86,"292,316,316,292,292","59,59,86,86,59"
29,macrophage,macrophage,nonTIL_stromal,polyline,212,18,238,42,"233,238,238,233,222,219,216,212,213,233","18,26,33,42,42,40,38,30,28,18"
30,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,61,218,83,240,"61,83,83,61,61","218,218,240,240,218"
