,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,polyline,0,191,24,213,"0,24,24,0,0","191,191,213,213,191"
1,tumor,tumor_nonMitotic,tumor_any,polyline,14,128,40,146,"14,40,40,14,14","128,128,146,146,128"
2,tumor,tumor_nonMitotic,tumor_any,polyline,3,211,27,227,"3,27,27,3,3","211,211,227,227,211"
3,tumor,tumor_nonMitotic,tumor_any,polyline,4,51,28,65,"4,28,28,4,4","51,51,65,65,51"
4,tumor,tumor_nonMitotic,tumor_any,polyline,3,38,21,48,"3,21,21,3,3","38,38,48,48,38"
5,tumor,tumor_nonMitotic,tumor_any,polyline,12,156,26,170,"12,26,26,12,12","156,156,170,170,156"
6,tumor,tumor_nonMitotic,tumor_any,polyline,11,190,27,200,"11,27,27,11,11","190,190,200,200,190"
7,tumor,tumor_nonMitotic,tumor_any,polyline,13,20,25,32,"13,25,25,13,13","20,20,32,32,20"
8,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,72,183,98,225,"72,98,98,72,72","183,183,225,225,183"
9,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,163,45,209,65,"163,209,209,163,163","45,45,65,65,45"
10,tumor,tumor_nonMitotic,tumor_any,polyline,220,47,248,79,"220,248,248,220,220","47,47,79,79,47"
11,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,94,164,110,204,"94,110,110,94,94","164,164,204,204,164"
12,tumor,tumor_nonMitotic,tumor_any,polyline,237,29,269,51,"237,269,269,237,237","29,29,51,51,29"
13,tumor,tumor_nonMitotic,tumor_any,polyline,180,218,202,248,"180,202,202,180,180","218,218,248,248,218"
14,tumor,tumor_nonMitotic,tumor_any,polyline,223,198,251,218,"223,251,251,223,223","198,198,218,218,198"
15,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,134,213,158,239,"134,158,158,134,134","213,213,239,239,213"
16,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,119,105,133,135,"119,133,133,119,119","105,105,135,135,105"
17,tumor,tumor_nonMitotic,tumor_any,polyline,170,196,188,224,"170,188,188,170,170","196,196,224,224,196"
18,tumor,tumor_nonMitotic,tumor_any,polyline,249,10,275,30,"249,275,275,249,249","10,10,30,30,10"
19,tumor,tumor_nonMitotic,tumor_any,polyline,34,40,56,64,"34,56,56,34,34","40,40,64,64,40"
20,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,210,87,236,107,"210,236,236,210,210","87,87,107,107,87"
21,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,191,9,215,29,"191,215,215,191,191","9,9,29,29,9"
22,mitotic_figure,tumor_mitotic,tumor_any,polyline,157,88,181,108,"157,181,181,157,157","88,88,108,108,88"
23,tumor,tumor_nonMitotic,tumor_any,polyline,218,17,242,37,"218,242,242,218,218","17,17,37,37,17"
24,tumor,tumor_nonMitotic,tumor_any,polyline,73,243,89,269,"73,89,89,73,73","243,243,269,269,243"
25,tumor,tumor_nonMitotic,tumor_any,polyline,56,66,78,86,"56,78,78,56,56","66,66,86,86,66"
26,tumor,tumor_nonMitotic,tumor_any,polyline,181,180,195,206,"181,195,195,181,181","180,180,206,206,180"
27,tumor,tumor_nonMitotic,tumor_any,polyline,54,92,74,112,"54,74,74,54,54","92,92,112,112,92"
28,tumor,tumor_nonMitotic,tumor_any,polyline,185,243,201,267,"185,201,201,185,185","243,243,267,267,243"
29,tumor,tumor_nonMitotic,tumor_any,polyline,231,8,251,28,"231,251,251,231,231","8,8,28,28,8"
30,tumor,tumor_nonMitotic,tumor_any,polyline,164,241,184,261,"164,184,184,164,164","241,241,261,261,241"
31,tumor,tumor_nonMitotic,tumor_any,polyline,259,212,275,234,"259,275,275,259,259","212,212,234,234,212"
32,tumor,tumor_nonMitotic,tumor_any,polyline,24,170,42,192,"24,42,42,24,24","170,170,192,192,170"
33,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,147,184,163,208,"147,163,163,147,147","184,184,208,208,184"
34,tumor,tumor_nonMitotic,tumor_any,polyline,264,25,286,41,"264,286,286,264,264","25,25,41,41,25"
35,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,223,134,237,158,"223,237,237,223,223","134,134,158,158,134"
36,tumor,tumor_nonMitotic,tumor_any,polyline,217,164,241,178,"217,241,241,217,217","164,164,178,178,164"
37,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,203,99,219,121,"203,219,219,203,203","99,99,121,121,99"
38,tumor,tumor_nonMitotic,tumor_any,polyline,29,95,47,115,"29,47,47,29,29","95,95,115,115,95"
39,tumor,tumor_nonMitotic,tumor_any,polyline,197,26,215,44,"197,215,215,197,197","26,26,44,44,26"
40,tumor,tumor_nonMitotic,tumor_any,polyline,225,184,247,198,"225,247,247,225,225","184,184,198,198,184"
41,tumor,tumor_nonMitotic,tumor_any,polyline,21,25,31,49,"21,31,31,21,21","25,25,49,49,25"
42,tumor,tumor_nonMitotic,tumor_any,polyline,146,252,166,268,"146,166,166,146,146","252,252,268,268,252"
