,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,macrophage,macrophage,nonTIL_stromal,polyline,0,33,50,70,"26,20,16,13,6,5,2,0,1,4,8,13,21,26,33,38,42,43,48,50,50,48,40,37,26","70,69,67,65,59,58,53,48,44,40,35,34,33,33,34,35,37,38,45,48,55,60,69,70,70"
1,macrophage,macrophage,nonTIL_stromal,polyline,262,133,306,174,"288,301,305,306,305,300,297,293,284,277,271,270,265,262,262,265,268,269,271,276,288","136,149,155,160,165,170,172,174,174,172,169,168,162,157,146,139,135,134,133,133,136"
2,macrophage,macrophage,nonTIL_stromal,rectangle,86,67,120,115,"86,120,120,86,86","67,67,115,115,67"
3,lymphocyte,lymphocyte,sTIL,polyline,208,93,242,132,"214,210,208,208,210,213,218,221,228,236,238,242,241,239,238,232,224,214","132,131,119,113,107,102,96,94,93,94,96,104,110,117,119,125,132,132"
4,lymphocyte,lymphocyte,sTIL,polyline,136,242,175,276,"138,136,138,152,161,167,170,174,175,173,170,160,151,146,143,138","260,247,246,243,242,243,244,249,258,265,271,276,276,273,269,260"
5,lymphocyte,lymphocyte,sTIL,polyline,248,186,281,225,"275,268,265,259,254,251,248,250,251,254,264,270,274,281,279,278,275","225,225,224,221,215,207,195,190,188,186,186,190,193,207,215,218,225"
6,macrophage,macrophage,nonTIL_stromal,polyline,97,31,132,67,"102,112,122,126,127,131,132,130,129,120,115,105,100,98,97,97,100,102","36,31,31,32,33,39,44,59,61,65,67,65,59,55,50,44,38,36"
7,lymphocyte,lymphocyte,sTIL,polyline,68,156,103,191,"68,68,69,72,74,79,84,89,92,99,103,102,99,97,93,87,80,78,70,68","171,166,161,158,157,156,156,157,158,164,171,179,185,187,189,191,190,189,181,171"
8,lymphocyte,lymphocyte,sTIL,polyline,216,260,249,296,"247,237,228,223,222,218,216,216,219,222,224,230,235,239,242,248,249,249,247","296,296,291,288,287,280,274,267,264,262,261,260,260,261,262,268,272,276,296"
9,lymphocyte,lymphocyte,sTIL,polyline,34,109,69,142,"34,34,35,37,40,43,45,58,63,64,69,69,62,61,52,41,37,34","131,123,121,118,114,111,110,109,111,112,119,123,137,138,142,142,137,131"
10,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,166,67,199,102,"197,199,199,198,193,189,185,178,174,169,168,166,167,169,171,175,184,197","81,84,90,93,99,101,102,102,101,95,93,86,79,75,72,70,67,81"
11,lymphocyte,lymphocyte,sTIL,polyline,71,114,105,148,"71,71,78,84,86,94,96,99,105,105,101,98,88,83,79,71","136,127,119,115,114,115,116,120,130,132,139,143,148,147,145,136"
12,lymphocyte,lymphocyte,sTIL,polyline,150,0,179,38,"175,179,179,174,173,167,162,159,154,151,150,150,153,155,157,159,164,167,170,175","7,17,22,32,33,38,37,36,32,27,24,14,6,3,1,0,0,1,3,7"
13,lymphocyte,lymphocyte,sTIL,polyline,170,183,205,214,"205,205,200,178,175,171,170,170,171,173,176,184,189,193,196,198,205","201,212,214,214,212,206,201,200,196,190,187,183,183,184,187,190,201"
14,lymphocyte,lymphocyte,sTIL,polyline,274,84,306,118,"276,274,275,277,278,285,290,295,299,300,305,306,306,305,303,299,296,281,276","113,102,97,93,92,86,84,86,88,89,97,99,103,106,111,116,118,118,113"
15,lymphocyte,lymphocyte,sTIL,polyline,100,132,130,167,"104,100,101,104,106,119,121,124,130,130,121,115,110,108,105,104","161,147,141,134,132,134,135,138,147,157,164,167,167,166,163,161"
16,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,222,150,257,180,"234,229,225,224,222,222,226,228,230,238,246,251,254,257,257,255,253,247,234","180,178,172,170,165,162,153,151,150,151,154,156,158,162,165,172,176,180,180"
17,lymphocyte,lymphocyte,sTIL,polyline,174,223,206,256,"206,206,202,198,190,182,175,174,174,176,178,186,189,193,200,203,204,206","237,244,251,256,256,255,250,247,243,237,232,225,223,224,226,228,229,237"
18,lymphocyte,lymphocyte,sTIL,polyline,68,17,98,51,"68,72,74,77,83,87,94,95,97,98,98,96,89,79,71,68,68","45,22,20,18,17,18,23,24,27,30,36,43,48,51,50,47,45"
19,lymphocyte,lymphocyte,sTIL,polyline,51,213,82,246,"82,82,77,66,61,56,52,51,51,52,57,60,67,70,75,82","221,239,243,246,246,245,243,237,231,228,219,217,214,213,215,221"
20,lymphocyte,lymphocyte,sTIL,polyline,125,180,157,212,"125,127,128,133,139,143,148,154,155,156,157,157,155,150,146,139,135,133,127,126,125","197,188,185,182,180,182,185,189,190,193,198,202,205,211,212,212,211,210,202,200,197"
21,lymphocyte,lymphocyte,sTIL,polyline,79,267,111,299,"83,80,79,79,83,88,90,100,103,108,110,111,111,110,107,100,93,90,88,83","293,288,284,279,271,268,267,267,268,272,277,280,285,291,295,299,299,298,297,293"
22,lymphocyte,lymphocyte,sTIL,polyline,240,62,268,97,"253,258,263,266,268,267,264,263,261,259,256,249,246,243,240,240,243,244,248,253","62,62,65,67,71,81,88,90,93,95,97,95,93,90,84,80,71,69,65,62"
23,lymphocyte,lymphocyte,sTIL,polyline,184,135,218,164,"207,196,192,186,184,184,185,188,194,201,208,214,217,218,216,207","164,164,163,159,156,150,147,142,137,135,136,137,140,142,154,164"
24,lymphocyte,lymphocyte,sTIL,polyline,144,109,174,142,"150,146,144,144,145,153,159,168,172,173,174,174,173,166,159,150","142,139,132,122,118,111,109,111,113,116,122,127,130,139,142,142"
25,lymphocyte,lymphocyte,sTIL,polyline,272,254,305,284,"272,272,273,277,282,297,299,302,305,304,302,300,297,292,286,282,272","273,266,262,257,254,254,255,257,269,274,278,281,283,284,284,283,273"
26,lymphocyte,lymphocyte,sTIL,polyline,25,153,57,184,"57,57,49,37,34,29,25,25,26,28,30,35,38,45,50,53,55,57","167,176,184,184,183,179,175,174,164,157,156,154,153,154,155,157,161,167"
27,lymphocyte,lymphocyte,sTIL,polyline,82,231,113,263,"98,113,112,109,104,97,92,85,83,82,83,86,88,93,98","233,241,246,255,260,263,262,259,252,246,241,235,233,231,233"
28,lymphocyte,lymphocyte,sTIL,polyline,172,256,204,287,"172,172,175,177,182,187,194,197,203,204,204,202,199,198,196,189,182,174,173,172","279,269,262,259,256,256,257,259,265,270,275,279,283,284,285,287,287,283,282,279"
29,lymphocyte,lymphocyte,sTIL,rectangle,97,206,125,240,"97,125,125,97,97","206,206,240,240,206"
30,lymphocyte,lymphocyte,sTIL,polyline,277,208,305,241,"277,283,285,298,303,305,304,302,295,287,284,279,277,277","224,211,208,212,218,227,233,236,241,241,240,233,229,224"
31,lymphocyte,lymphocyte,sTIL,polyline,217,52,245,84,"233,224,220,218,217,217,219,222,229,234,238,244,245,239,233","84,83,79,74,71,68,60,57,52,52,54,62,64,83,84"
32,lymphocyte,lymphocyte,sTIL,polyline,28,184,57,215,"50,57,57,54,51,48,46,39,33,31,29,28,29,32,36,50","184,195,204,209,212,214,215,215,214,212,209,206,192,189,186,184"
33,lymphocyte,lymphocyte,sTIL,polyline,206,185,235,216,"206,208,211,226,228,230,233,235,233,232,231,227,221,214,213,207,206,206","200,190,185,185,186,188,193,198,206,208,209,212,216,216,215,208,204,200"
34,lymphocyte,lymphocyte,sTIL,polyline,129,57,157,88,"129,130,131,137,152,154,156,157,157,156,152,149,137,135,132,129,129","78,66,64,57,57,58,61,67,76,79,85,88,88,87,85,82,78"
35,lymphocyte,lymphocyte,sTIL,polyline,249,103,275,134,"249,252,255,261,268,271,273,275,272,269,264,258,253,249,249","130,111,107,104,103,104,112,123,128,130,132,134,134,133,130"
36,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,234,220,258,252,"234,258,258,234,234","220,220,252,252,220"
37,lymphocyte,lymphocyte,sTIL,polyline,37,85,66,112,"62,41,38,37,39,42,45,48,53,60,62,65,66,66,62","109,112,109,106,94,88,86,85,85,86,88,92,96,104,109"
38,macrophage,macrophage,nonTIL_stromal,rectangle,62,60,90,82,"62,90,90,62,62","60,60,82,82,60"
39,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,244,242,270,266,"244,270,270,244,244","242,242,266,266,242"
40,lymphocyte,lymphocyte,sTIL,polyline,176,19,200,43,"176,180,182,188,197,200,197,195,192,188,182,177,176,176","32,24,22,19,25,30,39,41,42,43,43,39,36,32"
41,lymphocyte,lymphocyte,sTIL,rectangle,76,201,96,227,"76,96,96,76,76","201,201,227,227,201"
42,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,252,2,294,44,"252,294,294,252","2,2,44,44"
