,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,macrophage,macrophage,nonTIL_stromal,rectangle,87,265,127,299,"87,127,127,87","265,265,299,299"
1,macrophage,macrophage,nonTIL_stromal,rectangle,21,52,55,88,"21,55,55,21","52,52,88,88"
2,lymphocyte,lymphocyte,sTIL,rectangle,131,196,165,228,"131,165,165,131","196,196,228,228"
3,macrophage,macrophage,nonTIL_stromal,rectangle,47,0,109,26,"47,109,109,47","0,0,26,26"
4,macrophage,macrophage,nonTIL_stromal,rectangle,90,30,126,66,"90,126,126,90","30,30,66,66"
5,macrophage,macrophage,nonTIL_stromal,rectangle,164,73,206,109,"164,206,206,164","73,73,109,109"
6,macrophage,macrophage,nonTIL_stromal,rectangle,223,94,249,134,"223,249,249,223","94,94,134,134"
7,macrophage,macrophage,nonTIL_stromal,rectangle,236,74,278,116,"236,278,278,236","74,74,116,116"
8,macrophage,macrophage,nonTIL_stromal,rectangle,178,162,212,196,"178,212,212,178","162,162,196,196"
9,macrophage,macrophage,nonTIL_stromal,rectangle,195,203,237,239,"195,237,237,195","203,203,239,239"
10,macrophage,macrophage,nonTIL_stromal,rectangle,118,232,160,262,"118,160,160,118","232,232,262,262"
11,macrophage,macrophage,nonTIL_stromal,rectangle,169,262,223,308,"169,223,223,169","262,262,308,308"
12,macrophage,macrophage,nonTIL_stromal,rectangle,76,135,120,185,"76,120,120,76","135,135,185,185"
13,macrophage,macrophage,nonTIL_stromal,rectangle,30,135,62,165,"30,62,62,30","135,135,165,165"
14,macrophage,macrophage,nonTIL_stromal,rectangle,24,183,70,231,"24,70,70,24","183,183,231,231"
15,macrophage,macrophage,nonTIL_stromal,rectangle,0,255,44,281,"0,44,44,0","255,255,281,281"
16,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,75,231,101,251,"75,101,101,75","231,231,251,251"
17,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,131,56,159,72,"131,159,159,131","56,56,72,72"
18,macrophage,macrophage,nonTIL_stromal,rectangle,158,3,208,43,"158,208,208,158","3,3,43,43"
19,macrophage,macrophage,nonTIL_stromal,rectangle,238,6,280,46,"238,280,280,238","6,6,46,46"
20,macrophage,macrophage,nonTIL_stromal,rectangle,186,39,222,75,"186,222,222,186","39,39,75,75"
21,macrophage,macrophage,nonTIL_stromal,rectangle,210,157,248,195,"210,248,248,210","157,157,195,195"
