,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,202,0,234,70,"202,234,234,202,202","0,0,70,70,0"
1,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,47,256,103,300,"47,48,62,96,102,103,102,95,72,47,47","276,273,256,278,290,293,295,300,297,281,276"
2,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,26,166,65,210,"44,59,64,65,64,54,50,47,43,38,32,28,27,26,26,30,36,39,44","166,166,175,179,184,201,207,209,210,210,209,206,203,192,187,179,172,169,166"
3,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,218,142,254,186,"218,219,221,222,226,231,233,238,245,246,254,249,244,241,232,226,222,219,218","166,159,154,152,146,143,142,142,144,146,168,179,184,186,186,182,178,172,166"
4,macrophage,macrophage,nonTIL_stromal,rectangle,113,111,147,151,"113,147,147,113,113","111,111,151,151,111"
5,macrophage,macrophage,nonTIL_stromal,polyline,71,77,102,114,"91,75,73,71,71,72,75,77,81,82,85,90,96,98,101,102,102,93,91","114,114,112,109,102,98,90,85,79,78,77,77,79,80,82,85,98,112,114"
6,lymphocyte,lymphocyte,sTIL,polyline,79,205,113,237,"84,89,94,104,106,113,110,106,102,90,84,82,79,79,81,84","210,206,205,206,207,212,224,233,237,237,232,229,222,220,215,210"
7,lymphocyte,lymphocyte,sTIL,polyline,211,257,241,288,"211,222,225,230,237,240,241,241,238,232,223,218,211,211","275,260,257,257,260,264,270,275,282,288,288,286,281,275"
8,lymphocyte,lymphocyte,sTIL,polyline,149,75,172,111,"170,172,172,170,167,166,162,156,152,150,149,149,152,153,158,162,166,170","80,88,95,103,108,109,111,111,108,103,100,97,88,86,79,75,76,80"
9,lymphocyte,lymphocyte,sTIL,polyline,178,136,210,164,"178,178,182,184,189,206,210,210,208,201,194,187,181,178","157,141,137,136,136,138,142,147,152,161,164,164,161,157"
10,lymphocyte,lymphocyte,sTIL,polyline,145,256,172,288,"166,156,153,149,146,145,145,146,149,158,163,167,169,172,172,171,166","288,288,287,284,280,274,269,267,262,256,256,257,259,270,277,282,288"
11,lymphocyte,lymphocyte,sTIL,polyline,221,110,250,140,"221,223,225,230,243,249,250,250,248,244,239,232,229,224,222,221","135,118,115,111,110,113,115,126,132,137,140,140,139,137,136,135"
12,lymphocyte,lymphocyte,sTIL,polyline,182,103,210,133,"193,186,183,182,183,185,189,204,205,210,210,206,203,193","133,127,121,114,111,108,103,105,106,112,117,127,133,133"
13,lymphocyte,lymphocyte,sTIL,polyline,226,83,255,111,"226,226,228,230,238,242,247,253,254,255,253,251,245,238,229,228,227,226","100,97,93,91,85,83,83,85,86,91,102,106,109,110,111,110,108,100"
14,lymphocyte,lymphocyte,sTIL,polyline,163,283,191,312,"165,163,165,166,169,174,179,183,188,190,191,191,190,183,169,165","308,297,292,290,286,283,283,284,288,292,295,300,302,312,312,308"
15,lymphocyte,lymphocyte,sTIL,rectangle,211,201,235,233,"211,235,235,211,211","201,201,233,233,201"
16,lymphocyte,lymphocyte,sTIL,polyline,53,123,82,149,"82,73,67,58,54,53,53,55,56,60,66,68,73,76,79,80,81,82","137,146,149,149,148,146,141,135,133,129,124,123,123,124,126,127,130,137"
17,lymphocyte,lymphocyte,sTIL,polyline,281,121,303,153,"300,291,285,284,282,281,281,283,287,291,296,302,303,303,300","151,153,151,150,146,140,136,131,125,121,121,125,126,144,151"
18,lymphocyte,lymphocyte,sTIL,polyline,160,213,188,239,"161,160,163,165,170,175,185,188,188,187,182,172,167,164,161","233,227,220,217,213,213,217,220,225,229,234,239,239,238,233"
19,lymphocyte,lymphocyte,sTIL,polyline,228,45,254,72,"228,229,233,238,244,249,253,254,254,253,248,238,236,232,229,228,228","56,49,45,45,46,50,56,58,63,68,72,72,71,67,63,61,56"
20,lymphocyte,lymphocyte,sTIL,rectangle,262,59,290,81,"262,290,290,262,262","59,59,81,81,59"
21,tumor,tumor_nonMitotic,tumor_any,rectangle,0,37,60,107,"0,60,60,0","37,37,107,107"
