,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,tumor,tumor_nonMitotic,tumor_any,polyline,240,89,269,117,"243,253,263,267,268,269,269,264,261,252,249,246,240,242,243","95,89,89,93,95,99,107,112,114,117,116,114,109,98,95"
1,tumor,tumor_nonMitotic,tumor_any,polyline,133,35,174,91,"168,155,150,145,134,133,133,134,135,139,141,165,168,173,174,173,168","88,91,90,85,57,54,53,36,35,36,37,51,54,64,78,83,88"
2,tumor,tumor_nonMitotic,tumor_any,polyline,201,90,234,129,"201,219,221,232,233,234,234,233,231,222,216,213,209,204,202,201","108,90,91,104,110,123,124,126,128,129,128,126,123,118,112,108"
3,tumor,tumor_nonMitotic,tumor_any,polyline,168,20,194,47,"168,172,175,180,182,194,193,176,172,169,168","32,24,20,22,24,38,43,47,45,38,32"
4,tumor,tumor_nonMitotic,tumor_any,rectangle,97,258,137,318,"97,137,137,97,97","258,258,318,318,258"
5,tumor,tumor_nonMitotic,tumor_any,rectangle,30,201,60,251,"30,60,60,30,30","201,201,251,251,201"
6,tumor,tumor_nonMitotic,tumor_any,rectangle,56,225,88,273,"56,88,88,56,56","225,225,273,273,225"
7,tumor,tumor_nonMitotic,tumor_any,rectangle,83,50,115,98,"83,115,115,83,83","50,50,98,98,50"
8,tumor,tumor_nonMitotic,tumor_any,rectangle,21,172,65,208,"21,65,65,21,21","172,172,208,208,172"
9,tumor,tumor_nonMitotic,tumor_any,rectangle,134,161,184,189,"134,184,184,134,134","161,161,189,189,161"
10,tumor,tumor_nonMitotic,tumor_any,rectangle,137,277,167,323,"137,167,167,137,137","277,277,323,323,277"
11,tumor,tumor_nonMitotic,tumor_any,rectangle,2,145,48,171,"2,48,48,2,2","145,145,171,171,145"
12,tumor,tumor_nonMitotic,tumor_any,rectangle,52,51,88,87,"52,88,88,52,52","51,51,87,87,51"
13,tumor,tumor_nonMitotic,tumor_any,rectangle,0,178,24,222,"0,24,24,0,0","178,178,222,222,178"
14,tumor,tumor_nonMitotic,tumor_any,rectangle,37,254,65,296,"37,65,65,37,37","254,254,296,296,254"
15,tumor,tumor_nonMitotic,tumor_any,rectangle,16,27,56,53,"16,56,56,16,16","27,27,53,53,27"
16,tumor,tumor_nonMitotic,tumor_any,rectangle,248,112,282,144,"248,282,282,248,248","112,112,144,144,112"
17,tumor,tumor_nonMitotic,tumor_any,rectangle,89,142,113,176,"89,113,113,89,89","142,142,176,176,142"
18,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,72,190,90,228,"72,90,90,72,72","190,190,228,228,190"
19,tumor,tumor_nonMitotic,tumor_any,rectangle,195,0,223,30,"195,223,223,195,195","0,0,30,30,0"
20,tumor,tumor_nonMitotic,tumor_any,rectangle,130,204,158,234,"130,158,158,130,130","204,204,234,234,204"
21,tumor,tumor_nonMitotic,tumor_any,rectangle,113,68,137,100,"113,137,137,113,113","68,68,100,100,68"
22,tumor,tumor_nonMitotic,tumor_any,rectangle,26,243,38,281,"26,38,38,26,26","243,243,281,281,243"
23,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,89,188,105,224,"89,105,105,89,89","188,188,224,224,188"
24,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,143,240,167,266,"143,167,167,143,143","240,240,266,266,240"
25,tumor,tumor_nonMitotic,tumor_any,rectangle,63,274,91,296,"63,91,91,63,63","274,274,296,296,274"
26,tumor,tumor_nonMitotic,tumor_any,rectangle,71,29,97,53,"71,97,97,71,71","29,29,53,53,29"
27,tumor,tumor_nonMitotic,tumor_any,rectangle,65,134,83,164,"65,83,83,65,65","134,134,164,164,134"
28,tumor,tumor_nonMitotic,tumor_any,rectangle,151,193,179,213,"151,179,179,151,151","193,193,213,213,193"
29,tumor,tumor_nonMitotic,tumor_any,rectangle,172,49,204,63,"172,204,204,172,172","49,49,63,63,49"
30,tumor,tumor_nonMitotic,tumor_any,rectangle,105,198,127,222,"105,127,127,105,105","198,198,222,222,198"
31,tumor,tumor_nonMitotic,tumor_any,rectangle,198,62,210,92,"198,210,210,198,198","62,62,92,92,62"
32,tumor,tumor_nonMitotic,tumor_any,rectangle,211,63,231,83,"211,231,231,211,211","63,63,83,83,63"
33,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,118,133,138,147,"118,138,138,118,118","133,133,147,147,133"
34,tumor,tumor_nonMitotic,tumor_any,rectangle,214,31,234,45,"214,234,234,214,214","31,31,45,45,31"
35,tumor,tumor_nonMitotic,tumor_any,rectangle,108,163,124,179,"108,124,124,108,108","163,163,179,179,163"
36,tumor,tumor_nonMitotic,tumor_any,rectangle,111,46,129,60,"111,129,129,111,111","46,46,60,60,46"
37,tumor,tumor_nonMitotic,tumor_any,rectangle,101,187,119,199,"101,119,119,101,101","187,187,199,199,187"
38,tumor,tumor_nonMitotic,tumor_any,rectangle,232,43,266,85,"232,266,266,232,232","43,43,85,85,43"
39,tumor,tumor_nonMitotic,tumor_any,rectangle,258,28,294,54,"258,294,294,258,258","28,28,54,54,28"
