,raw_classification,main_classification,super_classification,type,xmin,ymin,xmax,ymax,coords_x,coords_y
0,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,236,58,268,74,"236,268,268,236","58,58,74,74"
1,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,255,65,287,81,"255,287,287,255","65,65,81,81"
2,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,118,119,152,137,"118,152,152,118","119,119,137,137"
3,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,221,45,239,59,"221,239,239,221","45,45,59,59"
4,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,198,60,224,74,"198,224,224,198","60,60,74,74"
5,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,181,12,233,42,"181,233,233,181","12,12,42,42"
6,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,44,211,74,233,"44,74,74,44","211,211,233,233"
7,lymphocyte,lymphocyte,sTIL,rectangle,8,153,28,169,"8,28,28,8","153,153,169,169"
8,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,161,159,179,181,"161,179,179,161","159,159,181,181"
9,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,197,119,223,139,"197,223,223,197","119,119,139,139"
10,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,52,169,91,202,"52,55,84,89,91,91,83,74,65,57,54,53,52,52","189,186,169,169,173,180,191,199,202,201,199,198,195,189"
11,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,76,214,116,243,"76,76,84,89,94,110,113,116,116,112,102,97,84,76","233,221,214,214,215,225,227,230,240,243,243,242,238,233"
12,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,21,54,55,85,"21,23,27,30,32,37,47,51,54,55,55,54,53,50,39,26,21","80,66,60,57,56,54,54,58,62,67,73,78,81,83,85,85,80"
13,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,245,11,271,47,"245,271,271,245,245","11,11,47,47,11"
14,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,213,194,233,232,"213,233,233,213,213","194,194,232,232,194"
15,unlabeled,AMBIGUOUS,AMBIGUOUS,polyline,112,26,139,58,"112,117,120,125,132,134,136,139,138,137,119,114,112","53,28,26,26,29,30,33,38,42,44,58,58,53"
16,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,180,183,196,221,"180,196,196,180,180","183,183,221,221,183"
17,tumor,tumor_nonMitotic,tumor_any,rectangle,20,9,50,37,"20,50,50,20,20","9,9,37,37,9"
18,lymphocyte,lymphocyte,sTIL,polyline,250,196,276,225,"250,251,253,257,262,268,271,276,276,275,273,263,256,253,251,250,250","208,200,198,196,196,198,200,205,218,220,222,225,224,222,218,213,208"
19,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,56,87,82,115,"56,60,66,70,80,82,82,81,76,68,65,63,60,57,56,56","99,95,90,87,87,91,92,101,106,112,114,115,114,111,106,99"
20,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,polyline,8,205,28,237,"28,28,21,17,10,8,8,11,16,19,28","218,223,237,235,227,223,218,211,205,208,218"
21,lymphocyte,lymphocyte,sTIL,polyline,154,92,180,119,"158,166,171,175,176,179,180,179,176,173,169,161,158,157,154,154,155,158","98,92,92,93,94,99,104,109,114,117,119,119,117,116,112,109,104,98"
22,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,176,126,204,150,"176,204,204,176,176","126,126,150,150,126"
23,plasma_cell,plasma_cell,sTIL,polyline,182,220,209,244,"209,209,207,206,202,191,187,185,182,183,184,186,190,196,201,204,209","228,238,242,243,244,243,242,241,237,231,228,226,223,220,220,221,228"
24,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,229,213,249,241,"229,249,249,229,229","213,213,241,241,213"
25,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,183,100,209,122,"183,209,209,183,183","100,100,122,122,100"
26,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,87,18,109,44,"87,109,109,87,87","18,18,44,44,18"
27,lymphocyte,lymphocyte,sTIL,polyline,115,157,140,180,"136,118,116,115,116,119,121,124,129,134,138,140,140,136","180,175,172,167,164,159,158,157,157,159,162,167,173,180"
28,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,93,138,123,152,"93,123,123,93,93","138,138,152,152,138"
29,plasma_cell,plasma_cell,sTIL,rectangle,115,183,139,205,"115,139,139,115,115","183,183,205,205,183"
30,plasma_cell,plasma_cell,sTIL,polyline,219,246,242,269,"229,221,220,219,219,221,225,230,239,240,242,236,234,229","269,265,262,257,255,250,246,246,247,248,251,265,269,269"
31,lymphocyte,lymphocyte,sTIL,polyline,197,173,220,195,"199,204,208,218,220,220,216,212,204,202,198,197,197,198,199","177,173,175,181,184,189,193,194,195,194,191,186,180,178,177"
32,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,0,58,20,82,"0,20,20,0,0","58,58,82,82,58"
33,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,144,72,162,96,"144,162,162,144,144","72,72,96,96,72"
34,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,140,0,158,24,"140,158,158,140,140","0,0,24,24,0"
35,plasma_cell,plasma_cell,sTIL,rectangle,194,143,214,165,"194,214,214,194,194","143,143,165,165,143"
36,tumor,tumor_nonMitotic,tumor_any,rectangle,13,35,35,55,"13,35,35,13,13","35,35,55,55,35"
37,lymphocyte,lymphocyte,sTIL,polyline,211,159,229,181,"211,215,219,224,228,229,229,220,212,211,211","165,161,159,159,166,177,181,181,176,175,165"
38,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,171,50,191,70,"171,191,191,171,171","50,50,70,70,50"
39,plasma_cell,plasma_cell,sTIL,rectangle,99,178,113,202,"99,113,113,99,99","178,178,202,202,178"
40,lymphocyte,lymphocyte,sTIL,polyline,12,125,34,141,"32,26,17,13,12,12,18,22,28,30,34,33,32","139,141,139,137,136,132,126,125,126,127,130,137,139"
41,lymphocyte,lymphocyte,sTIL,rectangle,266,97,284,117,"266,284,284,266,266","97,97,117,117,97"
42,unlabeled,AMBIGUOUS,AMBIGUOUS,rectangle,57,42,75,62,"57,75,75,57,57","42,42,62,62,42"
43,fibroblast,nonTILnonMQ_stromal,nonTIL_stromal,rectangle,60,150,84,162,"60,84,84,60,60","150,150,162,162,150"
44,lymphocyte,lymphocyte,sTIL,rectangle,256,115,272,133,"256,272,272,256,256","115,115,133,133,115"
45,lymphocyte,lymphocyte,sTIL,rectangle,182,76,196,94,"182,196,196,182,182","76,76,94,94,76"
46,lymphocyte,lymphocyte,sTIL,rectangle,215,137,233,149,"215,233,233,215,215","137,137,149,149,137"
47,lymphocyte,lymphocyte,sTIL,rectangle,251,99,263,117,"251,263,263,251,251","99,99,117,117,99"
